t,v,k,N,Source
5,2,1458,729.0,Derive from strength 6
5,2,1482,741.0,Derive from strength 6
5,2,1486,743.0,Derive from strength 6
5,2,1492,746.0,Derive from strength 6
5,2,1498,749.0,Derive from strength 6
5,2,1510,755.0,Derive from strength 6
5,2,1522,761.0,Derive from strength 6
5,2,1548,774.0,Derive from strength 6
5,2,1558,779.0,Derive from strength 6
5,2,1566,783.0,Derive from strength 6
5,2,1570,785.0,Derive from strength 6
5,2,1578,789.0,Derive from strength 6
5,2,1582,791.0,Derive from strength 6
5,2,1690,792.0,Power CZ3-13.12-10.1
5,2,1859,814.0,Power CZ3-13.12-11.1
5,2,2198,819.0,Power CT13^3+1
5,2,2380,938.0,"Power CT68^2,cT33c"
5,2,4624,940.0,"Power CT68^2,c"
5,2,4707,986.0,Power CT73^2Arc(7)T2
5,2,4896,988.0,"Power CT72^2,cT4c"
5,2,5184,996.0,"Power CT72^2,c"
5,2,5440,1078.0,"Power CT80^2,cT12c"
5,2,5760,1086.0,"Power CT80^2,cT8c"
5,2,5867,1097.0,Power CT81^2Arc(7)T2
5,2,6400,1101.0,"Power CT80^2,c"
5,2,6720,1155.0,"Power CT84^2,cT4c"
5,2,7056,1164.0,"Power CT84^2,c"
5,2,7200,1215.0,"Power CT90^2,cT10c"
5,2,7560,1224.0,"Power CT90^2,cT6c"
5,2,8100,1234.0,"Power CT90^2,c"
5,2,8232,1320.0,"Power CT98^2,cT14c"
5,2,8820,1330.0,"Power CT98^2,cT8c"
5,2,9604,1346.0,"Power CT98^2,c"
5,2,9898,1394.0,"Power CT101^2,cT3c"
5,2,10000,1402.0,"Power CT100^2,c"
6,2,7,64.0,orthogonal array
6,2,8,85.0,Johnson-Entringer
6,2,9,108.0,Torres-Jimenez
6,2,10,116.0,simulated annealing (CKRS)
6,2,11,118.0,Torres-Jimenez
6,2,15,128.0,tower (TJ-IM-K-K)
6,2,16,179.0,Torres-Jimenez
6,2,17,235.0,Torres-Jimenez
6,2,18,260.0,SBSTT (TJ-AG)
6,2,19,285.0,SBSTT (TJ-AG)
6,2,20,300.0,SBSTT (TJ-AG)
6,2,21,318.0,SBSTT (TJ-AG)
6,2,22,330.0,SBSTT (TJ-AG)
6,2,23,350.0,SBSTT (TJ-AG)
6,2,24,357.0,SBSTT (TJ-AG)
6,2,25,375.0,SBSTT (TJ-AG)
6,2,26,383.0,SBSTT (TJ-AG)
6,2,27,404.0,SBSTT (TJ-AG)
6,2,28,415.0,SBSTT (TJ-AG)
6,2,29,426.0,SBSTT (TJ-AG)
6,2,30,440.0,SIPO (Wagner-Kampel-Simos)
6,2,31,452.0,SIPO (Wagner-Kampel-Simos)
6,2,32,461.0,SIPO (Wagner-Kampel-Simos)
6,2,33,470.0,SIPO (Wagner-Kampel-Simos)
6,2,34,479.0,SIPO (Wagner-Kampel-Simos)
6,2,35,487.0,SIPO (Wagner-Kampel-Simos)
6,2,36,495.0,SIPO (Wagner-Kampel-Simos)
6,2,37,506.0,SIPO (Wagner-Kampel-Simos)
6,2,38,512.0,SIPO (Wagner-Kampel-Simos)
6,2,39,518.0,SIPO (Wagner-Kampel-Simos)
6,2,40,527.0,SIPO (Wagner-Kampel-Simos)
6,2,41,534.0,SIPO (Wagner-Kampel-Simos)
6,2,42,541.0,SIPO (Wagner-Kampel-Simos)
6,2,43,553.0,SIPO (Wagner-Kampel-Simos)
6,2,44,561.0,SIPO (Wagner-Kampel-Simos)
6,2,45,566.0,SIPO (Wagner-Kampel-Simos)
6,2,46,573.0,SIPO (Wagner-Kampel-Simos)
6,2,47,581.0,SIPO (Wagner-Kampel-Simos)
6,2,48,586.0,SIPO (Wagner-Kampel-Simos)
6,2,49,592.0,SIPO (Wagner-Kampel-Simos)
6,2,50,599.0,SIPO (Wagner-Kampel-Simos)
6,2,51,605.0,SIPO (Wagner-Kampel-Simos)
6,2,52,612.0,SIPO (Wagner-Kampel-Simos)
6,2,53,615.0,SIPO (Wagner-Kampel-Simos)
6,2,54,623.0,SIPO (Wagner-Kampel-Simos)
6,2,55,628.0,SIPO (Wagner-Kampel-Simos)
6,2,56,634.0,SIPO (Wagner-Kampel-Simos)
6,2,57,640.0,SIPO (Wagner-Kampel-Simos)
6,2,58,644.0,SIPO (Wagner-Kampel-Simos)
6,2,59,651.0,SIPO (Wagner-Kampel-Simos)
6,2,60,660.0,SIPO (Wagner-Kampel-Simos)
6,2,61,666.0,SIPO (Wagner-Kampel-Simos)
6,2,62,672.0,SIPO (Wagner-Kampel-Simos)
6,2,63,677.0,SIPO (Wagner-Kampel-Simos)
6,2,64,680.0,SIPO (Wagner-Kampel-Simos)
6,2,65,685.0,SIPO (Wagner-Kampel-Simos)
6,2,66,688.0,SIPO (Wagner-Kampel-Simos)
6,2,67,695.0,SIPO (Wagner-Kampel-Simos)
6,2,68,699.0,SIPO (Wagner-Kampel-Simos)
6,2,69,705.0,SIPO (Wagner-Kampel-Simos)
6,2,70,709.0,SIPO (Wagner-Kampel-Simos)
6,2,71,714.0,SIPO (Wagner-Kampel-Simos)
6,2,72,718.0,SIPO (Wagner-Kampel-Simos)
6,2,360,720.0,Cyclic (Colbourn-Keri)
6,2,379,758.0,Cyclic (Colbourn-Keri)
6,2,432,862.0,Cyclic (Colbourn-Keri)
6,2,464,926.0,Cyclic (Colbourn-Keri)
6,2,468,934.0,Cyclic (Colbourn-Keri)
6,2,488,974.0,Cyclic (Colbourn-Keri)
6,2,492,982.0,Cyclic (Colbourn-Keri)
6,2,500,998.0,Cyclic (Colbourn-Keri)
6,2,504,1008.0,Cyclic (Colbourn-Keri)
6,2,510,1018.0,Cyclic (Colbourn-Keri)
6,2,522,1042.0,Cyclic (Colbourn-Keri)
6,2,1231,1231.0,Cyclotomy (Torres-Jimenez)
6,2,1283,1283.0,Cyclotomy (Torres-Jimenez)
6,2,1319,1319.0,Cyclotomy (Torres-Jimenez)
6,2,1361,1361.0,Cyclotomy (Torres-Jimenez)
6,2,1367,1367.0,Cyclotomy (Torres-Jimenez)
6,2,1373,1373.0,Cyclotomy (Torres-Jimenez)
6,2,1381,1381.0,Cyclotomy (Torres-Jimenez)
6,2,1423,1423.0,Cyclotomy (Torres-Jimenez)
6,2,1427,1427.0,Cyclotomy (Torres-Jimenez)
6,2,1429,1429.0,Cyclotomy (Torres-Jimenez)
6,2,1439,1439.0,Cyclotomy (Torres-Jimenez)
6,2,1447,1447.0,Cyclotomy (Torres-Jimenez)
