"child","parent","parent_call"
"PCAcat 220","PCAcat 210","productPCA(CS_CMMSSY(16, 10), SCA_MS(17, 10))"
"PCAcat 221","PCAcat 207","productPCA(SCA_LCDST(15, 10), SCA_LCDST(15, 10))"
"PCAcat 222","PCAcat 208","productPCA(SCA_LCDST(15, 10), CS_CMMSSY(16, 10))"
"PCAcat 223","PCAcat 209","productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10))"
"PCAcat 224","PCAcat 209","productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10))"
"PCAcat 225","PCAcat 210","productPCA(CS_CMMSSY(16, 10), SCA_MS(17, 10))"
"PCAcat 226","PCAcat 211","productPCA(SCA_MS(17, 10), SCA_MS(17, 10))"
"PCAcat 227","PCAcat 211","productPCA(SCA_MS(17, 10), SCA_MS(17, 10))"
"PCAcat 228","PCAcat 212","productPCA(SCA_MS(17, 10), SCA_MS(18, 10))"
"PCAcat 229","PCAcat 213","productPCA(SCA_MS(18, 10), SCA_MS(18, 10))"
"PCAcat 230","PCAcat 213","productPCA(SCA_MS(18, 10), SCA_MS(18, 10))"
"PCAcat 231","PCAcat 221","productPCA(SCA_LCDST(15, 10), productPCA(SCA_LCDST(15, 10), SCA_LCDST(15, 10)))"
"PCAcat 231","PCAcat 207","productPCA(SCA_LCDST(15, 10), SCA_LCDST(15, 10))"
"PCAcat 232","PCAcat 222","productPCA(SCA_LCDST(15, 10), productPCA(SCA_LCDST(15, 10), CS_CMMSSY(16, 10)))"
"PCAcat 232","PCAcat 208","productPCA(SCA_LCDST(15, 10), CS_CMMSSY(16, 10))"
"PCAcat 233","PCAcat 223","productPCA(SCA_LCDST(15, 10), productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10)))"
"PCAcat 233","PCAcat 209","productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10))"
"PCAcat 234","PCAcat 224","productPCA(CS_CMMSSY(16, 10), productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10)))"
"PCAcat 234","PCAcat 209","productPCA(CS_CMMSSY(16, 10), CS_CMMSSY(16, 10))"
"PCAcat 235","PCAcat 221","productPCA(SCA_LCDST(15, 10), productPCA(SCA_LCDST(15, 10), SCA_LCDST(15, 10)))"
"PCAcat 235","PCAcat 207","productPCA(SCA_LCDST(15, 10), SCA_LCDST(15, 10))"
"PCAcat 247","PCAcat 236","productPCA(SCA_LCDST(16, 11), SCA_LCDST(16, 11))"
"PCAcat 248","PCAcat 237","productPCA(SCA_LCDST(16, 11), SCA_LCDST(17, 11))"
"PCAcat 249","PCAcat 238","productPCA(SCA_LCDST(17, 11), SCA_LCDST(17, 11))"
"PCAcat 250","PCAcat 239","productPCA(SCA_LCDST(17, 11), SCA_MS(18, 11))"
"PCAcat 251","PCAcat 236","productPCA(SCA_LCDST(16, 11), SCA_LCDST(16, 11))"
"PCAcat 252","PCAcat 237","productPCA(SCA_LCDST(16, 11), SCA_LCDST(17, 11))"
"PCAcat 253","PCAcat 238","productPCA(SCA_LCDST(17, 11), SCA_LCDST(17, 11))"
"PCAcat 254","PCAcat 238","productPCA(SCA_LCDST(17, 11), SCA_LCDST(17, 11))"
"PCAcat 255","PCAcat 239","productPCA(SCA_LCDST(17, 11), SCA_MS(18, 11))"
"PCAcat 256","PCAcat 240","productPCA(SCA_MS(18, 11), SCA_MS(18, 11))"
"PCAcat 257","PCAcat 240","productPCA(SCA_MS(18, 11), SCA_MS(18, 11))"
"PCAcat 258","PCAcat 247","productPCA(SCA_Bose(11), productPCA(SCA_LCDST(16, 11), SCA_LCDST(16, 11)))"
"PCAcat 258","PCAcat 236","productPCA(SCA_LCDST(16, 11), SCA_LCDST(16, 11))"
"PCAcat 272","PCAcat 260","productPCA(CA_to_PCA(miscCA(2, 7, 12)), SCA_LCDST(18, 12))"
"PCAcat 273","PCAcat 261","productPCA(CA_to_PCA(miscCA(2, 7, 12)), SCA_LCDST(19, 12))"
"PCAcat 274","PCAcat 262","productPCA(CA_to_PCA(miscCA(2, 7, 12)), CS_CMMSSY(20, 12))"
"PCAcat 275","PCAcat 263","productPCA(CA_to_PCA(miscCA(2, 7, 12)), SCA_MS(21, 12))"
"PCAcat 276","PCAcat 264","productPCA(CA_to_PCA(miscCA(2, 7, 12)), SCA_MS(22, 12))"
"PCAcat 277","PCAcat 265","productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12))"
"PCAcat 278","PCAcat 266","productPCA(SCA_LCDST(18, 12), SCA_LCDST(19, 12))"
"PCAcat 279","PCAcat 267","productPCA(SCA_LCDST(19, 12), SCA_LCDST(19, 12))"
"PCAcat 280","PCAcat 268","productPCA(SCA_LCDST(19, 12), CS_CMMSSY(20, 12))"
"PCAcat 281","PCAcat 269","productPCA(CS_CMMSSY(20, 12), CS_CMMSSY(20, 12))"
"PCAcat 282","PCAcat 265","productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12))"
"PCAcat 283","PCAcat 266","productPCA(SCA_LCDST(18, 12), SCA_LCDST(19, 12))"
"PCAcat 284","PCAcat 267","productPCA(SCA_LCDST(19, 12), SCA_LCDST(19, 12))"
"PCAcat 285","PCAcat 267","productPCA(SCA_LCDST(19, 12), SCA_LCDST(19, 12))"
"PCAcat 286","PCAcat 268","productPCA(SCA_LCDST(19, 12), CS_CMMSSY(20, 12))"
"PCAcat 287","PCAcat 269","productPCA(CS_CMMSSY(20, 12), CS_CMMSSY(20, 12))"
"PCAcat 288","PCAcat 269","productPCA(CS_CMMSSY(20, 12), CS_CMMSSY(20, 12))"
"PCAcat 289","PCAcat 277","productPCA(CA_to_PCA(miscCA(2, 7, 12)), productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12)))"
"PCAcat 289","PCAcat 265","productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12))"
"PCAcat 290","PCAcat 278","productPCA(CA_to_PCA(miscCA(2, 7, 12)), productPCA(SCA_LCDST(18, 12), SCA_LCDST(19, 12)))"
"PCAcat 290","PCAcat 266","productPCA(SCA_LCDST(18, 12), SCA_LCDST(19, 12))"
"PCAcat 291","PCAcat 279","productPCA(CA_to_PCA(miscCA(2, 7, 12)), productPCA(SCA_LCDST(19, 12), SCA_LCDST(19, 12)))"
"PCAcat 291","PCAcat 267","productPCA(SCA_LCDST(19, 12), SCA_LCDST(19, 12))"
"PCAcat 292","PCAcat 280","productPCA(CA_to_PCA(miscCA(2, 7, 12)), productPCA(SCA_LCDST(19, 12), CS_CMMSSY(20, 12)))"
"PCAcat 292","PCAcat 268","productPCA(SCA_LCDST(19, 12), CS_CMMSSY(20, 12))"
"PCAcat 293","PCAcat 281","productPCA(CA_to_PCA(miscCA(2, 7, 12)), productPCA(CS_CMMSSY(20, 12), CS_CMMSSY(20, 12)))"
"PCAcat 293","PCAcat 269","productPCA(CS_CMMSSY(20, 12), CS_CMMSSY(20, 12))"
"PCAcat 294","PCAcat 282","productPCA(SCA_LCDST(18, 12), productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12)))"
"PCAcat 294","PCAcat 265","productPCA(SCA_LCDST(18, 12), SCA_LCDST(18, 12))"
"PCAcat 308","PCAcat 295","productPCA(CS_CMMSSY(18, 13), CS_CMMSSY(18, 13))"
"PCAcat 309","PCAcat 296","productPCA(CS_CMMSSY(18, 13), SCA_LCDST(19, 13))"
"PCAcat 310","PCAcat 297","productPCA(SCA_LCDST(19, 13), SCA_LCDST(19, 13))"
"PCAcat 311","PCAcat 298","productPCA(SCA_LCDST(19, 13), SCA_LCDST(20, 13))"
"PCAcat 312","PCAcat 295","productPCA(CS_CMMSSY(18, 13), CS_CMMSSY(18, 13))"
