"child","parent","parent_call"
"PCAcat 18","PCAcat 14","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5,     3), miscCA(2, 9, 3)))))"
"PCAcat 18","PCAcat 10","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2,     9, 3))))"
"PCAcat 18","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 18","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 19","PCAcat 15","productPCA(SCA_LCDST(5, 3), productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5,     3), miscCA(2, 9, 3)))))"
"PCAcat 19","PCAcat 10","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2,     9, 3))))"
"PCAcat 19","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 19","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 20","PCAcat 5","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)))"
"PCAcat 20","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 21","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 22","PCAcat 4","productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))"
"PCAcat 23","PCAcat 4","productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))"
