"t","v","k","N","Source","generalized","postop","k1","k2","N_gen","N_plain","d_gen","d_plain","arith_tier"
2,11,3861,441,"Direct product",FALSE,FALSE,27,143,438,448,3,-7,"ARITH_OPEN"
2,11,4004,442,"Direct product",FALSE,FALSE,28,143,441,451,1,-9,"ARITH_OPEN"
2,11,4147,444,"Direct product",FALSE,FALSE,12,346,444,454,0,-10,"ARITHMETIC"
2,11,4290,445,"Direct product",FALSE,FALSE,12,358,445,455,0,-10,"ARITHMETIC"
2,11,4719,448,"Direct product",FALSE,FALSE,33,143,447,457,1,-9,"ARITH_OPEN"
2,12,49,276,"Direct product",FALSE,FALSE,7,7,276,287,0,-11,"ARITHMETIC"
2,12,98,290,"Direct product generalized",TRUE,FALSE,7,14,297,308,-7,-18,"ARITH_OPEN"
2,12,126,303,"Direct product generalized",TRUE,FALSE,9,14,312,323,-9,-20,"ARITH_OPEN"
2,12,140,304,"Direct product generalized",TRUE,FALSE,10,14,313,324,-9,-20,"ARITH_OPEN"
2,12,154,306,"Direct product generalized",TRUE,FALSE,11,14,315,326,-9,-20,"ARITH_OPEN"
2,12,155,307,"Direct product generalized",TRUE,FALSE,12,13,316,327,-9,-20,"ARITH_OPEN"
2,12,169,308,"Direct product generalized",TRUE,FALSE,13,13,316,327,-8,-19,"ARITH_OPEN"
2,12,183,309,"Direct product generalized",TRUE,FALSE,14,14,318,329,-9,-20,"ARITH_OPEN"
2,12,196,310,"Direct product",FALSE,FALSE,14,14,318,329,-8,-19,"ARITH_OPEN"
2,12,197,311,"Direct product generalized",TRUE,FALSE,14,15,321,332,-10,-21,"ARITH_OPEN"
2,12,211,312,"Direct product generalized",TRUE,FALSE,15,15,324,335,-12,-23,"ARITH_OPEN"
2,12,225,323,"Direct product postop TJ-SA",FALSE,TRUE,15,15,324,335,-1,-12,"ARITH_BOUND_ONLY"
2,12,226,324,"Direct product generalized",TRUE,FALSE,14,17,341,352,-17,-28,"ARITH_OPEN"
2,12,227,331,"Direct product generalized",TRUE,FALSE,14,17,341,352,-10,-21,"ARITH_OPEN"
2,12,229,332,"Direct product generalized",TRUE,FALSE,14,17,341,352,-9,-20,"ARITH_OPEN"
2,12,241,343,"Direct product generalized",TRUE,FALSE,15,17,344,355,-1,-12,"ARITH_OPEN"
2,12,255,344,"Direct product",FALSE,FALSE,15,17,344,355,0,-11,"ARITHMETIC"
2,12,294,372,"Direct product",FALSE,FALSE,17,18,375,386,-3,-14,"ARITH_OPEN"
2,12,295,373,"Direct product generalized",TRUE,FALSE,17,18,375,386,-2,-13,"ARITH_OPEN"
2,12,308,381,"Direct product",FALSE,FALSE,14,22,380,391,1,-10,"ARITH_OPEN"
2,12,330,383,"Direct product",FALSE,FALSE,15,22,383,394,0,-11,"ARITHMETIC"
2,12,336,386,"Direct product",FALSE,FALSE,14,24,385,396,1,-10,"ARITH_OPEN"
