"child_t","child_v","child_k","child_N","child_Source","family","ing_t","ing_w","ing_v","ing_range","mult","ing_N_now","ing_k_now","confidence","stamp_date"
5,2,8820,1330,"Power CT98^2,cT8c","Power CT",5,90,2,FALSE,1,178,90,"ARITHMETIC","2026-09-06"
5,2,8820,1330,"Power CT98^2,cT8c","Power CT",5,98,2,FALSE,1,194,98,"ARITHMETIC","2026-09-06"
5,2,9604,1346,"Power CT98^2,c","Power CT",5,98,2,FALSE,1,194,98,"ARITHMETIC","2026-09-06"
5,2,10000,1402,"Power CT100^2,c","Power CT",5,100,2,FALSE,1,202,102,"ARITHMETIC","2026-09-06"
6,2,2504,3047,"Add 1 factors","Add n factors",4,2502,2,FALSE,1,272,3395,"ARITHMETIC","2026-09-06"
6,2,2504,3047,"Add 1 factors","Add n factors",6,2503,2,FALSE,1,2503,2503,"ARITHMETIC","2026-09-06"
6,2,2505,3591,"Add 1 factors","Add n factors",4,2503,2,FALSE,1,272,3395,"ARITHMETIC","2026-09-06"
6,2,2505,3591,"Add 1 factors","Add n factors",6,2504,2,FALSE,1,3047,2504,"ARITHMETIC","2026-09-06"
6,2,2506,4135,"Add 1 factors","Add n factors",4,2504,2,FALSE,1,272,3395,"ARITHMETIC","2026-09-06"
6,2,2506,4135,"Add 1 factors","Add n factors",6,2505,2,FALSE,1,3591,2505,"ARITHMETIC","2026-09-06"
6,2,2507,4679,"Add 1 factors","Add n factors",4,2505,2,FALSE,1,272,3395,"ARITHMETIC","2026-09-06"
6,2,2507,4679,"Add 1 factors","Add n factors",6,2506,2,FALSE,1,4135,2506,"ARITHMETIC","2026-09-06"
6,2,2752,4839,"Power CT19^3T3cS18","Power CT",6,16,2,FALSE,1,179,16,"ARITHMETIC","2026-09-06"
6,2,2752,4839,"Power CT19^3T3cS18","Power CT",6,18,2,FALSE,18,260,18,"ARITHMETIC","2026-09-06"
6,2,2752,4839,"Power CT19^3T3cS18","Power CT",6,19,2,FALSE,1,285,19,"ARITHMETIC","2026-09-06"
6,2,2784,4864,"Power CT19^3T3cS17","Power CT",6,16,2,FALSE,1,179,16,"ARITHMETIC","2026-09-06"
6,2,2784,4864,"Power CT19^3T3cS17","Power CT",6,18,2,FALSE,17,260,18,"ARITHMETIC","2026-09-06"
6,2,2784,4864,"Power CT19^3T3cS17","Power CT",6,19,2,FALSE,1,285,19,"ARITHMETIC","2026-09-06"
6,2,6860,5681,"Power CT19^3+1","Power CT",6,20,2,FALSE,1,300,20,"ARITHMETIC","2026-09-06"
3,3,28,75,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",2,14,3,FALSE,1,15,20,"ARITHMETIC","2026-09-06"
3,3,28,75,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",3,14,3,FALSE,1,45,14,"ARITHMETIC","2026-09-06"
3,3,32,81,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",2,16,3,FALSE,1,15,20,"ARITHMETIC","2026-09-06"
3,3,32,81,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",3,16,3,FALSE,1,51,16,"ARITHMETIC","2026-09-06"
3,3,34,88,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",2,17,3,FALSE,1,15,20,"ARITHMETIC","2026-09-06"
3,3,34,88,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",3,17,3,FALSE,1,58,17,"ARITHMETIC","2026-09-06"
3,3,40,89,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",2,20,3,FALSE,1,15,20,"ARITHMETIC","2026-09-06"
3,3,40,89,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",3,20,3,FALSE,1,59,20,"ARITHMETIC","2026-09-06"
3,3,588,213,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",2,196,3,FALSE,1,24,199,"ARITHMETIC","2026-09-06"
3,3,588,213,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",3,196,3,FALSE,1,147,196,"ARITHMETIC","2026-09-06"
3,3,4097,300,"Add a factor","Add a factor",3,4096,3,FALSE,1,282,4096,"ARITHMETIC","2026-09-06"
3,3,7168,348,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",2,3584,3,FALSE,1,36,3918,"ARITHMETIC","2026-09-06"
3,3,7168,348,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",3,3584,3,FALSE,1,276,3584,"ARITHMETIC","2026-09-06"
3,3,8100,352,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",2,2700,3,FALSE,1,35,2700,"ARITHMETIC","2026-09-06"
3,3,8100,352,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",3,2700,3,FALSE,1,264,2744,"ARITHMETIC","2026-09-06"
3,3,9408,360,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",2,3136,3,FALSE,1,36,3918,"ARITHMETIC","2026-09-06"
3,3,9408,360,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",3,3136,3,FALSE,1,270,3136,"ARITHMETIC","2026-09-06"
3,3,10000,366,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",2,3334,3,FALSE,1,36,3918,"ARITHMETIC","2026-09-06"
3,3,10000,366,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker",3,3334,3,FALSE,1,276,3584,"ARITHMETIC","2026-09-06"
4,3,9,135,"Derive from strength 5","Derive",5,10,3,FALSE,1,405,10,"ARITHMETIC","2026-09-06"
4,3,6982,2327,"Derive from strength 5","Derive",5,6983,3,FALSE,1,6983,6983,"ARITHMETIC","2026-09-06"
4,3,7012,2337,"Derive from strength 5","Derive",5,7013,3,FALSE,1,7013,7013,"ARITHMETIC","2026-09-06"
4,3,7013,2571,"Add a factor","Add a factor",2,7011,3,FALSE,1,39,8329,"ARITHMETIC","2026-09-06"
