"id","N_book","N_base","N_swap"
"CYCLOTOMYcat 4",726,726,726
"CYCLOTOMYcat 5",762,762,762
"CYCLOTOMYcat 6",906,906,906
"CYCLOTOMYcat 7",978,978,978
"CYCLOTOMYcat 8",1020,1020,1020
"CYCLOTOMYcat 9",1183,1183,1183
"CYCLOTOMYcat 10",1552,1552,1552
"CYCLOTOMYcat 11",1936,1936,1936
"CYCLOTOMYcat 12",3610,3610,3610
"CYCLOTOMYcat 13",5210,5210,5210
"CYCLOTOMYcat 14",5710,5710,5710
"CYCLOTOMYcat 15",4378,4378,4378
"CYCLOTOMYcat 16",7224,7224,7224
"CYCLOTOMYcat 17",7356,7356,7356
"CYCLOTOMYcat 18",8520,8520,8520
"CYCLOTOMYcat 19",12376,12376,12376
"CYCLOTOMYcat 20",14714,14714,14714
"CYCLOTOMYcat 21",15302,15302,15302
"CYCLOTOMYcat 22",16282,16282,16282
"CYCLOTOMYcat 23",23364,23364,23364
"CYCLOTOMYcat 24",36040,36040,36040
"CYCLOTOMYcat 25",42840,42840,42840
"CYCLOTOMYcat 26",43220,43220,43220
"CYCLOTOMYcat 27",46820,46820,46820
"CYCLOTOMYcat 28",47670,47670,47670
"CYCLOTOMYcat 29",48531,48531,48531
"CYCLOTOMYcat 30",24,24,24
"CYCLOTOMYcat 31",46,46,46
"CYCLOTOMYcat 32",67,67,67
"CYCLOTOMYcat 33",71,71,71
"CYCLOTOMYcat 34",83,83,83
"CYCLOTOMYcat 35",89,89,89
"CYCLOTOMYcat 36",669,669,669
"CYCLOTOMYcat 37",687,687,687
"CYCLOTOMYcat 38",813,813,813
"CYCLOTOMYcat 39",831,831,831
"CYCLOTOMYcat 40",1051,1051,1051
"CYCLOTOMYcat 41",1069,1069,1069
"CYCLOTOMYcat 42",1087,1087,1087
"CYCLOTOMYcat 43",1093,1093,1093
"CYCLOTOMYcat 44",1119,1119,1119
"CYCLOTOMYcat 45",1123,1123,1123
"CYCLOTOMYcat 46",1129,1129,1129
"CYCLOTOMYcat 47",1171,1171,1171
"CYCLOTOMYcat 48",1213,1213,1213
"CYCLOTOMYcat 49",1231,1231,1231
"CYCLOTOMYcat 50",1249,1249,1249
"CYCLOTOMYcat 51",1279,1279,1279
"CYCLOTOMYcat 52",1291,1291,1291
"CYCLOTOMYcat 53",1297,1297,1297
"CYCLOTOMYcat 54",1303,1303,1303
"CYCLOTOMYcat 55",1323,1323,1323
"CYCLOTOMYcat 56",1327,1327,1327
"CYCLOTOMYcat 57",1381,1381,1381
"CYCLOTOMYcat 58",1399,1399,1399
"CYCLOTOMYcat 59",1423,1423,1423
"CYCLOTOMYcat 60",1431,1431,1431
"CYCLOTOMYcat 61",1447,1447,1447
"CYCLOTOMYcat 62",1453,1453,1453
"CYCLOTOMYcat 63",1459,1459,1459
"CYCLOTOMYcat 64",1471,1471,1471
"CYCLOTOMYcat 65",1483,1483,1483
"CYCLOTOMYcat 66",1489,1489,1489
"CYCLOTOMYcat 67",1531,1531,1531
"CYCLOTOMYcat 68",1543,1543,1543
"CYCLOTOMYcat 69",1549,1549,1549
"CYCLOTOMYcat 70",1567,1567,1567
"CYCLOTOMYcat 71",1579,1579,1579
"CYCLOTOMYcat 72",1597,1597,1597
"CYCLOTOMYcat 73",1848,1848,1848
"CYCLOTOMYcat 74",2232,2232,2232
"CYCLOTOMYcat 75",2452,2452,2452
"CYCLOTOMYcat 76",2612,2612,2612
"CYCLOTOMYcat 77",2708,2708,2708
"CYCLOTOMYcat 78",2804,2804,2804
"CYCLOTOMYcat 79",2932,2932,2932
"CYCLOTOMYcat 80",3028,3028,3028
"CYCLOTOMYcat 81",3092,3092,3092
"CYCLOTOMYcat 82",3188,3188,3188
"CYCLOTOMYcat 83",15888,15888,15888
"CYCLOTOMYcat 84",16608,16608,16608
"CYCLOTOMYcat 85",18114,18114,18114
"CYCLOTOMYcat 86",19560,19560,19560
"CYCLOTOMYcat 87",19626,19626,19626
"CYCLOTOMYcat 88",19914,19914,19914
"CYCLOTOMYcat 89",19992,19992,19992
"CYCLOTOMYcat 90",20058,20058,20058
"CYCLOTOMYcat 91",20778,20778,20778
"CYCLOTOMYcat 92",20994,20994,20994
"CYCLOTOMYcat 93",21498,21498,21498
"CYCLOTOMYcat 94",21642,21642,21642
"CYCLOTOMYcat 95",21786,21786,21786
"CYCLOTOMYcat 96",21858,21858,21858
"CYCLOTOMYcat 97",22146,22146,22146
"CYCLOTOMYcat 98",22362,22362,22362
"CYCLOTOMYcat 99",22938,22938,22938
"CYCLOTOMYcat 100",23082,23082,23082
"CYCLOTOMYcat 101",23442,23442,23442
"CYCLOTOMYcat 102",23586,23586,23586
"CYCLOTOMYcat 103",23658,23658,23658
"CYCLOTOMYcat 104",24018,24018,24018
"CYCLOTOMYcat 105",24162,24162,24162
"CYCLOTOMYcat 106",44401,44401,44401
"CYCLOTOMYcat 107",47341,47341,47341
"CYCLOTOMYcat 108",70088,70088,70088
"CYCLOTOMYcat 109",71752,71752,71752
"CYCLOTOMYcat 110",72392,72392,72392
"CYCLOTOMYcat 111",74696,74696,74696
"CYCLOTOMYcat 112",77768,77768,77768
"CYCLOTOMYcat 113",78536,78536,78536
"CYCLOTOMYcat 114",78664,78664,78664
"CYCLOTOMYcat 115",80072,80072,80072
"CYCLOTOMYcat 116",434,434,434
"CYCLOTOMYcat 117",523,523,523
"CYCLOTOMYcat 118",541,541,541
"CYCLOTOMYcat 119",547,547,547
"CYCLOTOMYcat 120",557,557,557
"CYCLOTOMYcat 121",563,563,563
"CYCLOTOMYcat 122",570,570,570
"CYCLOTOMYcat 123",571,571,571
"CYCLOTOMYcat 124",577,577,577
"CYCLOTOMYcat 125",587,587,587
"CYCLOTOMYcat 126",593,593,593
"CYCLOTOMYcat 127",599,599,599
"CYCLOTOMYcat 128",601,601,601
"CYCLOTOMYcat 129",607,607,607
"CYCLOTOMYcat 130",613,613,613
"CYCLOTOMYcat 131",3156,3156,3156
"CYCLOTOMYcat 132",3210,3210,3210
"CYCLOTOMYcat 133",3264,3264,3264
"CYCLOTOMYcat 134",3282,3282,3282
"CYCLOTOMYcat 135",3369,3369,3369
"CYCLOTOMYcat 136",3390,3390,3390
"CYCLOTOMYcat 137",3516,3516,3516
"CYCLOTOMYcat 138",3642,3642,3642
"CYCLOTOMYcat 139",3696,3696,3696
"CYCLOTOMYcat 140",3750,3750,3750
"CYCLOTOMYcat 141",3840,3840,3840
"CYCLOTOMYcat 142",3876,3876,3876
"CYCLOTOMYcat 143",3891,3891,3891
"CYCLOTOMYcat 144",3909,3909,3909
"CYCLOTOMYcat 145",3981,3981,3981
"CYCLOTOMYcat 146",4143,4143,4143
"CYCLOTOMYcat 147",4197,4197,4197
"CYCLOTOMYcat 148",4269,4269,4269
"CYCLOTOMYcat 149",4341,4341,4341
"CYCLOTOMYcat 150",4359,4359,4359
"CYCLOTOMYcat 151",4377,4377,4377
"CYCLOTOMYcat 152",4413,4413,4413
"CYCLOTOMYcat 153",4449,4449,4449
"CYCLOTOMYcat 154",4467,4467,4467
"CYCLOTOMYcat 155",4593,4593,4593
"CYCLOTOMYcat 156",4629,4629,4629
"CYCLOTOMYcat 157",4647,4647,4647
"CYCLOTOMYcat 158",4701,4701,4701
"CYCLOTOMYcat 159",4737,4737,4737
"CYCLOTOMYcat 160",4791,4791,4791
"CYCLOTOMYcat 161",4827,4827,4827
"CYCLOTOMYcat 162",4863,4863,4863
"CYCLOTOMYcat 163",4881,4881,4881
"CYCLOTOMYcat 164",4971,4971,4971
"CYCLOTOMYcat 165",4989,4989,4989
"CYCLOTOMYcat 166",5007,5007,5007
"CYCLOTOMYcat 167",5079,5079,5079
"CYCLOTOMYcat 168",5097,5097,5097
"CYCLOTOMYcat 169",5169,5169,5169
"CYCLOTOMYcat 170",5223,5223,5223
"CYCLOTOMYcat 171",5241,5241,5241
"CYCLOTOMYcat 172",5259,5259,5259
"CYCLOTOMYcat 173",5277,5277,5277
"CYCLOTOMYcat 174",6983,6983,6983
"CYCLOTOMYcat 175",7013,7013,7013
"CYCLOTOMYcat 176",10007,10007,10007
"CYCLOTOMYcat 177",1231,1231,1231
"CYCLOTOMYcat 178",1283,1283,1283
"CYCLOTOMYcat 179",1319,1319,1319
"CYCLOTOMYcat 180",1361,1361,1361
"CYCLOTOMYcat 181",1367,1367,1367
"CYCLOTOMYcat 182",1373,1373,1373
"CYCLOTOMYcat 183",1381,1381,1381
"CYCLOTOMYcat 184",1423,1423,1423
"CYCLOTOMYcat 185",1427,1427,1427
"CYCLOTOMYcat 186",1429,1429,1429
"CYCLOTOMYcat 187",1439,1439,1439
"CYCLOTOMYcat 188",1447,1447,1447
"CYCLOTOMYcat 189",1459,1459,1459
"CYCLOTOMYcat 190",1483,1483,1483
"CYCLOTOMYcat 191",1487,1487,1487
"CYCLOTOMYcat 192",1493,1493,1493
"CYCLOTOMYcat 193",1499,1499,1499
"CYCLOTOMYcat 194",1511,1511,1511
"CYCLOTOMYcat 195",1523,1523,1523
"CYCLOTOMYcat 196",1549,1549,1549
"CYCLOTOMYcat 197",1559,1559,1559
"CYCLOTOMYcat 198",1567,1567,1567
"CYCLOTOMYcat 199",1571,1571,1571
"CYCLOTOMYcat 200",1579,1579,1579
"CYCLOTOMYcat 201",1583,1583,1583
"CYCLOTOMYcat 202",1597,1597,1597
"CYCLOTOMYcat 203",1601,1601,1601
"CYCLOTOMYcat 204",1607,1607,1607
"CYCLOTOMYcat 205",1609,1609,1609
"CYCLOTOMYcat 206",1613,1613,1613
"CYCLOTOMYcat 207",1619,1619,1619
"CYCLOTOMYcat 208",1621,1621,1621
"CYCLOTOMYcat 209",1627,1627,1627
"CYCLOTOMYcat 210",1997,1997,1997
"CYCLOTOMYcat 211",1999,1999,1999
"CYCLOTOMYcat 212",2003,2003,2003
"CYCLOTOMYcat 213",2503,2503,2503
"PALEYcat 1",12,12,12
"PALEYcat 2",18,18,18
"PALEYcat 3",19,19,19
"PALEYcat 4",23,23,23
"PALEYcat 5",28,28,28
"PALEYcat 6",30,30,30
"PALEYcat 7",36,36,36
"PALEYcat 8",40,40,40
"PALEYcat 9",41,41,41
"PALEYcat 10",44,44,44
"PALEYcat 11",50,50,50
"PALEYcat 12",55,55,55
"PALEYcat 13",58,58,58
"PALEYcat 14",68,68,68
"PALEYcat 15",24,24,24
"PALEYcat 16",40,40,40
"PALEYcat 17",46,46,46
"PALEYcat 18",58,58,58
"PALEYcat 19",60,60,60
"PALEYcat 20",74,74,74
"PALEYcat 21",82,82,82
"PALEYcat 22",82,82,82
"PALEYcat 23",90,90,90
"PALEYcat 24",102,102,102
"PALEYcat 25",110,110,110
"PALEYcat 26",118,118,118
"PALEYcat 27",67,67,67
"PALEYcat 28",71,71,71
"PALEYcat 29",138,138,138
"PALEYcat 30",79,79,79
"PALEYcat 31",83,83,83
"PALEYcat 32",88,88,88
"PALEYcat 33",96,96,96
"PALEYcat 34",100,100,100
"PALEYcat 35",104,104,104
"PALEYcat 36",106,106,106
"PALEYcat 37",108,108,108
"PALEYcat 38",112,112,112
"PALEYcat 39",125,125,125
"PALEYcat 40",130,130,130
"PALEYcat 41",135,135,135
"PALEYcat 42",137,137,137
"PALEYcat 43",146,146,146
"PALEYcat 44",148,148,148
"PALEYcat 45",154,154,154
"PALEYcat 46",160,160,160
"PALEYcat 47",164,164,164
"PALEYcat 48",170,170,170
"PALEYcat 49",175,175,175
"PALEYcat 50",180,180,180
"PALEYcat 51",186,186,186
"PALEYcat 52",188,188,188
"PALEYcat 53",193,193,193
"PALEYcat 54",195,195,195
"PALEYcat 55",206,206,206
"PALEYcat 56",217,217,217
"PALEYcat 57",221,221,221
"PALEYcat 58",224,224,224
"PALEYcat 59",228,228,228
"PALEYcat 60",232,232,232
"PALEYcat 61",234,234,234
"PALEYcat 62",244,244,244
"PALEYcat 63",250,250,250
"PALEYcat 64",256,256,256
"PALEYcat 65",261,261,261
"PALEYcat 66",263,263,263
"PALEYcat 67",269,269,269
"PALEYcat 68",273,273,273
"PALEYcat 69",276,276,276
"PALEYcat 70",284,284,284
"PALEYcat 71",297,297,297
"PALEYcat 72",302,302,302
"PALEYcat 73",304,304,304
"PALEYcat 74",308,308,308
"PALEYcat 75",321,321,321
"PALEYcat 76",327,327,327
"PALEYcat 77",335,335,335
"PALEYcat 78",338,338,338
"PALEYcat 79",342,342,342
"PALEYcat 80",354,354,354
"PALEYcat 81",360,360,360
"PALEYcat 82",369,369,369
"PALEYcat 83",376,376,376
"PALEYcat 84",383,383,383
"PALEYcat 85",389,389,389
"PALEYcat 86",394,394,394
"PALEYcat 87",404,404,404
"PALEYcat 88",406,406,406
"PALEYcat 89",424,424,424
"PALEYcat 90",427,427,427
"PALEYcat 91",433,433,433
"PALEYcat 92",440,440,440
"PALEYcat 93",444,444,444
"PALEYcat 94",461,461,461
"PALEYcat 95",136,136,136
"PALEYcat 96",144,144,144
"PALEYcat 97",160,160,160
"PALEYcat 98",168,168,168
"PALEYcat 99",178,178,178
"PALEYcat 100",194,194,194
"PALEYcat 101",202,202,202
"PALEYcat 102",208,208,208
"PALEYcat 103",214,214,214
"PALEYcat 104",218,218,218
"PALEYcat 105",226,226,226
"PALEYcat 106",252,252,252
"PALEYcat 107",260,260,260
"PALEYcat 108",272,272,272
"PALEYcat 109",276,276,276
"PALEYcat 110",294,294,294
"PALEYcat 111",298,298,298
"PALEYcat 112",310,310,310
"PALEYcat 113",322,322,322
"PALEYcat 114",330,330,330
"PALEYcat 115",342,342,342
"PALEYcat 116",352,352,352
"PALEYcat 117",362,362,362
"PALEYcat 118",374,374,374
"PALEYcat 119",378,378,378
"PALEYcat 120",388,388,388
"PALEYcat 121",390,390,390
"PALEYcat 122",414,414,414
"PALEYcat 123",436,436,436
"PALEYcat 124",444,444,444
"PALEYcat 125",450,450,450
"PALEYcat 126",458,458,458
"PALEYcat 127",466,466,466
"PALEYcat 128",470,470,470
"PALEYcat 129",490,490,490
"PALEYcat 130",502,502,502
"PALEYcat 131",512,512,512
"PALEYcat 132",526,526,526
"PALEYcat 133",528,528,528
"PALEYcat 134",540,540,540
"PALEYcat 135",548,548,548
"PALEYcat 136",552,552,552
"PALEYcat 137",570,570,570
"PALEYcat 138",596,596,596
"PALEYcat 139",604,604,604
"PALEYcat 140",610,610,610
"PALEYcat 141",618,618,618
"PALEYcat 142",644,644,644
"PALEYcat 143",656,656,656
"PALEYcat 144",672,672,672
"PALEYcat 145",678,678,678
"PALEYcat 146",686,686,686
"PALEYcat 147",359,359,359
"PALEYcat 148",710,710,710
"PALEYcat 149",722,722,722
"PALEYcat 150",380,380,380
"PALEYcat 151",740,740,740
"PALEYcat 152",754,754,754
"PALEYcat 153",768,768,768
"PALEYcat 154",780,780,780
"PALEYcat 155",790,790,790
"PALEYcat 156",810,810,810
"PALEYcat 157",814,814,814
"PALEYcat 158",430,430,430
"PALEYcat 159",434,434,434
"PALEYcat 160",850,850,850
"PALEYcat 161",856,856,856
"PALEYcat 162",868,868,868
"PALEYcat 163",882,882,882
"PALEYcat 164",890,890,890
"PALEYcat 165",462,462,462
"PALEYcat 166",466,466,466
"PALEYcat 167",924,924,924
"PALEYcat 168",486,486,486
"PALEYcat 169",490,490,490
"PALEYcat 170",498,498,498
"PALEYcat 171",720,720,720
"PALEYcat 172",760,760,760
"PALEYcat 173",862,862,862
"PALEYcat 174",926,926,926
"PALEYcat 175",934,934,934
"PALEYcat 176",974,974,974
"PALEYcat 177",982,982,982
"PALEYcat 178",998,998,998
"CKcombis 1",24,24,24
"CKcombis 2",40,40,40
"CKcombis 3",42,42,42
"CKcombis 4",44,44,44
"CKcombis 5",46,46,46
"CKcombis 6",50,50,50
"CKcombis 7",52,52,52
"CKcombis 8",54,54,54
"CKcombis 9",54,54,54
"CKcombis 10",56,56,56
"CKcombis 11",58,58,58
"CKcombis 12",60,60,60
"CKcombis 13",62,62,62
"CKcombis 14",64,64,64
"CKcombis 15",66,66,66
"CKcombis 16",68,68,68
"CKcombis 17",72,72,72
"CKcombis 18",80,80,80
"CKcombis 19",84,84,84
"CKcombis 20",89,89,89
"CKcombis 21",97,97,97
"CKcombis 22",101,101,101
"CKcombis 23",103,103,103
"CKcombis 24",107,107,107
"CKcombis 25",109,109,109
"CKcombis 26",113,113,113
"CKcombis 27",127,127,127
"CKcombis 28",131,131,131
"CKcombis 29",137,137,137
"CKcombis 30",139,139,139
"CKcombis 31",149,149,149
"CKcombis 32",151,151,151
"CKcombis 33",157,157,157
"CKcombis 34",163,163,163
"CKcombis 35",167,167,167
"CKcombis 36",173,173,173
"CKcombis 37",179,179,179
"CKcombis 38",181,181,181
"CKcombis 39",191,191,191
"CKcombis 40",193,193,193
"CKcombis 41",197,197,197
"CKcombis 42",199,199,199
"CKcombis 43",211,211,211
"CKcombis 44",223,223,223
"CKcombis 45",227,227,227
"CKcombis 46",229,229,229
"CKcombis 47",233,233,233
"CKcombis 48",239,239,239
"CKcombis 49",241,241,241
"CKcombis 50",251,251,251
"CKcombis 51",257,257,257
"CKcombis 52",263,263,263
"CKcombis 53",269,269,269
"CKcombis 54",271,271,271
"CKcombis 55",277,277,277
"CKcombis 56",281,281,281
"CKcombis 57",283,283,283
"CKcombis 58",293,293,293
"CKcombis 59",307,307,307
"CKcombis 60",311,311,311
"CKcombis 61",313,313,313
"CKcombis 62",317,317,317
"CKcombis 63",331,331,331
"CKcombis 64",337,337,337
"CKcombis 65",347,347,347
"CKcombis 66",349,349,349
"CKcombis 67",353,353,353
"CKcombis 68",359,359,359
"CKcombis 69",367,367,367
"CKcombis 70",373,373,373
"CKcombis 71",379,379,379
"CKcombis 72",383,383,383
"CKcombis 73",389,389,389
"CKcombis 74",397,397,397
"CKcombis 75",401,401,401
"CKcombis 76",409,409,409
"CKcombis 77",419,419,419
"CKcombis 78",421,421,421
"CKcombis 79",431,431,431
"CKcombis 80",433,433,433
"CKcombis 81",439,439,439
"CKcombis 82",443,443,443
"CKcombis 83",449,449,449
"CKcombis 84",457,457,457
"CKcombis 85",461,461,461
"CKcombis 86",463,463,463
"CKcombis 87",467,467,467
"CKcombis 88",479,479,479
"CKcombis 89",487,487,487
"CKcombis 90",491,491,491
"CKcombis 91",499,499,499
"CKcombis 92",503,503,503
"CKcombis 93",509,509,509
"CKcombis 94",521,521,521
"CKcombis 95",523,523,523
"CKcombis 96",541,541,541
"CKcombis 97",547,547,547
"CKcombis 98",557,557,557
"CKcombis 99",563,563,563
"CKcombis 100",569,569,569
"CKcombis 101",571,571,571
"CKcombis 102",577,577,577
"CKcombis 103",587,587,587
"CKcombis 104",593,593,593
"CKcombis 105",599,599,599
"CKcombis 106",601,601,601
"CKcombis 107",607,607,607
"CKcombis 108",613,613,613
"CKcombis 109",617,617,617
"CKcombis 110",619,619,619
"CKcombis 111",631,631,631
"CKcombis 112",641,641,641
"CKcombis 113",643,643,643
"CKcombis 114",647,647,647
"CKcombis 115",653,653,653
"CKcombis 116",659,659,659
"CKcombis 117",661,661,661
"CKcombis 118",673,673,673
"CKcombis 119",677,677,677
"CKcombis 120",683,683,683
"CKcombis 121",691,691,691
"CKcombis 122",701,701,701
"CKcombis 123",709,709,709
"CKcombis 124",719,719,719
"CKcombis 125",727,727,727
"CKcombis 126",733,733,733
"CKcombis 127",739,739,739
"CKcombis 128",743,743,743
"CKcombis 129",751,751,751
"CKcombis 130",757,757,757
"CKcombis 131",761,761,761
"CKcombis 132",769,769,769
"CKcombis 133",773,773,773
"CKcombis 134",136,136,136
"CKcombis 135",144,144,144
"CKcombis 136",160,160,160
"CKcombis 137",168,168,168
"CKcombis 138",178,178,178
"CKcombis 139",194,194,194
"CKcombis 140",202,202,202
"CKcombis 141",206,206,206
"CKcombis 142",214,214,214
"CKcombis 143",218,218,218
"CKcombis 144",226,226,226
"CKcombis 145",254,254,254
"CKcombis 146",262,262,262
"CKcombis 147",274,274,274
"CKcombis 148",278,278,278
"CKcombis 149",298,298,298
"CKcombis 150",302,302,302
"CKcombis 151",314,314,314
"CKcombis 152",326,326,326
"CKcombis 153",334,334,334
"CKcombis 154",346,346,346
"CKcombis 155",358,358,358
"CKcombis 156",1042,1042,1042
"CKcombis 157",1046,1046,1046
"CKcombis 158",1082,1082,1082
"CKcombis 159",1094,1094,1094
"CKcombis 160",1114,1114,1114
"CKcombis 161",1126,1126,1126
"CKcombis 162",1138,1138,1138
"CKcombis 163",1142,1142,1142
"CKcombis 164",1154,1154,1154
"CKcombis 165",1174,1174,1174
"CKcombis 166",1186,1186,1186
"CKcombis 167",1198,1198,1198
"CKcombis 168",1202,1202,1202
"CKcombis 169",1214,1214,1214
"CKcombis 170",1226,1226,1226
"CKcombis 171",1234,1234,1234
"CKcombis 172",1238,1238,1238
"CKcombis 173",1262,1262,1262
"CKcombis 174",1282,1282,1282
"CKcombis 175",1286,1286,1286
"CKcombis 176",1294,1294,1294
"CKcombis 177",1306,1306,1306
"CKcombis 178",1318,1318,1318
"CKcombis 179",1322,1322,1322
"CKcombis 180",1346,1346,1346
"CKcombis 181",1354,1354,1354
"CKcombis 182",1366,1366,1366
"CKcombis 183",1382,1382,1382
"CKcombis 184",1402,1402,1402
"CKcombis 185",1418,1418,1418
"CKcombis 186",1438,1438,1438
"CKcombis 187",1454,1454,1454
"CKcombis 188",1466,1466,1466
"CKcombis 189",1478,1478,1478
"CKcombis 190",1486,1486,1486
"CKcombis 191",1502,1502,1502
"CKcombis 192",1514,1514,1514
"CKcombis 193",1522,1522,1522
"CKcombis 194",1538,1538,1538
"CKcombis 195",1546,1546,1546
"CKcombis 196",360,360,360
"CKcombis 197",379,379,379
"CKcombis 198",431,431,431
"CKcombis 199",463,463,463
"CKcombis 200",467,467,467
"CKcombis 201",487,487,487
"CKcombis 202",491,491,491
"CKcombis 203",499,499,499
"CKcombis 204",504,504,504
"CKcombis 205",509,509,509
"CKcombis 206",521,521,521
"CKcombis 207",720,720,720
"CKcombis 208",758,758,758
"CKcombis 209",862,862,862
"CKcombis 210",926,926,926
"CKcombis 211",934,934,934
"CKcombis 212",974,974,974
"CKcombis 213",982,982,982
"CKcombis 214",998,998,998
"CKcombis 215",1008,1008,1008
"CKcombis 216",1018,1018,1018
"CKcombis 217",1042,1042,1042
