"id","N_book","N_base","N_swap"
"DPcat 228",353,353,353
"DPcat 229",361,361,361
"DPcat 230",369,369,369
"DPcat 231",377,377,377
"DPcat 232",385,385,385
"DPcat 233",393,393,393
"DPcat 234",190,190,190
"DPcat 235",226,226,226
"DPcat 236",235,235,235
"DPcat 237",244,244,244
"DPcat 238",253,253,253
"DPcat 239",262,262,262
"DPcat 240",271,271,271
"DPcat 241",280,280,280
"DPcat 242",289,289,289
"DPcat 243",298,298,298
"DPcat 244",307,307,307
"DPcat 245",316,316,316
"DPcat 246",325,325,325
"DPcat 247",334,334,334
"DPcat 248",343,343,343
"DPcat 249",352,352,352
"DPcat 250",361,361,361
"DPcat 251",370,370,370
"DPcat 252",379,379,379
"DPcat 253",388,388,388
"DPcat 254",397,397,397
"DPcat 255",406,406,406
"DPcat 256",415,415,415
"DPcat 257",424,424,424
"DPcat 258",433,433,433
"DPcat 259",442,442,442
"DPcat 260",451,451,451
"DPcat 261",460,460,460
"DPcat 262",469,469,469
"DPcat 263",478,478,478
"DPcat 264",487,487,487
"DPcat 265",496,496,496
"DPcat 266",505,505,505
"DPcat 267",514,514,514
"DPcat 268",311,311,311
"DPcat 269",321,321,321
"DPcat 270",331,331,331
"DPcat 271",341,341,341
"DPcat 272",351,351,351
"DPcat 273",361,361,361
"DPcat 274",371,371,371
"DPcat 275",381,381,381
"DPcat 276",391,391,391
"DPcat 277",401,401,401
"DPcat 278",411,411,411
"DPcat 279",421,421,421
"DPcat 280",431,431,431
"DPcat 281",441,441,441
"DPcat 282",451,451,451
"DPcat 283",461,461,461
"DPcat 284",471,471,471
"DPcat 285",481,481,481
"DPcat 286",491,491,491
"DPcat 287",501,501,501
"DPcat 288",511,511,511
"DPcat 289",521,521,521
"DPcat 290",531,531,531
"DPcat 291",276,276,276
"DPcat 292",331,331,331
"DPcat 293",342,342,342
"DPcat 294",353,353,353
"DPcat 295",364,364,364
"DPcat 296",375,375,375
"DPcat 297",386,386,386
"DPcat 298",397,397,397
"DPcat 299",408,408,408
"DPcat 300",430,430,430
"DPcat 301",441,441,441
"DPcat 302",452,452,452
"DPcat 303",463,463,463
"DPcat 304",474,474,474
"DPcat 305",485,485,485
"DPcat 306",496,496,496
"DPcat 307",507,507,507
"DPcat 308",518,518,518
"DPcat 309",529,529,529
"DPcat 310",540,540,540
"DPcat 311",562,562,562
"DPcat 312",573,573,573
"DPcat 313",584,584,584
"DPcat 314",595,595,595
"DPcat 315",606,606,606
"DPcat 316",617,617,617
"DPcat 317",628,628,628
"DPcat 318",639,639,639
"DPcat 319",650,650,650
"DPcat 320",661,661,661
"DPcat 321",672,672,672
"DPcat 322",674,672,672
"DPcat 323",694,694,694
"DPcat 324",705,705,705
"DPcat 325",421,421,421
"DPcat 326",433,433,433
"DPcat 327",445,445,445
"DPcat 328",457,457,457
"DPcat 329",469,469,469
"DPcat 330",481,481,481
"DPcat 331",493,493,493
"DPcat 332",505,505,505
"DPcat 333",517,517,517
"DPcat 334",529,529,529
"DPcat 335",541,541,541
"DPcat 336",553,553,553
"DPcat 337",565,565,565
"DPcat 338",577,577,577
"DPcat 339",589,589,589
"DPcat 340",601,601,601
"DPcat 341",613,613,613
"DPcat 342",625,625,625
"DPcat 343",637,637,637
"DPcat 344",649,649,649
"DPcat 345",661,661,661
"DPcat 346",673,673,673
"DPcat 347",685,685,685
"DPcat 348",697,697,697
"DPcat 349",709,709,709
"DPcat 350",721,721,721
"DPcat 351",733,733,733
"DPcat 352",534,534,534
"DPcat 353",547,547,547
"DPcat 354",560,560,560
"DPcat 355",573,573,573
"DPcat 356",586,586,586
"DPcat 357",599,599,599
"DPcat 358",612,612,612
"DPcat 359",625,625,625
"DPcat 360",638,638,638
"DPcat 361",651,651,651
"DPcat 362",664,664,664
"DPcat 363",677,677,677
"DPcat 364",690,690,690
"DPcat 365",703,703,703
"DPcat 366",716,716,716
"DPcat 367",729,729,729
"DPcat 368",742,742,742
"DPcat 369",794,794,794
"DPcat 370",807,807,807
"DPcat 371",820,820,820
"DPcat 372",833,833,833
"DPcat 373",846,846,846
"DPcat 374",859,859,859
"DPcat 375",872,872,872
"DPcat 376",885,885,885
"DPcat 377",898,898,898
"DPcat 378",911,911,911
"DPcat 379",924,924,924
"DPcat 380",937,937,937
"DPcat 381",950,950,950
"DPcat 382",963,963,963
"DPcat 383",976,976,976
"DPcat 384",989,989,989
"DPcat 385",1002,1002,1002
"DPcat 386",1015,1015,1015
"DPcat 387",1028,1028,1028
"DPcat 388",1041,1041,1041
"DPcat 389",1054,1054,1054
"DPcat 390",659,659,659
"DPcat 391",673,673,673
"DPcat 392",687,687,687
"DPcat 393",701,701,701
"DPcat 394",715,715,715
"DPcat 395",729,729,729
"DPcat 396",743,743,743
"DPcat 397",757,757,757
"DPcat 398",771,771,771
"DPcat 399",785,785,785
"DPcat 400",799,799,799
"DPcat 401",813,813,813
"DPcat 402",827,827,827
"DPcat 403",841,841,841
"DPcat 404",855,855,855
"DPcat 405",981,981,981
"DPcat 406",995,995,995
"DPcat 407",1009,1009,1009
"DPcat 408",1023,1023,1023
"DPcat 409",1037,1037,1037
"DPcat 410",1051,1051,1051
"DPcat 411",1065,1065,1065
"DPcat 412",1079,1079,1079
"DPcat 413",1093,1093,1093
"DPcat 414",1107,1107,1107
"DPcat 415",1121,1121,1121
"DPcat 416",1135,1135,1135
"DPcat 417",1149,1149,1149
"DPcat 418",1163,1163,1163
"DPcat 419",736,736,736
"DPcat 420",766,766,766
"DPcat 421",781,781,781
"DPcat 422",796,796,796
"DPcat 423",811,811,811
"DPcat 424",826,826,826
"DPcat 425",841,841,841
"DPcat 426",856,856,856
"DPcat 427",871,871,871
"DPcat 428",886,886,886
"DPcat 429",901,901,901
"DPcat 430",916,916,916
"DPcat 431",931,931,931
"DPcat 432",946,946,946
"DPcat 433",961,961,961
"DPcat 434",976,976,976
"DPcat 435",1006,1006,1006
"DPcat 436",1021,1021,1021
"DPcat 437",1036,1036,1036
"DPcat 438",1051,1051,1051
"DPcat 439",1066,1066,1066
"DPcat 440",1081,1081,1081
"DPcat 441",1096,1096,1096
"DPcat 442",1126,1126,1126
"DPcat 443",1141,1141,1141
"DPcat 444",1156,1156,1156
"DPcat 445",1171,1171,1171
"DPcat 446",1186,1186,1186
"DPcat 447",1201,1201,1201
"DPcat 448",1216,1216,1216
"DPcat 449",977,977,977
"DPcat 450",993,993,993
"DPcat 451",1009,1009,1009
"DPcat 452",1025,1025,1025
"DPcat 453",1041,1041,1041
"DPcat 454",1057,1057,1057
"DPcat 455",1073,1073,1073
"DPcat 456",1249,1249,1249
"DPcat 457",1265,1265,1265
"DPcat 458",1281,1281,1281
"DPcat 459",1297,1297,1297
"DPcat 460",1313,1313,1313
"DPcat 461",1329,1329,1329
"DPcat 462",1345,1345,1345
"DPcat 463",1457,1457,1457
"DPcat 464",1072,1072,1072
"DPcat 465",1106,1106,1106
"DPcat 466",1123,1123,1123
"DPcat 467",1140,1140,1140
"DPcat 468",1157,1157,1157
"DPcat 469",1174,1174,1174
"DPcat 470",1191,1191,1191
"DPcat 471",1208,1208,1208
"DPcat 472",1225,1225,1225
"DPcat 473",1242,1242,1242
"DPcat 474",1599,1599,1599
"DPcat 475",1279,1279,1279
"DPcat 476",1621,1621,1621
"DPcat 477",1426,1426,1426
"DPcat 478",1445,1445,1445
"DPcat 479",1464,1464,1464
"DPcat 480",2129,2129,2129
"DPcat 481",1661,1661,1661
"DPcat 482",2481,2481,2481
"DPcat 483",1828,1828,1828
"DPcat 484",2731,2731,2731
"PCAcat 1",19,19,21
"PCAcat 2",21,21,22
"PCAcat 3",22,22,23
"PCAcat 4",23,23,23
"PCAcat 5",25,25,27
"PCAcat 6",27,27,28
"PCAcat 7",28,28,29
"PCAcat 8",29,29,29
"PCAcat 9",31,31,33
"PCAcat 10",33,33,34
"PCAcat 11",34,34,35
"PCAcat 12",35,35,35
"PCAcat 13",37,37,39
"PCAcat 14",39,39,40
"PCAcat 15",41,41,43
"PCAcat 16",43,43,45
"PCAcat 17",45,45,46
"PCAcat 18",47,47,49
"PCAcat 19",49,49,52
"PCAcat 20",51,51,55
"PCAcat 21",53,53,58
"PCAcat 22",55,55,59
"PCAcat 23",57,57,60
"PCAcat 24",34,34,34
"PCAcat 25",36,36,36
"PCAcat 26",38,38,38
"PCAcat 27",40,40,40
"PCAcat 28",41,41,41
"PCAcat 29",43,43,43
"PCAcat 30",45,45,45
"PCAcat 31",46,46,46
"PCAcat 32",48,48,48
"PCAcat 33",50,50,50
"PCAcat 34",51,51,51
"PCAcat 35",52,52,52
"PCAcat 36",53,53,53
"PCAcat 37",55,55,55
"PCAcat 38",56,56,56
"PCAcat 39",57,57,57
"PCAcat 40",58,58,58
"PCAcat 41",60,60,60
"PCAcat 42",62,62,62
"PCAcat 43",63,63,63
"PCAcat 44",65,65,65
"PCAcat 45",67,67,67
"PCAcat 46",68,68,68
"PCAcat 47",69,69,69
"PCAcat 48",70,70,70
"PCAcat 49",72,72,72
"PCAcat 50",74,74,74
"PCAcat 51",75,75,75
"PCAcat 52",77,77,77
"PCAcat 53",79,79,79
"PCAcat 54",80,80,80
"PCAcat 55",81,81,81
"PCAcat 56",82,82,82
"PCAcat 57",84,84,84
"PCAcat 58",86,86,86
"PCAcat 59",45,45,45
"PCAcat 60",49,49,49
"PCAcat 61",53,53,53
"PCAcat 62",55,55,55
"PCAcat 63",57,57,57
"PCAcat 64",59,59,59
"PCAcat 65",61,61,61
"PCAcat 66",63,63,63
"PCAcat 67",65,65,65
"PCAcat 68",69,69,69
"PCAcat 69",73,73,73
"PCAcat 70",75,75,75
"PCAcat 71",77,77,77
"PCAcat 72",79,79,79
"PCAcat 73",81,81,81
"PCAcat 74",83,83,83
"PCAcat 75",85,85,85
"PCAcat 76",89,89,89
"PCAcat 77",93,93,93
"PCAcat 78",95,95,95
"PCAcat 79",97,97,97
"PCAcat 80",99,99,99
"PCAcat 81",101,101,101
"PCAcat 82",103,103,103
"PCAcat 83",105,105,105
"PCAcat 84",109,109,109
"PCAcat 85",113,113,113
"PCAcat 86",115,115,115
"PCAcat 87",117,117,117
"PCAcat 88",119,119,119
"PCAcat 89",121,121,121
"PCAcat 90",123,123,123
"PCAcat 91",125,125,125
"PCAcat 92",66,66,66
"PCAcat 93",67,67,67
"PCAcat 94",68,68,68
"PCAcat 95",70,70,70
"PCAcat 96",72,72,72
"PCAcat 97",74,74,74
"PCAcat 98",76,76,76
"PCAcat 99",79,79,79
"PCAcat 100",81,81,81
"PCAcat 101",86,86,86
"PCAcat 102",91,91,91
"PCAcat 103",96,96,96
"PCAcat 104",101,101,101
"PCAcat 105",105,105,105
"PCAcat 106",106,106,106
"PCAcat 107",107,107,107
"PCAcat 108",109,109,109
"PCAcat 109",111,111,111
"PCAcat 110",114,114,114
"PCAcat 111",116,116,116
"PCAcat 112",119,119,119
"PCAcat 113",121,121,121
"PCAcat 114",126,126,126
"PCAcat 115",131,131,131
"PCAcat 116",136,136,136
"PCAcat 117",141,141,141
"PCAcat 118",144,144,144
"PCAcat 119",146,146,146
"PCAcat 120",149,149,149
"PCAcat 121",151,151,151
"PCAcat 122",154,154,154
"PCAcat 123",156,156,156
"PCAcat 124",159,159,159
"PCAcat 125",161,161,161
"PCAcat 126",166,166,166
"PCAcat 127",171,171,171
