"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,5,724,566357,"Add 4 factors",4,566357,TRUE,"ARITHMETIC"
"Add n factors",6,5,725,578857,"Add 5 factors",5,578857,TRUE,"ARITHMETIC"
"Add n factors",6,5,726,714777,"Add 6 factors",6,578857,FALSE,"ARITH_OPEN"
"Add n factors",6,5,727,795857,"Add 5 factors",5,795857,TRUE,"ARITHMETIC"
"Add n factors",6,5,728,835857,"Add 5 factors",5,835857,TRUE,"ARITHMETIC"
"Add n factors",6,5,729,848357,"Add 5 factors",5,848357,TRUE,"ARITHMETIC"
"Add n factors",6,5,730,860857,"Add 5 factors",5,860857,TRUE,"ARITHMETIC"
"Add n factors",6,5,731,996777,"Add 6 factors",6,860857,FALSE,"ARITH_OPEN"
"Add n factors",5,6,703,258257,"Add 1 factors",1,258257,TRUE,"ARITHMETIC"
"Add n factors",5,6,704,280037,"Add 2 factors",2,280037,TRUE,"ARITHMETIC"
"Add n factors",5,6,706,308593,"Add 4 factors",4,292997,FALSE,"ARITH_OPEN"
"Add n factors",5,6,707,312538,"Add 5 factors",5,292997,FALSE,"ARITH_OPEN"
"Add n factors",5,6,709,338441,"Add 7 factors",7,292997,FALSE,"ARITH_OPEN"
"Add n factors",5,6,2815,706773,"Add 1 factors",1,706773,TRUE,"ARITHMETIC"
"Add n factors",5,6,2816,732513,"Add 2 factors",2,732513,TRUE,"ARITHMETIC"
"Add n factors",5,6,2817,748363,"Add 5 factors",5,723693,FALSE,"ARITH_OPEN"
"Add n factors",5,6,2818,765802,"Add 4 factors",4,745473,FALSE,"ARITH_OPEN"
"Add n factors",5,6,2819,770143,"Add 5 factors",5,745473,FALSE,"ARITH_OPEN"
"Add n factors",5,6,2821,801669,"Add 7 factors",7,745473,FALSE,"ARITH_OPEN"
"Add n factors",6,6,245,1888349,"Add 1 factors",1,1888349,TRUE,"ARITHMETIC"
"Add n factors",6,6,246,2101829,"Add 2 factors",2,2101829,TRUE,"ARITHMETIC"
"Add n factors",6,6,247,2526905,"Add 3 factors",3,2214149,FALSE,"ARITH_OPEN"
"Add n factors",6,6,249,2527986,"Add 5 factors",5,2291909,FALSE,"ARITH_OPEN"
"Add n factors",6,6,250,2614426,"Add 6 factors",6,2291909,FALSE,"ARITH_OPEN"
"Add n factors",6,6,251,2828999,"Add 7 factors",7,2291909,FALSE,"ARITH_OPEN"
"Add n factors",6,6,252,3305639,"Add 7 factors",7,2768549,FALSE,"ARITH_OPEN"
