"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,14,515,638469704,"Add 2 factors",2,638469704,TRUE,"ARITHMETIC"
"Add n factors",6,14,731,876768920,"Add 1 factors",1,876768920,TRUE,"ARITHMETIC"
"Add n factors",5,15,767,12620234,"Add 1 factors",1,12620234,TRUE,"ARITHMETIC"
"Add n factors",5,15,768,14746484,"Add 2 factors",2,14746484,TRUE,"ARITHMETIC"
"Add n factors",5,15,769,15455234,"Add 3 factors",3,15455234,TRUE,"ARITHMETIC"
"Add n factors",5,15,770,16362211,"Add 4 factors",4,16163984,FALSE,"ARITH_OPEN"
"Add n factors",5,15,771,16456711,"Add 5 factors",5,16163984,FALSE,"ARITH_OPEN"
"Add n factors",5,15,782,17599694,"Add 16 factors",16,16163984,FALSE,"ARITH_OPEN"
"Add n factors",5,15,783,19254718,"Add 17 factors",17,16163984,FALSE,"ARITH_OPEN"
"Add n factors",5,15,852,23188049,"Add 1 factors",1,23188049,TRUE,"ARITHMETIC"
"Add n factors",5,15,1148,31151619,"Add 1 factors",1,31151619,TRUE,"ARITHMETIC"
"Add n factors",5,15,5330,42432942,"Add 1 factors",1,42432942,TRUE,"ARITHMETIC"
"Add n factors",5,15,5331,44697792,"Add 2 factors",2,44697792,TRUE,"ARITHMETIC"
"Add n factors",6,15,19,37899705,"Add 1 factors",1,37899705,TRUE,"ARITHMETIC"
"Add n factors",6,15,269,260891369,"Add 1 factors",1,260891369,TRUE,"ARITHMETIC"
"Add n factors",6,15,290,336327148,"Add 1 factors",1,336327148,TRUE,"ARITHMETIC"
"Add n factors",6,15,291,367263298,"Add 2 factors",2,367263298,TRUE,"ARITHMETIC"
"Add n factors",6,15,292,389896048,"Add 3 factors",3,389896048,TRUE,"ARITHMETIC"
"Add n factors",6,15,294,418906251,"Add 5 factors",5,411158548,FALSE,"ARITH_OPEN"
"Add n factors",6,15,295,433811236,"Add 6 factors",6,411158548,FALSE,"ARITH_OPEN"
"Add n factors",6,15,305,443642608,"Add 16 factors",16,411158548,FALSE,"ARITH_OPEN"
"Add n factors",6,15,306,482199664,"Add 17 factors",17,411158548,FALSE,"ARITH_OPEN"
"Add n factors",6,15,514,617715356,"Add 1 factors",1,617715356,TRUE,"ARITHMETIC"
"Add n factors",6,15,515,664546406,"Add 2 factors",2,664546406,TRUE,"ARITHMETIC"
"Add n factors",6,15,731,887763628,"Add 1 factors",1,887763628,TRUE,"ARITHMETIC"
"Add n factors",5,16,767,13103536,"Add 1 factors",1,13103536,TRUE,"ARITHMETIC"
"Add n factors",5,16,768,15906736,"Add 2 factors",2,15906736,TRUE,"ARITHMETIC"
"Add n factors",5,16,769,16889776,"Add 3 factors",3,16889776,TRUE,"ARITHMETIC"
"Add n factors",5,16,782,17872816,"Add 16 factors",16,17872816,TRUE,"ARITHMETIC"
"Add n factors",5,16,783,19588192,"Add 17 factors",17,17872816,FALSE,"ARITH_OPEN"
"Add n factors",5,16,852,23671351,"Add 1 factors",1,23671351,TRUE,"ARITHMETIC"
"Add n factors",5,16,5330,43177740,"Add 1 factors",1,43177740,TRUE,"ARITHMETIC"
"Add n factors",6,16,19,39866207,"Add 1 factors",1,39866207,TRUE,"ARITHMETIC"
"Add n factors",6,16,290,346026480,"Add 1 factors",1,346026480,TRUE,"ARITHMETIC"
"Add n factors",6,16,291,383746800,"Add 2 factors",2,383746800,TRUE,"ARITHMETIC"
"Add n factors",6,16,292,414221040,"Add 3 factors",3,414221040,TRUE,"ARITHMETIC"
"Add n factors",6,16,293,429949680,"Add 4 factors",4,429949680,TRUE,"ARITHMETIC"
"Add n factors",6,16,305,445678320,"Add 16 factors",16,445678320,TRUE,"ARITHMETIC"
"Add n factors",6,16,306,484882160,"Add 17 factors",17,445678320,FALSE,"ARITH_OPEN"
"Add n factors",6,16,514,629265120,"Add 1 factors",1,629265120,TRUE,"ARITHMETIC"
"Add n factors",5,17,722,16542241,"Add 1 factors",1,16542241,TRUE,"ARITHMETIC"
"Add n factors",5,17,852,25065801,"Add 1 factors",1,25065801,TRUE,"ARITHMETIC"
"Add n factors",5,17,853,28912969,"Add 2 factors",2,28912969,TRUE,"ARITHMETIC"
"Add n factors",5,17,854,30249305,"Add 3 factors",3,30249305,TRUE,"ARITHMETIC"
"Add n factors",5,17,855,31579143,"Add 17 factors",17,31579143,TRUE,"ARITHMETIC"
"Add n factors",5,17,868,31585641,"Add 17 factors",17,31585641,TRUE,"ARITHMETIC"
"Add n factors",5,17,6243,58813776,"Add 1 factors",1,58813776,TRUE,"ARITHMETIC"
"Add n factors",6,17,269,302601377,"Add 1 factors",1,302601377,TRUE,"ARITHMETIC"
"Add n factors",6,17,270,347958193,"Add 2 factors",2,347958193,TRUE,"ARITHMETIC"
"Add n factors",6,17,291,495702032,"Add 1 factors",1,495702032,TRUE,"ARITHMETIC"
"Add n factors",6,17,292,541132832,"Add 2 factors",2,541132832,TRUE,"ARITHMETIC"
"Add n factors",6,17,293,585231920,"Add 3 factors",3,585231920,TRUE,"ARITHMETIC"
"Add n factors",6,17,294,607949632,"Add 4 factors",4,607949632,TRUE,"ARITHMETIC"
"Add n factors",6,17,306,630667105,"Add 17 factors",17,630667105,TRUE,"ARITHMETIC"
"Add n factors",6,17,307,630667344,"Add 17 factors",17,630667344,TRUE,"ARITHMETIC"
"Add n factors",6,17,842,1222399728,"Add 1 factors",1,1222399728,TRUE,"ARITHMETIC"
"Add n factors",6,17,2211,1533413136,"Add 1 factors",1,1533413136,TRUE,"ARITHMETIC"
"Add n factors",5,18,852,26957699,"Add 1 factors",1,26957699,TRUE,"ARITHMETIC"
"Add n factors",5,18,853,32118695,"Add 2 factors",2,32118695,TRUE,"ARITHMETIC"
"Add n factors",5,18,854,35653553,"Add 3 factors",3,33903287,FALSE,"ARITH_OPEN"
"Add n factors",5,18,855,36240984,"Add 4 factors",4,35687879,FALSE,"ARITH_OPEN"
"Add n factors",5,18,856,36454581,"Add 5 factors",5,35687879,FALSE,"ARITH_OPEN"
"Add n factors",5,18,857,38429531,"Add 19 factors",19,35664857,FALSE,"ARITH_OPEN"
"Add n factors",5,18,860,38436029,"Add 19 factors",19,35671355,FALSE,"ARITH_OPEN"
"Add n factors",5,18,870,38455523,"Add 19 factors",19,35687879,FALSE,"ARITH_OPEN"
"Add n factors",5,18,871,45604907,"Add 19 factors",19,42837263,FALSE,"ARITH_OPEN"
"Add n factors",5,18,872,50765903,"Add 19 factors",19,47998259,FALSE,"ARITH_OPEN"
"Add n factors",5,18,873,54300761,"Add 19 factors",19,51533117,FALSE,"ARITH_OPEN"
"Add n factors",5,18,874,54888192,"Add 19 factors",19,52120548,FALSE,"ARITH_OPEN"
"Add n factors",5,18,875,55101789,"Add 19 factors",19,52334145,FALSE,"ARITH_OPEN"
"Add n factors",5,18,1276,66574326,"Add 1 factors",1,66574326,TRUE,"ARITHMETIC"
"Add n factors",6,18,22,124325622,"Add 1 factors",1,124325622,TRUE,"ARITHMETIC"
"Add n factors",6,18,202,488832425,"Add 1 factors",1,488832425,TRUE,"ARITHMETIC"
"Add n factors",6,18,203,564275501,"Add 2 factors",2,564275501,TRUE,"ARITHMETIC"
"Add n factors",6,18,204,662634989,"Add 3 factors",3,630999413,FALSE,"ARITH_OPEN"
"Add n factors",6,18,205,712241978,"Add 5 factors",5,695228201,FALSE,"ARITH_OPEN"
"Add n factors",6,18,206,712258502,"Add 5 factors",5,695244725,FALSE,"ARITH_OPEN"
"Add n factors",6,18,207,730442186,"Add 6 factors",6,695244725,FALSE,"ARITH_OPEN"
"Add n factors",6,18,363,945717538,"Add 1 factors",1,945717538,TRUE,"ARITHMETIC"
"Add n factors",6,18,364,1021259758,"Add 2 factors",2,1021259758,TRUE,"ARITHMETIC"
"Add n factors",6,18,365,1124359906,"Add 3 factors",3,1088776822,FALSE,"ARITH_OPEN"
"Add n factors",6,18,366,1170123126,"Add 5 factors",5,1153021895,FALSE,"ARITH_OPEN"
"Add n factors",6,18,367,1170123365,"Add 5 factors",5,1153022134,FALSE,"ARITH_OPEN"
"Add n factors",6,18,368,1188758429,"Add 6 factors",6,1153022134,FALSE,"ARITH_OPEN"
"Add n factors",6,18,380,1228412717,"Add 19 factors",19,1153021895,FALSE,"ARITH_OPEN"
"Add n factors",6,18,381,1228412956,"Add 19 factors",19,1153022134,FALSE,"ARITH_OPEN"
"Add n factors",6,18,382,1425124138,"Add 1 factors",1,1425124138,TRUE,"ARITHMETIC"
"Add n factors",6,18,517,1704857390,"Add 1 factors",1,1704857390,TRUE,"ARITHMETIC"
"Add n factors",6,18,518,1833546302,"Add 2 factors",2,1833546302,TRUE,"ARITHMETIC"
"Add n factors",6,18,519,1956077558,"Add 3 factors",3,1910283758,FALSE,"ARITH_OPEN"
"Add n factors",6,18,962,2356094940,"Add 1 factors",1,2356094940,TRUE,"ARITHMETIC"
"Add n factors",6,18,963,2484783852,"Add 2 factors",2,2484783852,TRUE,"ARITHMETIC"
"Add n factors",5,19,852,28938007,"Add 1 factors",1,28938007,TRUE,"ARITHMETIC"
"Add n factors",5,19,853,35449003,"Add 2 factors",2,35449003,TRUE,"ARITHMETIC"
"Add n factors",5,19,854,37794781,"Add 3 factors",3,37794781,TRUE,"ARITHMETIC"
"Add n factors",5,19,857,40134061,"Add 19 factors",19,40134061,TRUE,"ARITHMETIC"
"Add n factors",5,19,870,40140559,"Add 19 factors",19,40140559,TRUE,"ARITHMETIC"
"Add n factors",5,19,871,49270249,"Add 19 factors",19,49270249,TRUE,"ARITHMETIC"
"Add n factors",5,19,872,55781245,"Add 19 factors",19,55781245,TRUE,"ARITHMETIC"
"Add n factors",6,19,22,136055124,"Add 1 factors",1,136055124,TRUE,"ARITHMETIC"
"Add n factors",6,19,202,507599155,"Add 1 factors",1,507599155,TRUE,"ARITHMETIC"
"Add n factors",6,19,203,596615257,"Add 2 factors",2,596615257,TRUE,"ARITHMETIC"
"Add n factors",6,19,204,683409043,"Add 3 factors",3,683409043,TRUE,"ARITHMETIC"
"Add n factors",6,19,205,727978825,"Add 4 factors",4,727978825,TRUE,"ARITHMETIC"
"Add n factors",6,19,363,968422194,"Add 1 factors",1,968422194,TRUE,"ARITHMETIC"
"Add n factors",6,19,364,1057555260,"Add 2 factors",2,1057555260,TRUE,"ARITHMETIC"
"Add n factors",6,19,365,1144349046,"Add 3 factors",3,1144349046,TRUE,"ARITHMETIC"
"Add n factors",6,19,366,1188918828,"Add 4 factors",4,1188918828,TRUE,"ARITHMETIC"
"Add n factors",6,19,380,1233488341,"Add 19 factors",19,1233488341,TRUE,"ARITHMETIC"
"Add n factors",6,19,381,1233488610,"Add 19 factors",19,1233488610,TRUE,"ARITHMETIC"
"Add n factors",6,19,382,1453855284,"Add 19 factors",19,1453855284,TRUE,"ARITHMETIC"
"Add n factors",6,19,517,1728315702,"Add 1 factors",1,1728315702,TRUE,"ARITHMETIC"
"Add n factors",6,19,518,1886379552,"Add 2 factors",2,1886379552,TRUE,"ARITHMETIC"
"Add n factors",6,19,962,2384216874,"Add 1 factors",1,2384216874,TRUE,"ARITHMETIC"
"Add n factors",5,20,786,64346323,"Add 1 factors",1,64346323,TRUE,"ARITHMETIC"
"Add n factors",5,20,787,72455523,"Add 2 factors",2,72455523,TRUE,"ARITHMETIC"
"Add n factors",5,20,788,75495523,"Add 3 factors",3,75495523,TRUE,"ARITHMETIC"
"Add n factors",5,20,789,79112858,"Add 4 factors",4,78535523,FALSE,"ARITH_OPEN"
"Add n factors",5,20,790,79425541,"Add 5 factors",5,78535523,FALSE,"ARITH_OPEN"
"Add n factors",5,20,792,92628883,"Add 23 factors",23,78413923,FALSE,"ARITH_OPEN"
"Add n factors",5,20,799,92640521,"Add 23 factors",23,78421523,FALSE,"ARITH_OPEN"
"Add n factors",5,20,801,92663797,"Add 23 factors",23,78436723,FALSE,"ARITH_OPEN"
"Add n factors",5,20,804,92675435,"Add 23 factors",23,78444323,FALSE,"ARITH_OPEN"
"Add n factors",5,20,805,92687073,"Add 23 factors",23,78451923,FALSE,"ARITH_OPEN"
"Add n factors",5,20,807,92698711,"Add 23 factors",23,78459523,FALSE,"ARITH_OPEN"
"Add n factors",5,20,808,92815091,"Add 23 factors",23,78535523,FALSE,"ARITH_OPEN"
"Add n factors",5,20,809,106510291,"Add 23 factors",23,92230723,FALSE,"ARITH_OPEN"
"Add n factors",6,20,250,1461605979,"Add 1 factors",1,1461605979,TRUE,"ARITHMETIC"
"Add n factors",6,20,251,1646323979,"Add 2 factors",2,1646323979,TRUE,"ARITHMETIC"
"Add n factors",6,20,531,2882919692,"Add 1 factors",1,2882919692,TRUE,"ARITHMETIC"
"Add n factors",6,20,532,3067804892,"Add 2 factors",2,3067804892,TRUE,"ARITHMETIC"
"Add n factors",6,20,533,3211292892,"Add 3 factors",3,3211292892,TRUE,"ARITHMETIC"
"Add n factors",6,20,534,3368524280,"Add 5 factors",5,3332740653,FALSE,"ARITH_OPEN"
"Add n factors",6,20,535,3368700975,"Add 5 factors",5,3332892892,FALSE,"ARITH_OPEN"
"Add n factors",6,20,536,3438264878,"Add 6 factors",6,3332892892,FALSE,"ARITH_OPEN"
"Add n factors",6,20,627,4437943924,"Add 1 factors",1,4437943924,TRUE,"ARITHMETIC"
"Add n factors",6,20,628,4675360324,"Add 2 factors",2,4675360324,TRUE,"ARITHMETIC"
"Add n factors",6,20,629,4820824324,"Add 3 factors",3,4820824324,TRUE,"ARITHMETIC"
"Add n factors",6,20,630,4980955102,"Add 5 factors",5,4942120115,FALSE,"ARITH_OPEN"
"Add n factors",6,20,631,4981308223,"Add 5 factors",5,4942424324,FALSE,"ARITH_OPEN"
"Add n factors",6,20,632,5058505663,"Add 6 factors",6,4942424324,FALSE,"ARITH_OPEN"
"Add n factors",6,20,6894,10657632966,"Add 1 factors",1,10657632966,TRUE,"ARITHMETIC"
"Add n factors",5,21,786,69066865,"Add 1 factors",1,69066865,TRUE,"ARITHMETIC"
"Add n factors",5,21,787,78954085,"Add 2 factors",2,78954085,TRUE,"ARITHMETIC"
"Add n factors",5,21,788,82843705,"Add 3 factors",3,82843705,TRUE,"ARITHMETIC"
"Add n factors",5,21,789,87411346,"Add 4 factors",4,86733325,FALSE,"ARITH_OPEN"
"Add n factors",5,21,790,87781786,"Add 5 factors",5,86733325,FALSE,"ARITH_OPEN"
"Add n factors",5,21,791,97500147,"Add 23 factors",23,86610265,FALSE,"ARITH_OPEN"
"Add n factors",5,21,792,97511785,"Add 23 factors",23,86619085,FALSE,"ARITH_OPEN"
"Add n factors",5,21,799,97521905,"Add 23 factors",23,86627485,FALSE,"ARITH_OPEN"
"Add n factors",5,21,804,97533543,"Add 23 factors",23,86636305,FALSE,"ARITH_OPEN"
"Add n factors",5,21,806,97626647,"Add 23 factors",23,86706865,FALSE,"ARITH_OPEN"
"Add n factors",5,21,808,97661561,"Add 23 factors",23,86733325,FALSE,"ARITH_OPEN"
"Add n factors",6,21,250,1506381021,"Add 1 factors",1,1506381021,TRUE,"ARITHMETIC"
"Add n factors",6,21,266,2179114157,"Add 1 factors",1,2179114157,TRUE,"ARITHMETIC"
"Add n factors",6,21,531,2940685964,"Add 1 factors",1,2940685964,TRUE,"ARITHMETIC"
"Add n factors",6,21,532,3155267744,"Add 2 factors",2,3155267744,TRUE,"ARITHMETIC"
"Add n factors",6,21,533,3336783344,"Add 3 factors",3,3336783344,TRUE,"ARITHMETIC"
"Add n factors",6,21,534,3541726632,"Add 5 factors",5,3499961895,FALSE,"ARITH_OPEN"
"Add n factors",6,21,535,3541939903,"Add 5 factors",5,3500147384,FALSE,"ARITH_OPEN"
"Add n factors",6,21,627,4493912596,"Add 1 factors",1,4493912596,TRUE,"ARITHMETIC"
"Add n factors",6,21,628,4769458216,"Add 2 factors",2,4769458216,TRUE,"ARITHMETIC"
"Add n factors",6,21,629,4955789536,"Add 3 factors",3,4955789536,TRUE,"ARITHMETIC"
"Add n factors",6,21,630,5160662430,"Add 5 factors",5,5115634157,FALSE,"ARITH_OPEN"
"Add n factors",6,21,631,5164709707,"Add 5 factors",5,5119153576,FALSE,"ARITH_OPEN"
"Add n factors",6,21,632,5274883022,"Add 6 factors",6,5119153576,FALSE,"ARITH_OPEN"
"Add n factors",6,21,634,5512605819,"Add 23 factors",23,5115384677,FALSE,"ARITH_OPEN"
"Add n factors",6,21,643,5512861855,"Add 23 factors",23,5115597197,FALSE,"ARITH_OPEN"
"Add n factors",6,21,648,5512906383,"Add 23 factors",23,5115634157,FALSE,"ARITH_OPEN"
"Add n factors",6,21,649,5517992428,"Add 23 factors",23,5119153576,FALSE,"ARITH_OPEN"
"Add n factors",6,21,6894,10766629552,"Add 1 factors",1,10766629552,TRUE,"ARITHMETIC"
"Add n factors",5,22,786,71671203,"Add 1 factors",1,71671203,TRUE,"ARITHMETIC"
"Add n factors",5,22,787,83705379,"Add 2 factors",2,83705379,TRUE,"ARITHMETIC"
"Add n factors",5,22,788,92338487,"Add 3 factors",3,88624755,FALSE,"ARITH_OPEN"
"Add n factors",5,22,789,94625415,"Add 4 factors",4,93544131,FALSE,"ARITH_OPEN"
"Add n factors",5,22,790,95653696,"Add 5 factors",5,93544131,FALSE,"ARITH_OPEN"
"Add n factors",5,22,791,99218525,"Add 23 factors",23,93300195,FALSE,"ARITH_OPEN"
"Add n factors",5,22,796,99230163,"Add 23 factors",23,93310359,FALSE,"ARITH_OPEN"
"Add n factors",5,22,799,99241801,"Add 23 factors",23,93320523,FALSE,"ARITH_OPEN"
"Add n factors",5,22,807,99299991,"Add 23 factors",23,93371343,FALSE,"ARITH_OPEN"
"Add n factors",5,22,808,99497837,"Add 23 factors",23,93544131,FALSE,"ARITH_OPEN"
"Add n factors",5,22,809,113079927,"Add 25 factors",25,93371343,FALSE,"ARITH_OPEN"
"Add n factors",5,22,810,113334927,"Add 25 factors",25,93544131,FALSE,"ARITH_OPEN"
"Add n factors",6,22,250,1553394941,"Add 1 factors",1,1553394941,TRUE,"ARITHMETIC"
"Add n factors",6,22,266,2226128077,"Add 1 factors",1,2226128077,TRUE,"ARITHMETIC"
"Add n factors",6,22,531,2997898102,"Add 1 factors",1,2997898102,TRUE,"ARITHMETIC"
"Add n factors",6,22,532,3245198386,"Add 2 factors",2,3245198386,TRUE,"ARITHMETIC"
"Add n factors",6,22,533,3565308792,"Add 3 factors",3,3471042466,FALSE,"ARITH_OPEN"
"Add n factors",6,22,627,4552679826,"Add 1 factors",1,4552679826,TRUE,"ARITHMETIC"
"Add n factors",6,22,628,4870233678,"Add 2 factors",2,4870233678,TRUE,"ARITHMETIC"
"Add n factors",6,22,629,5207491676,"Add 3 factors",3,5101444350,FALSE,"ARITH_OPEN"
"Add n factors",6,22,630,5390068576,"Add 4 factors",4,5209670622,FALSE,"ARITH_OPEN"
"Add n factors",6,22,631,5397169439,"Add 5 factors",5,5317896894,FALSE,"ARITH_OPEN"
"Add n factors",6,22,632,5475897767,"Add 6 factors",6,5317896894,FALSE,"ARITH_OPEN"
"Add n factors",6,22,634,5531099615,"Add 23 factors",23,5317398589,FALSE,"ARITH_OPEN"
"Add n factors",6,22,643,5531355651,"Add 23 factors",23,5317632361,FALSE,"ARITH_OPEN"
"Add n factors",6,22,648,5531400179,"Add 23 factors",23,5317673017,FALSE,"ARITH_OPEN"
"Add n factors",6,22,649,5531668122,"Add 23 factors",23,5317896894,FALSE,"ARITH_OPEN"
"Add n factors",6,22,6894,10881076092,"Add 1 factors",1,10881076092,TRUE,"ARITHMETIC"
"Add n factors",5,23,786,74474115,"Add 1 factors",1,74474115,TRUE,"ARITHMETIC"
"Add n factors",5,23,787,88637561,"Add 2 factors",2,88637561,TRUE,"ARITHMETIC"
"Add n factors",5,23,788,94794063,"Add 3 factors",3,94794063,TRUE,"ARITHMETIC"
"Add n factors",5,23,808,100950565,"Add 23 factors",23,100950565,TRUE,"ARITHMETIC"
"Add n factors",5,23,810,115154729,"Add 25 factors",25,100950565,FALSE,"ARITH_OPEN"
"Add n factors",6,23,250,1602647751,"Add 1 factors",1,1602647751,TRUE,"ARITHMETIC"
"Add n factors",6,23,266,2275380887,"Add 1 factors",1,2275380887,TRUE,"ARITHMETIC"
"Add n factors",6,23,531,3057834758,"Add 1 factors",1,3057834758,TRUE,"ARITHMETIC"
"Add n factors",6,23,532,3341022212,"Add 2 factors",2,3341022212,TRUE,"ARITHMETIC"
"Add n factors",6,23,627,4614245626,"Add 1 factors",1,4614245626,TRUE,"ARITHMETIC"
"Add n factors",6,23,628,4977874936,"Add 2 factors",2,4977874936,TRUE,"ARITHMETIC"
"Add n factors",6,23,629,5278740512,"Add 3 factors",3,5278740512,TRUE,"ARITHMETIC"
"Add n factors",6,23,630,5420340058,"Add 4 factors",4,5420340058,TRUE,"ARITHMETIC"
"Add n factors",6,23,634,5555749913,"Add 23 factors",23,5555749913,TRUE,"ARITHMETIC"
"Add n factors",6,23,643,5556005949,"Add 23 factors",23,5556005949,TRUE,"ARITHMETIC"
"Add n factors",6,23,648,5556050477,"Add 23 factors",23,5556050477,TRUE,"ARITHMETIC"
"Add n factors",6,23,649,5561939604,"Add 23 factors",23,5561939604,TRUE,"ARITHMETIC"
"Add n factors",5,24,713,90085391,"Add 1 factors",1,90085391,TRUE,"ARITHMETIC"
"Add n factors",5,24,714,106287695,"Add 2 factors",2,106287695,TRUE,"ARITHMETIC"
"Add n factors",5,24,715,113918543,"Add 3 factors",3,113918543,TRUE,"ARITHMETIC"
"Add n factors",5,24,716,122569994,"Add 4 factors",4,121549391,FALSE,"ARITH_OPEN"
"Add n factors",5,24,717,123224873,"Add 5 factors",5,121549391,FALSE,"ARITH_OPEN"
"Add n factors",5,24,726,128318423,"Add 25 factors",25,121214735,FALSE,"ARITH_OPEN"
"Add n factors",5,24,729,128333423,"Add 25 factors",25,121229735,FALSE,"ARITH_OPEN"
"Add n factors",5,24,731,128678423,"Add 25 factors",25,121534439,FALSE,"ARITH_OPEN"
"Add n factors",5,24,734,128694023,"Add 25 factors",25,121548791,FALSE,"ARITH_OPEN"
"Add n factors",5,24,737,128694623,"Add 25 factors",25,121549391,FALSE,"ARITH_OPEN"
"Add n factors",5,24,738,150420791,"Add 25 factors",25,143275559,FALSE,"ARITH_OPEN"
"Add n factors",5,24,739,166623095,"Add 25 factors",25,159477863,FALSE,"ARITH_OPEN"
"Add n factors",5,24,740,174253943,"Add 25 factors",25,167108711,FALSE,"ARITH_OPEN"
"Add n factors",6,24,266,2570779319,"Add 1 factors",1,2570779319,TRUE,"ARITHMETIC"
"Add n factors",6,24,267,2984421623,"Add 2 factors",2,2984421623,TRUE,"ARITHMETIC"
"Add n factors",6,24,268,3361830647,"Add 3 factors",3,3361830647,TRUE,"ARITHMETIC"
"Add n factors",6,24,269,3784188023,"Add 4 factors",4,3544970999,FALSE,"ARITH_OPEN"
"Add n factors",6,24,270,3803857906,"Add 5 factors",5,3728111351,FALSE,"ARITH_OPEN"
"Add n factors",6,24,271,3879710384,"Add 6 factors",6,3728111351,FALSE,"ARITH_OPEN"
"Add n factors",6,24,627,4958153848,"Add 1 factors",1,4958153848,TRUE,"ARITHMETIC"
"Add n factors",6,24,628,5372114104,"Add 2 factors",2,5372114104,TRUE,"ARITHMETIC"
"Add n factors",6,24,629,5753020600,"Add 3 factors",3,5753020600,TRUE,"ARITHMETIC"
"Add n factors",6,24,731,7466574008,"Add 1 factors",1,7466574008,TRUE,"ARITHMETIC"
"Add n factors",6,24,732,7988002040,"Add 2 factors",2,7988002040,TRUE,"ARITHMETIC"
"Add n factors",6,24,843,10190195946,"Add 1 factors",1,10190195946,TRUE,"ARITHMETIC"
"Add n factors",5,25,713,91975825,"Add 1 factors",1,91975825,TRUE,"ARITHMETIC"
"Add n factors",5,25,714,111445825,"Add 2 factors",2,111445825,TRUE,"ARITHMETIC"
"Add n factors",5,25,715,120820825,"Add 3 factors",3,120820825,TRUE,"ARITHMETIC"
"Add n factors",5,25,726,129804625,"Add 25 factors",25,129804625,TRUE,"ARITHMETIC"
"Add n factors",5,25,727,130164625,"Add 25 factors",25,130164625,TRUE,"ARITHMETIC"
"Add n factors",5,25,731,130179625,"Add 25 factors",25,130179625,TRUE,"ARITHMETIC"
"Add n factors",5,25,734,130195225,"Add 25 factors",25,130195225,TRUE,"ARITHMETIC"
"Add n factors",5,25,737,130195825,"Add 25 factors",25,130195825,TRUE,"ARITHMETIC"
"Add n factors",5,25,738,153812425,"Add 25 factors",25,153812425,TRUE,"ARITHMETIC"
"Add n factors",5,25,739,173282425,"Add 25 factors",25,173282425,TRUE,"ARITHMETIC"
"Add n factors",6,25,266,2645719225,"Add 1 factors",1,2645719225,TRUE,"ARITHMETIC"
"Add n factors",6,25,267,3114094225,"Add 2 factors",2,3114094225,TRUE,"ARITHMETIC"
"Add n factors",6,25,268,3573469225,"Add 3 factors",3,3573469225,TRUE,"ARITHMETIC"
"Add n factors",6,25,269,3807844225,"Add 4 factors",4,3807844225,TRUE,"ARITHMETIC"
"Add n factors",6,25,627,5049624984,"Add 1 factors",1,5049624984,TRUE,"ARITHMETIC"
"Add n factors",6,25,628,5518359984,"Add 2 factors",2,5518359984,TRUE,"ARITHMETIC"
"Add n factors",6,25,731,7576822744,"Add 1 factors",1,7576822744,TRUE,"ARITHMETIC"
"Add n factors",6,25,732,8167237744,"Add 2 factors",2,8167237744,TRUE,"ARITHMETIC"
"Add n factors",6,25,843,10300444680,"Add 1 factors",1,10300444680,TRUE,"ARITHMETIC"
"Add a factor",3,2,1332,59,"Add a factor",1,59,TRUE,"ARITHMETIC"
"Add a factor",3,3,4097,300,"Add a factor",1,300,TRUE,"ARITHMETIC"
"Add a factor",4,3,4713,2149,"Add a factor",1,2149,TRUE,"ARITHMETIC"
"Add a factor",4,3,4714,2203,"Add a factor",2,2203,TRUE,"ARITHMETIC"
"Add a factor",4,3,7013,2571,"Add a factor",1,2571,TRUE,"ARITHMETIC"
"Add a factor",3,6,1856,2049,"Add a factor",1,2049,TRUE,"ARITHMETIC"
"Add a factor",3,7,58,979,"Add a factor",1,979,TRUE,"ARITHMETIC"
"Add a factor",4,7,3494,33751,"Add a factor",1,33751,TRUE,"ARITHMETIC"
"Add a factor",4,7,3495,35809,"Add a factor",2,35809,TRUE,"ARITHMETIC"
"Add a factor",4,8,2813,58038,"Add a factor",1,58038,TRUE,"ARITHMETIC"
"Add a factor",4,8,2814,61622,"Add a factor",2,61622,TRUE,"ARITHMETIC"
"Add a factor",3,9,92,2105,"Add a factor",1,2105,TRUE,"ARITHMETIC"
"Add a factor",4,9,2634,86481,"Add a factor",1,86481,TRUE,"ARITHMETIC"
"Add a factor",4,9,2635,92313,"Add a factor",2,92313,TRUE,"ARITHMETIC"
"Add a factor",3,10,134,3559,"Add a factor",1,3559,TRUE,"ARITHMETIC"
"Add a factor",4,10,2596,163709,"Add a factor",1,163709,TRUE,"ARITHMETIC"
"Add a factor",4,10,2597,172709,"Add a factor",2,172709,TRUE,"ARITHMETIC"
"Add a factor",3,11,134,3871,"Add a factor",1,3871,TRUE,"ARITHMETIC"
"Add a factor",4,11,2596,175541,"Add a factor",1,175541,TRUE,"ARITHMETIC"
"Add a factor",4,11,2597,188851,"Add a factor",2,188851,TRUE,"ARITHMETIC"
"Add a factor",3,12,184,5975,"Add a factor",1,5975,TRUE,"ARITHMETIC"
"Add a factor",4,12,3113,318683,"Add a factor",1,318683,TRUE,"ARITHMETIC"
"Add a factor",4,12,3114,337691,"Add a factor",2,337691,TRUE,"ARITHMETIC"
"Add a factor",3,13,184,6421,"Add a factor",1,6421,TRUE,"ARITHMETIC"
"Add a factor",4,13,3113,337849,"Add a factor",1,337849,TRUE,"ARITHMETIC"
"Add a factor",3,17,382,18337,"Add a factor",1,18337,TRUE,"ARITHMETIC"
