"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",5,6,361,180017,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",180017,"ARITHMETIC"
"fuse",5,6,418,182411,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",182411,"ARITHMETIC"
"fuse",5,6,447,184469,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",184469,"ARITHMETIC"
"fuse",5,6,451,184763,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",184763,"ARITHMETIC"
"fuse",5,6,454,184805,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",184805,"ARITHMETIC"
"fuse",5,6,455,184865,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",184865,"ARITHMETIC"
"fuse",5,6,495,194423,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",194423,"ARITHMETIC"
"fuse",5,6,546,196817,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",196817,"ARITHMETIC"
"fuse",5,6,592,199211,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",199211,"ARITHMETIC"
"fuse",5,6,628,201269,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",201269,"ARITHMETIC"
"fuse",5,6,660,201563,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",201563,"ARITHMETIC"
"fuse",5,6,661,201605,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",201605,"ARITHMETIC"
"fuse",5,6,679,211223,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",211223,"ARITHMETIC"
"fuse",5,6,702,213617,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",213617,"ARITHMETIC"
"fuse",6,6,17,350537,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",350537,"ARITHMETIC"
"fuse",6,6,18,352943,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",352943,"ARITHMETIC"
"fuse",6,6,20,436973,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",436973,"ARITHMETIC"
"fuse",6,6,21,453773,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",453773,"ARITHMETIC"
"fuse",6,6,22,468179,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",468179,"ARITHMETIC"
"fuse",6,6,23,470573,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",470573,"ARITHMETIC"
"fuse",6,6,25,470591,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",470591,"ARITHMETIC"
"fuse",6,6,29,585821,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",585821,"ARITHMETIC"
"fuse",6,6,31,587879,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",587879,"ARITHMETIC"
"fuse",6,6,34,588239,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",588239,"ARITHMETIC"
"fuse",6,6,36,672257,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",672257,"ARITHMETIC"
"fuse",6,6,38,689057,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",689057,"ARITHMETIC"
"fuse",6,6,39,705521,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",705521,"ARITHMETIC"
"fuse",6,6,40,705815,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",705815,"ARITHMETIC"
"fuse",6,6,41,705857,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",705857,"ARITHMETIC"
"fuse",6,6,49,705887,"CPHF IPO 6 (WCS) fuse",1,"CPHF IPO 6 (WCS)",705887,"ARITHMETIC"
"fuse",6,6,51,821105,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",821105,"ARITHMETIC"
"fuse",6,6,52,823163,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",823163,"ARITHMETIC"
"fuse",6,6,55,823457,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",823457,"ARITHMETIC"
"fuse",6,6,67,823535,"CPHF IPO 7 (WCS) fuse",1,"CPHF IPO 7 (WCS)",823535,"ARITHMETIC"
"fuse",6,6,68,924341,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",924341,"ARITHMETIC"
