"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",5,10,15,307459,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",307459,"ARITHMETIC"
"fuse",5,10,16,320769,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",320769,"ARITHMETIC"
"fuse",5,10,17,321979,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",321979,"ARITHMETIC"
"fuse",5,10,26,468499,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",468499,"ARITHMETIC"
"fuse",5,10,28,481809,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",481809,"ARITHMETIC"
"fuse",5,10,29,483129,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",483129,"ARITHMETIC"
"fuse",5,10,30,483149,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",483149,"ARITHMETIC"
"fuse",5,10,38,614909,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",614909,"ARITHMETIC"
"fuse",5,10,39,628219,"4,3-restricted SCPHF RE (CL) fuse",1,"4,3-restricted SCPHF RE (CL)",628219,"ARITHMETIC"
"fuse",5,10,42,629539,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",629539,"ARITHMETIC"
"fuse",5,10,44,641529,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",641529,"ARITHMETIC"
"fuse",5,10,46,642739,"3,2-restricted SCPHF RE (CL) fuse",1,"3,2-restricted SCPHF RE (CL)",642739,"ARITHMETIC"
"fuse",5,10,47,642849,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",642849,"ARITHMETIC"
"fuse",5,10,51,644199,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",644199,"ARITHMETIC"
"fuse",5,10,61,775949,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",775949,"ARITHMETIC"
"fuse",5,10,69,790579,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",790579,"ARITHMETIC"
"fuse",5,10,77,803889,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",803889,"ARITHMETIC"
"fuse",5,10,79,805099,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",805099,"ARITHMETIC"
"fuse",5,10,89,805249,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",805249,"ARITHMETIC"
"fuse",5,10,90,922359,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",922359,"ARITHMETIC"
"fuse",5,10,100,936989,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",936989,"ARITHMETIC"
"fuse",5,10,109,951619,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",951619,"ARITHMETIC"
"fuse",5,10,120,964929,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",964929,"ARITHMETIC"
"fuse",5,10,125,966139,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",966139,"ARITHMETIC"
"fuse",5,10,159,966299,"CPHF IPO 6 (WCS) fuse",1,"CPHF IPO 6 (WCS)",966299,"ARITHMETIC"
"fuse",5,10,161,1098029,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1098029,"ARITHMETIC"
"fuse",5,10,182,1112659,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1112659,"ARITHMETIC"
"fuse",5,10,196,1125969,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1125969,"ARITHMETIC"
"fuse",5,10,209,1127179,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1127179,"ARITHMETIC"
"fuse",5,10,228,1244439,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",1244439,"ARITHMETIC"
"fuse",5,10,248,1259069,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1259069,"ARITHMETIC"
"fuse",5,10,289,1273699,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1273699,"ARITHMETIC"
"fuse",5,10,328,1287009,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1287009,"ARITHMETIC"
"fuse",5,10,332,1288219,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1288219,"ARITHMETIC"
"fuse",5,10,340,1288329,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1288329,"ARITHMETIC"
"fuse",5,10,342,1288399,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",1288399,"ARITHMETIC"
"fuse",5,10,389,1405479,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",1405479,"ARITHMETIC"
"fuse",5,10,425,1420109,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1420109,"ARITHMETIC"
"fuse",5,10,472,1434739,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1434739,"ARITHMETIC"
"fuse",5,10,505,1448049,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1448049,"ARITHMETIC"
"fuse",5,10,524,1449259,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1449259,"ARITHMETIC"
"fuse",5,10,529,1449369,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1449369,"ARITHMETIC"
"fuse",5,10,533,1449449,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",1449449,"ARITHMETIC"
"fuse",5,10,614,1566519,"4,4,4-Restricted SCPHF RE (CL) fuse",1,"4,4,4-Restricted SCPHF RE (CL)",1566519,"ARITHMETIC"
"fuse",5,10,680,1581149,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1581149,"ARITHMETIC"
"fuse",5,10,730,1595779,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1595779,"ARITHMETIC"
"fuse",5,10,827,1609089,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1609089,"ARITHMETIC"
"fuse",6,10,12,1771559,"orthogonal array fuse",1,"orthogonal array",1771559,"ARITHMETIC"
"fuse",6,10,13,2928200,"extended OA (Colbourn) special fuse",1,"extended OA (Colbourn) special",3367428,"ARITH_OPEN"
"fuse",6,10,15,3528479,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",3528479,"ARITHMETIC"
"fuse",6,10,19,5153619,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",5153619,"ARITHMETIC"
"fuse",6,10,21,5300029,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",5300029,"ARITHMETIC"
"fuse",6,10,22,5313339,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",5313339,"ARITHMETIC"
"fuse",6,10,23,5314679,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",5314679,"ARITHMETIC"
"fuse",6,10,26,6764129,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",6764129,"ARITHMETIC"
"fuse",6,10,28,6925169,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",6925169,"ARITHMETIC"
"fuse",6,10,30,7071579,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",7071579,"ARITHMETIC"
"fuse",6,10,31,7086099,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",7086099,"ARITHMETIC"
"fuse",6,10,35,7086239,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",7086239,"ARITHMETIC"
"fuse",6,10,41,8696719,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",8696719,"ARITHMETIC"
"fuse",6,10,43,8843129,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",8843129,"ARITHMETIC"
"fuse",6,10,44,8856439,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",8856439,"ARITHMETIC"
"fuse",6,10,45,8857649,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",8857649,"ARITHMETIC"
"fuse",6,10,46,8857759,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",8857759,"ARITHMETIC"
"fuse",6,10,48,8857799,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",8857799,"ARITHMETIC"
"fuse",6,10,54,10307229,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",10307229,"ARITHMETIC"
"fuse",6,10,60,10468269,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",10468269,"ARITHMETIC"
"fuse",6,10,61,10614679,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",10614679,"ARITHMETIC"
"fuse",6,10,66,10627989,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",10627989,"ARITHMETIC"
"fuse",6,10,67,10629309,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",10629309,"ARITHMETIC"
"fuse",6,10,68,10629359,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",10629359,"ARITHMETIC"
"fuse",6,10,74,11917739,"5,5,5-Restricted SCPHF RE (CL) fuse",1,"5,5,5-Restricted SCPHF RE (CL)",11917739,"ARITHMETIC"
"fuse",6,10,83,12078779,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",12078779,"ARITHMETIC"
"fuse",6,10,88,12239819,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",12239819,"ARITHMETIC"
"fuse",6,10,95,12386229,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",12386229,"ARITHMETIC"
"fuse",6,10,97,12399539,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",12399539,"ARITHMETIC"
"fuse",6,10,100,12400749,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",12400749,"ARITHMETIC"
"fuse",6,10,107,13689289,"5,5,5-Restricted SCPHF RE (CL) fuse",1,"5,5,5-Restricted SCPHF RE (CL)",13689289,"ARITHMETIC"
"fuse",6,10,121,13850329,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",13850329,"ARITHMETIC"
"fuse",6,10,132,14011369,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",14011369,"ARITHMETIC"
"fuse",6,10,141,14157779,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",14157779,"ARITHMETIC"
"fuse",6,10,145,14171089,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",14171089,"ARITHMETIC"
"fuse",6,10,147,14172299,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",14172299,"ARITHMETIC"
"fuse",6,10,150,14172409,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",14172409,"ARITHMETIC"
"fuse",6,10,208,15943959,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",15943959,"ARITHMETIC"
"fuse",6,10,250,43441171,"SCPHF Random Extension (CLS) fuse fuse fuse",3,"SCPHF Random Extension (CLS)",43441171,"ARITHMETIC"
"fuse",6,11,250,43441173,"SCPHF Random Extension (CLS) fuse fuse",2,"SCPHF Random Extension (CLS)",43441173,"ARITHMETIC"
"fuse",3,12,159,4379,"SCPHF LFSR (TJ-IM) fuse",1,"SCPHF LFSR (TJ-IM)",4379,"ARITHMETIC"
"fuse",3,12,183,4391,"Raaphorst-Moura-Stevens fuse",1,"Raaphorst-Moura-Stevens",4391,"ARITHMETIC"
"fuse",3,12,235,6563,"SCPHF Conditional Expectation (CLS) fuse",1,"SCPHF Conditional Expectation (CLS)",6563,"ARITHMETIC"
"fuse",3,12,242,6587,"CPHF Sim Annealing (TJ-IM) fuse",1,"CPHF Sim Annealing (TJ-IM)",6587,"ARITHMETIC"
"fuse",3,12,773,8747,"Restricted CPHF Ext  4( 0, 4) WCS fuse",1,"Restricted CPHF Ext  4( 0, 4) WCS",8747,"ARITHMETIC"
"fuse",3,12,780,8759,"Restricted CPHF Ext  4( 0, 3) WCS fuse",1,"Restricted CPHF Ext  4( 0, 3) WCS",8759,"ARITHMETIC"
"fuse",3,12,785,8771,"Restricted CPHF Ext  4( 0, 2) WCS fuse",1,"Restricted CPHF Ext  4( 0, 2) WCS",8771,"ARITHMETIC"
"fuse",3,12,791,8783,"Restricted CPHF Ext  4( 0, 0) WCS fuse",1,"Restricted CPHF Ext  4( 0, 0) WCS",8783,"ARITHMETIC"
"fuse",3,12,2380,10330,"Cohen-Colbourn-Ling fuse",1,"Cohen-Colbourn-Ling",10330,"ARITHMETIC"
"fuse",3,12,2758,10931,"Restricted CPHF Ext  5( 0, 5) WCS fuse",1,"Restricted CPHF Ext  5( 0, 5) WCS",10931,"ARITHMETIC"
"fuse",3,12,2794,10943,"Restricted CPHF Ext  5( 0, 4) WCS fuse",1,"Restricted CPHF Ext  5( 0, 4) WCS",10943,"ARITHMETIC"
"fuse",3,12,2823,10955,"Restricted CPHF Ext  5( 0, 3) WCS fuse",1,"Restricted CPHF Ext  5( 0, 3) WCS",10955,"ARITHMETIC"
"fuse",3,12,2855,10967,"Restricted CPHF Ext  5( 0, 2) WCS fuse",1,"Restricted CPHF Ext  5( 0, 2) WCS",10967,"ARITHMETIC"
"fuse",3,12,2904,10979,"Restricted CPHF Ext  5( 0, 0) WCS fuse",1,"Restricted CPHF Ext  5( 0, 0) WCS",10979,"ARITHMETIC"
"fuse",3,12,2925,12335,"Restricted CPHF Ext  6( 5, 6) WCS fuse",1,"Restricted CPHF Ext  6( 5, 6) WCS",12335,"ARITHMETIC"
"fuse",3,12,3858,12491,"Restricted CPHF Ext  6( 4, 6) WCS fuse",1,"Restricted CPHF Ext  6( 4, 6) WCS",12491,"ARITHMETIC"
"fuse",3,12,4005,12503,"Restricted CPHF Ext  6( 4, 5) WCS fuse",1,"Restricted CPHF Ext  6( 4, 5) WCS",12503,"ARITHMETIC"
"fuse",3,12,4978,12647,"Restricted CPHF Ext  6( 3, 6) WCS fuse",1,"Restricted CPHF Ext  6( 3, 6) WCS",12647,"ARITHMETIC"
"fuse",3,12,5029,12659,"Restricted CPHF Ext  6( 3, 5) WCS fuse",1,"Restricted CPHF Ext  6( 3, 5) WCS",12659,"ARITHMETIC"
"fuse",3,12,5086,12671,"Restricted CPHF Ext  6( 3, 4) WCS fuse",1,"Restricted CPHF Ext  6( 3, 4) WCS",12671,"ARITHMETIC"
"fuse",3,12,6159,12803,"Restricted CPHF Ext  6( 2, 6) WCS fuse",1,"Restricted CPHF Ext  6( 2, 6) WCS",12803,"ARITHMETIC"
"fuse",3,12,6170,12815,"Restricted CPHF Ext  6( 2, 5) WCS fuse",1,"Restricted CPHF Ext  6( 2, 5) WCS",12815,"ARITHMETIC"
"fuse",3,12,6244,12827,"Restricted CPHF Ext  6( 2, 4) WCS fuse",1,"Restricted CPHF Ext  6( 2, 4) WCS",12827,"ARITHMETIC"
"fuse",3,12,6266,12839,"Restricted CPHF Ext  6( 2, 3) WCS fuse",1,"Restricted CPHF Ext  6( 2, 3) WCS",12839,"ARITHMETIC"
"fuse",3,12,7295,12959,"Restricted CPHF Ext  6( 1, 6) WCS fuse",1,"Restricted CPHF Ext  6( 1, 6) WCS",12959,"ARITHMETIC"
"fuse",3,12,7365,12971,"Restricted CPHF Ext  6( 1, 5) WCS fuse",1,"Restricted CPHF Ext  6( 1, 5) WCS",12971,"ARITHMETIC"
"fuse",3,12,7396,12983,"Restricted CPHF Ext  6( 1, 4) WCS fuse",1,"Restricted CPHF Ext  6( 1, 4) WCS",12983,"ARITHMETIC"
"fuse",3,12,7461,12995,"Restricted CPHF Ext  6( 1, 3) WCS fuse",1,"Restricted CPHF Ext  6( 1, 3) WCS",12995,"ARITHMETIC"
"fuse",3,12,7469,13007,"Restricted CPHF Ext  6( 1, 2) WCS fuse",1,"Restricted CPHF Ext  6( 1, 2) WCS",13007,"ARITHMETIC"
"fuse",3,12,9393,13115,"Restricted CPHF Ext  6( 0, 6) WCS fuse",1,"Restricted CPHF Ext  6( 0, 6) WCS",13115,"ARITHMETIC"
"fuse",3,12,9753,13127,"Restricted CPHF Ext  6( 0, 5) WCS fuse",1,"Restricted CPHF Ext  6( 0, 5) WCS",13127,"ARITHMETIC"
"fuse",3,12,9938,13139,"Restricted CPHF Ext  6( 0, 4) WCS fuse",1,"Restricted CPHF Ext  6( 0, 4) WCS",13139,"ARITHMETIC"
"fuse",3,12,10000,13151,"Restricted CPHF Ext  6( 0, 3) WCS fuse",1,"Restricted CPHF Ext  6( 0, 3) WCS",13151,"ARITHMETIC"
"fuse",4,12,15,48672,"extended OA (Colbourn) special fuse",1,"extended OA (Colbourn) special",54754,"ARITH_OPEN"
"fuse",4,12,21,54923,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",54923,"ARITHMETIC"
"fuse",4,12,27,56951,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",56951,"ARITHMETIC"
"fuse",4,12,28,57119,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",57119,"ARITHMETIC"
"fuse",4,12,51,83471,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",83471,"ARITHMETIC"
"fuse",4,12,55,85499,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",85499,"ARITHMETIC"
"fuse",4,12,57,85655,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",85655,"ARITHMETIC"
"fuse",4,12,62,85679,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",85679,"ARITHMETIC"
"fuse",4,12,94,109835,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",109835,"ARITHMETIC"
"fuse",4,12,105,111863,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",111863,"ARITHMETIC"
"fuse",4,12,106,112019,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",112019,"ARITHMETIC"
"fuse",4,12,119,113891,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",113891,"ARITHMETIC"
"fuse",4,12,121,114047,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",114047,"ARITHMETIC"
"fuse",4,12,124,114203,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",114203,"ARITHMETIC"
"fuse",4,12,143,114239,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",114239,"ARITHMETIC"
"fuse",4,12,169,136043,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",136043,"ARITHMETIC"
"fuse",4,12,177,138383,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",138383,"ARITHMETIC"
"fuse",4,12,205,140411,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",140411,"ARITHMETIC"
"fuse",4,12,217,140567,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",140567,"ARITHMETIC"
"fuse",4,12,249,142439,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",142439,"ARITHMETIC"
"fuse",4,12,262,142595,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",142595,"ARITHMETIC"
"fuse",4,12,265,142751,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",142751,"ARITHMETIC"
"fuse",4,12,313,142799,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",142799,"ARITHMETIC"
"fuse",4,12,324,164747,"3,3,3-Restricted SCPHF RE (CL) fuse",1,"3,3,3-Restricted SCPHF RE (CL)",164747,"ARITHMETIC"
"fuse",4,12,375,166931,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",166931,"ARITHMETIC"
"fuse",4,12,421,168959,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",168959,"ARITHMETIC"
"fuse",4,12,434,169115,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",169115,"ARITHMETIC"
"fuse",4,12,505,170987,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",170987,"ARITHMETIC"
"fuse",4,12,514,171143,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",171143,"ARITHMETIC"
"fuse",4,12,533,171299,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",171299,"ARITHMETIC"
"fuse",4,12,712,171359,"CPHF IPO 6 (WCS) fuse",1,"CPHF IPO 6 (WCS)",171359,"ARITHMETIC"
"fuse",4,12,745,195479,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",195479,"ARITHMETIC"
"fuse",4,12,850,197507,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",197507,"ARITHMETIC"
"fuse",4,12,878,197663,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",197663,"ARITHMETIC"
"fuse",4,12,1017,199535,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",199535,"ARITHMETIC"
"fuse",4,12,1077,199691,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",199691,"ARITHMETIC"
"fuse",4,12,1083,199847,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",199847,"ARITHMETIC"
"fuse",4,12,1104,199919,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",199919,"ARITHMETIC"
"fuse",4,12,1990,228395,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",228395,"ARITHMETIC"
"fuse",4,12,2040,228479,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",228479,"ARITHMETIC"
"fuse",4,12,3067,256943,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",256943,"ARITHMETIC"
"fuse",4,12,3112,257039,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",257039,"ARITHMETIC"
"fuse",4,12,3146,355217,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",355217,"ARITHMETIC"
"fuse",4,12,9256,434531,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",434531,"ARITHMETIC"
"fuse",4,12,10000,460679,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",460679,"ARITHMETIC"
"fuse",5,12,15,632736,"extended OA (Colbourn) special fuse",1,"extended OA (Colbourn) special",711826,"ARITH_OPEN"
"fuse",5,12,16,714023,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",714023,"ARITHMETIC"
"fuse",5,12,18,740387,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",740387,"ARITHMETIC"
"fuse",5,12,19,742571,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",742571,"ARITHMETIC"
"fuse",5,12,29,1085303,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1085303,"ARITHMETIC"
"fuse",5,12,31,1111667,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1111667,"ARITHMETIC"
"fuse",5,12,33,1113875,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",1113875,"ARITHMETIC"
"fuse",5,12,44,1428035,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1428035,"ARITHMETIC"
"fuse",5,12,47,1454399,"4,3-restricted SCPHF RE (CL) fuse",1,"4,3-restricted SCPHF RE (CL)",1454399,"ARITHMETIC"
"fuse",5,12,48,1456583,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1456583,"ARITHMETIC"
"fuse",5,12,51,1480763,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",1480763,"ARITHMETIC"
"fuse",5,12,52,1482791,"3,2-restricted SCPHF RE (CL) fuse",1,"3,2-restricted SCPHF RE (CL)",1482791,"ARITHMETIC"
"fuse",5,12,53,1482947,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1482947,"ARITHMETIC"
"fuse",5,12,55,1484975,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1484975,"ARITHMETIC"
"fuse",5,12,62,1485167,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",1485167,"ARITHMETIC"
"fuse",5,12,75,1799315,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",1799315,"ARITHMETIC"
"fuse",5,12,84,1827863,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1827863,"ARITHMETIC"
"fuse",5,12,88,1854227,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1854227,"ARITHMETIC"
"fuse",5,12,92,1856255,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1856255,"ARITHMETIC"
"fuse",5,12,93,1856411,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1856411,"ARITHMETIC"
"fuse",5,12,111,1856459,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",1856459,"ARITHMETIC"
"fuse",5,12,120,2170595,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",2170595,"ARITHMETIC"
"fuse",5,12,140,2199143,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",2199143,"ARITHMETIC"
"fuse",5,12,153,2225507,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",2225507,"ARITHMETIC"
