"catalogue","row","construction","n_ingredients","ingredients","code"
"PCAcat",132,"productPCA",8,"miscCA(2, 5, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6)))) ||| miscCA(2, 6, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))) ||| miscCA(2, 6, 6) ||| productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)) ||| CS_CMMSSY(9, 6) ||| CS_CMMSSY(9, 6)","productPCA(miscCA(2, 5, 6), productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))))"
"PCAcat",133,"productPCA",8,"miscCA(2, 6, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6)))) ||| miscCA(2, 6, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))) ||| miscCA(2, 6, 6) ||| productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)) ||| CS_CMMSSY(9, 6) ||| CS_CMMSSY(9, 6)","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))))"
"PCAcat",134,"productPCA",8,"miscCA(2, 5, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6)))) ||| miscCA(2, 6, 6) ||| productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))) ||| CS_CMMSSY(9, 6) ||| productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)) ||| CS_CMMSSY(9, 6) ||| CS_CMMSSY(9, 6)","productPCA(miscCA(2, 5, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))))"
"PCAcat",135,"productPCA",8,"miscCA(2, 6, 6) ||| productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6)))) ||| miscCA(2, 6, 6) ||| productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))) ||| CS_CMMSSY(9, 6) ||| productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)) ||| CS_CMMSSY(9, 6) ||| CS_CMMSSY(9, 6)","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))))"
"PCAcat",136,"productPCA",2,"CS_CMMSSY(8, 7) ||| CS_CMMSSY(8, 7)","productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7))"
"PCAcat",137,"productPCA",2,"CS_CMMSSY(8, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7))"
"PCAcat",138,"productPCA",2,"CS_CMMSSY(8, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7))"
"PCAcat",139,"productPCA",2,"CS_CMMSSY(10, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(10, 7))"
"PCAcat",140,"productPCA",2,"CS_CMMSSY(10, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(11, 7))"
"PCAcat",141,"productPCA",2,"CS_CMMSSY(11, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(11, 7), CS_CMMSSY(11, 7))"
"PCAcat",142,"productPCA",4,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(8, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7)))"
"PCAcat",143,"productPCA",4,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7)))"
"PCAcat",144,"productPCA",4,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7)))"
"PCAcat",145,"productPCA",4,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(10, 7)) ||| CS_CMMSSY(10, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(10, 7)))"
"PCAcat",146,"productPCA",4,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(11, 7)) ||| CS_CMMSSY(10, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(11, 7)))"
"PCAcat",147,"productPCA",4,"CS_CMMSSY(10, 7) ||| productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(10, 7)) ||| CS_CMMSSY(10, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(10, 7), productPCA(CS_CMMSSY(10, 7), CS_CMMSSY(10, 7)))"
"PCAcat",148,"productPCA",6,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7))) ||| CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(8, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(8, 7))))"
"PCAcat",149,"productPCA",6,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7))) ||| CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(10, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(10, 7))))"
"PCAcat",150,"productPCA",6,"CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7))) ||| CS_CMMSSY(8, 7) ||| productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7)) ||| CS_CMMSSY(8, 7) ||| CS_CMMSSY(11, 7)","productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), productPCA(CS_CMMSSY(8, 7), CS_CMMSSY(11, 7))))"
