"key","tier","family"
"3 6 18 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 6 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 2978 Cyclotomy (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 6043 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 6607 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 9283 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 9739 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 9883 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 9931 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 10000 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 6 7 Ji-Li-Yin","TERMINAL_CLAIMED","terminal (search or published array)"
"5 6 9 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"6 6 8 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"6 6 9 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 13 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 14 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 15 Fix 2 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 17 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 22 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 7 29 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 7 57 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"5 7 9 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
