"family","t","v","k","N","Source","N_pred","tier"
"Add n factors",6,3,355,32929,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,3,356,34387,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,3,357,39595,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,3,358,42889,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,3,359,44347,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,3,360,49555,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2161,26765,"Add 1 factors",26765,"ARITHMETIC"
"Add n factors",5,4,2162,29645,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2163,30413,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2164,31181,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2165,34815,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2166,40985,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2167,41753,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,4,2168,42521,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,225,84118,"Add 1 factors",84118,"ARITHMETIC"
"Add n factors",6,4,301,114785,"Add 1 factors",114785,"ARITHMETIC"
"Add n factors",6,4,302,132833,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,303,142049,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,304,145121,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,305,167297,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,306,184798,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,307,194561,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,308,197633,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,309,219809,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,721,332039,"Add 1 factors",332039,"ARITHMETIC"
"Add n factors",6,4,722,354119,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,723,364487,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,4,724,367559,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2401,75773,"Add 1 factors",75773,"ARITHMETIC"
"Add n factors",5,5,2402,85273,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2403,87773,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2405,90273,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2406,109813,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2407,119313,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2408,121813,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,5,2410,124313,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,721,434157,"Add 1 factors",434157,"ARITHMETIC"
"Add n factors",6,5,722,513857,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,723,553857,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,724,566357,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,725,578857,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,726,714777,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,727,795857,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,728,835857,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,729,848357,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,730,860857,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,5,731,996777,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,703,258257,"Add 1 factors",258257,"ARITHMETIC"
"Add n factors",5,6,704,280037,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,706,308593,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,707,312538,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,709,338441,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,2815,706773,"Add 1 factors",706773,"ARITHMETIC"
"Add n factors",5,6,2816,732513,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,2817,748363,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,2818,765802,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,2819,770143,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,6,2821,801669,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,245,1888349,"Add 1 factors",1888349,"ARITHMETIC"
"Add n factors",6,6,246,2101829,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,247,2526905,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,249,2527986,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,250,2614426,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,251,2828999,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,252,3305639,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,253,3525599,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,254,3655167,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,255,3741607,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,256,3829390,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,257,4043963,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,258,4258931,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,259,4735571,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,260,4868788,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,261,4956571,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,262,5044354,"Add 6 factors",NA,"ARITH_OPEN"
