"child_t","child_k","child_v","child_N","construction","params","ing1_t","ing1_k","ing1_v","ing1_N","ing2_t","ing2_k","ing2_v","ing2_N","confidence","stamp_date","stamp_note"
3,49,2,27,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,49,2,27,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,52,2,28,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,52,2,28,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,55,2,29,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,57,2,30,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,68,2,31,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,68,2,31,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,88,2,32,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,121,2,33,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,123,2,35,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,123,2,35,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,127,2,36,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,127,2,36,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,140,2,37,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,140,2,37,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,142,2,39,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,146,2,40,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,163,2,41,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,180,2,42,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,242,2,43,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,243,2,44,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,243,2,44,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,246,2,45,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,246,2,45,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,256,2,46,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,256,2,46,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,262,2,47,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,280,2,48,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,280,2,48,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,352,2,49,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,352,2,49,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,484,2,50,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,605,2,52,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,704,2,53,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
