"family","entries","share"
"Power N-CT97^2T21",2,0.01
"Power N-CT97^2T23",2,0.01
"Power N-CT97^2T4T2",2,0.01
"Power N-CT97^2T4T4",2,0.01
"Power N-CT97^2Trin2,2,4",2,0.01
"Power N-CT97^2Trin2,4,4",2,0.01
"Power N-CT97^2Trin4,4,4",2,0.01
"Two-stage",2,0.01
"perfect hash family13,10609,103T10",2,0.01
"perfect hash family13,11881,109T33",2,0.01
"perfect hash family13,11881,109T35",2,0.01
"perfect hash family13,11881,109T39",2,0.01
"perfect hash family13,6894,88",2,0.01
"perfect hash family13,7925,93",2,0.01
"perfect hash family15,965,35",2,0.01
"perfect hash family15,966,36",2,0.01
"perfect hash family16,361,19,c",2,0.01
"perfect hash family20,2500,25,c",2,0.01
"perfect hash family20,2501,26",2,0.01
"perfect hash family3,1005,671",2,0.01
"perfect hash family3,1005,671T74",2,0.01
"perfect hash family3,1083,723",2,0.01
"perfect hash family3,1083,723T52",2,0.01
"perfect hash family3,1122,749T226",2,0.01
"perfect hash family3,1122,749T295",2,0.01
"perfect hash family3,1122,749T297",2,0.01
"perfect hash family3,1122,749T299",2,0.01
"perfect hash family3,1122,749T307",2,0.01
"perfect hash family3,1122,749T96",2,0.01
"perfect hash family3,1123,750",2,0.01
"perfect hash family3,1143,763T110",2,0.01
"perfect hash family3,1143,763T13",2,0.01
"perfect hash family3,1143,763T240",2,0.01
"perfect hash family3,1143,763T309",2,0.01
"perfect hash family3,1143,763T311",2,0.01
"perfect hash family3,1143,763T313",2,0.01
"perfect hash family3,1144,764",2,0.01
"perfect hash family3,1147,766",2,0.01
"perfect hash family3,1149,767",2,0.01
"perfect hash family3,1149,767T114",2,0.01
"perfect hash family3,1149,767T17",2,0.01
"perfect hash family3,1149,767T3",2,0.01
"perfect hash family3,1149,767T313",2,0.01
"perfect hash family3,1254,837T114",2,0.01
"perfect hash family3,1254,837T166",2,0.01
"perfect hash family3,1254,837T364",2,0.01
"perfect hash family3,1254,837T367",2,0.01
"perfect hash family3,1254,837T371",2,0.01
"perfect hash family3,1254,837T376",2,0.01
"perfect hash family3,1255,838",2,0.01
"perfect hash family3,1275,851",2,0.01
"perfect hash family3,1275,851T128",2,0.01
"perfect hash family3,1275,851T13",2,0.01
"perfect hash family3,1275,851T180",2,0.01
"perfect hash family3,1275,851T378",2,0.01
"perfect hash family3,1275,851T381",2,0.01
"perfect hash family3,849,567",2,0.01
"perfect hash family3,978,653",2,0.01
"perfect hash family3,978,653T86",2,0.01
"perfect hash family32,515,19,c",2,0.01
"perfect hash family32,516,20",2,0.01
"perfect hash family4,305,193",2,0.01
"perfect hash family4,307,195",2,0.01
"perfect hash family4,3125,625T101",2,0.01
"perfect hash family4,3125,625T102",2,0.01
"perfect hash family4,3125,625T11",2,0.01
"perfect hash family4,3125,625T120",2,0.01
"perfect hash family4,3125,625T152",2,0.01
"perfect hash family4,3125,625T153",2,0.01
"perfect hash family4,3125,625T155",2,0.01
"perfect hash family4,3125,625T159",2,0.01
"perfect hash family4,3125,625T164",2,0.01
"perfect hash family4,3125,625T173",2,0.01
"perfect hash family4,3125,625T175",2,0.01
"perfect hash family4,3125,625T179",2,0.01
"perfect hash family4,3125,625T183",2,0.01
"perfect hash family4,3125,625T252",2,0.01
"perfect hash family4,3125,625T276",2,0.01
"perfect hash family4,3125,625T28",2,0.01
"perfect hash family4,3125,625T301",2,0.01
"perfect hash family4,3125,625T33",2,0.01
"perfect hash family4,3125,625T341",2,0.01
"perfect hash family4,3125,625T58",2,0.01
"perfect hash family4,3125,625T79",2,0.01
"perfect hash family4,3125,625T92",2,0.01
"perfect hash family4,3125,625T96",2,0.01
"perfect hash family4,315,200",2,0.01
"perfect hash family4,317,202",2,0.01
"perfect hash family4,328,208",2,0.01
"perfect hash family4,328,208T58",2,0.01
"perfect hash family4,328,208T61",2,0.01
"perfect hash family4,332,210",2,0.01
"perfect hash family4,388,244",2,0.01
"perfect hash family4,388,244T49",2,0.01
"perfect hash family4,388,244T51",2,0.01
"perfect hash family4,396,250",2,0.01
"perfect hash family4,7776,1296",2,0.01
"perfect hash family5,444,200",2,0.01
"perfect hash family5,450,202",2,0.01
"perfect hash family5,450,202T2",2,0.01
"perfect hash family5,476,208",2,0.01
"perfect hash family5,556,244",2,0.01
"perfect hash family5,570,246T44",2,0.01
"perfect hash family5,570,246T46",2,0.01
"perfect hash family5,574,250",2,0.01
"perfect hash family6,561,201",2,0.01
"perfect hash family6,568,208",2,0.01
"perfect hash family6,730,244",2,0.01
"perfect hash family6,730,244T42",2,0.01
"perfect hash family6,730,244T44",2,0.01
"perfect hash family6,730,244T49",2,0.01
"perfect hash family6,730,244T51",2,0.01
"perfect hash family6,736,250",2,0.01
"perfect hash family9,11881,109T17",2,0.01
"perfect hash family9,11881,109T20",2,0.01
"perfect hash family9,11881,109T21",2,0.01
"perfect hash family9,11881,109T25",2,0.01
"perfect hash family9,11881,109T34",2,0.01
"perfect hash family9,11881,109T47",2,0.01
"perfect hash family9,11881,109T54",2,0.01
"perfect hash family9,11881,109T56",2,0.01
"perfect hash family9,11881,109T57",2,0.01
"perfect hash family9,11881,109T58",2,0.01
"perfect hash family9,12769,113T24",2,0.01
"perfect hash family9,2213,51",2,0.01
"perfect hash familyD16,1458,54^11 27^5",2,0.01
"perfect hash familyD16,578,34^11 17^5",2,0.01
"Brick by Brick",1,0.01
"Hadamard",1,0.01
"Johnson-Entringer",1,0.01
"Power CT100^2",1,0.01
"Power CT100^2,c",1,0.01
"Power CT101^2,cT3c",1,0.01
"Power CT11^2",1,0.01
"Power CT11^2,T3c",1,0.01
"Power CT11^3",1,0.01
"Power CT11^3,+1c",1,0.01
"Power CT11^3,T3c",1,0.01
"Power CT11^3,T6c",1,0.01
"Power CT11^3,T7c",1,0.01
"Power CT11^3T3T3c",1,0.01
"Power CT11^3T7T3c",1,0.01
"Power CT11^4,T3c",1,0.01
"Power CT11^4,T6c",1,0.01
"Power CT11^4,T7c",1,0.01
"Power CT11^4,cT9c",1,0.01
"Power CT11^4T3T3c",1,0.01
"Power CT11^4T3cT3cT7c",1,0.01
"Power CT11^4T7T3c",1,0.01
"Power CT11^4T7T7c",1,0.01
"Power CT12^2,c",1,0.01
"Power CT12^3,cT1",1,0.01
"Power CT12^3,cT1T1",1,0.01
"Power CT13^3+1",1,0.01
"Power CT13^4S13c",1,0.01
"Power CT16^2",1,0.01
"Power CT17^2T1",1,0.01
"Power CT19^2+3",1,0.01
"Power CT19^2T8",1,0.01
"Power CT19^3+1",1,0.01
"Power CT19^3T1T1T1",1,0.01
"Power CT19^3T2",1,0.01
"Power CT19^3T3cS17",1,0.01
"Power CT19^3T3cS18",1,0.01
"Power CT19^3T4S3",1,0.01
"Power CT19^3T4T1",1,0.01
"Power CT19^3T4T1T1",1,0.01
"Power CT19^3T4T2",1,0.01
"Power CT19^3T4T2T1",1,0.01
"Power CT19^3T4T3",1,0.01
"Power CT19^3T5",1,0.01
"Power CT19^3T5T2",1,0.01
"Power CT23^2T3",1,0.01
"Power CT23^2T3T3",1,0.01
"Power CT23^2T4",1,0.01
"Power CT23^2T4T3",1,0.01
"Power CT23^2T5",1,0.01
"Power CT23^3T10",1,0.01
"Power CT23^3T10T10",1,0.01
"Power CT23^3T10T10T10",1,0.01
"Power CT23^3T10T10T3",1,0.01
"Power CT23^3T10T10T4",1,0.01
"Power CT23^3T10T10T9",1,0.01
"Power CT23^3T10T3",1,0.01
"Power CT23^3T10T4",1,0.01
"Power CT23^3T10T5",1,0.01
"Power CT23^3T10T9",1,0.01
"Power CT23^3T10T9T3",1,0.01
"Power CT23^3T10T9T4",1,0.01
"Power CT23^3T10T9T5",1,0.01
"Power CT23^3T10T9T9",1,0.01
"Power CT23^3T11",1,0.01
"Power CT23^3T11T10T4",1,0.01
"Power CT23^3T11T4",1,0.01
"Power CT23^3T14",1,0.01
"Power CT23^3T15",1,0.01
"Power CT23^3T2T2",1,0.01
"Power CT23^3T2T2T1",1,0.01
"Power CT23^3T2T2T2",1,0.01
"Power CT23^3T3T2T2",1,0.01
"Power CT23^3T4",1,0.01
"Power CT23^3T5",1,0.01
"Power CT23^3T5T5",1,0.01
"Power CT23^3T6",1,0.01
"Power CT23^3T6T4",1,0.01
"Power CT23^3T6T5",1,0.01
"Power CT23^3T6T6",1,0.01
"Power CT23^3T6T6T6",1,0.01
"Power CT23^3T7",1,0.01
"Power CT23^3T7T4",1,0.01
"Power CT23^3T7T5",1,0.01
"Power CT23^3T7T5T5",1,0.01
"Power CT23^3T7T6",1,0.01
"Power CT23^3T7T6T5",1,0.01
"Power CT23^3T7T7",1,0.01
"Power CT23^3T7T7T4",1,0.01
"Power CT23^3T7T7T5",1,0.01
"Power CT23^3T7T7T7",1,0.01
"Power CT23^3T8",1,0.01
"Power CT23^3T8T3",1,0.01
"Power CT23^3T8T4",1,0.01
"Power CT23^3T8T5",1,0.01
"Power CT23^3T8T6",1,0.01
"Power CT23^3T8T6T4",1,0.01
"Power CT23^3T8T6T5",1,0.01
"Power CT23^3T8T7",1,0.01
"Power CT23^3T8T7T4",1,0.01
"Power CT23^3T8T7T5",1,0.01
"Power CT23^3T8T7T6",1,0.01
"Power CT23^3T8T7T7",1,0.01
"Power CT23^3T8T8",1,0.01
"Power CT23^3T8T8T4",1,0.01
"Power CT23^3T8T8T5",1,0.01
"Power CT23^3T8T8T6",1,0.01
"Power CT23^3T8T8T7",1,0.01
"Power CT23^3T8T8T8",1,0.01
"Power CT23^3T9",1,0.01
"Power CT23^3T9T3",1,0.01
"Power CT23^3T9T4",1,0.01
"Power CT23^3T9T5",1,0.01
"Power CT23^3T9T6",1,0.01
"Power CT23^3T9T6T4",1,0.01
"Power CT23^3T9T6T5",1,0.01
"Power CT23^3T9T8",1,0.01
"Power CT23^3T9T8T3",1,0.01
"Power CT23^3T9T8T4",1,0.01
"Power CT23^3T9T8T5",1,0.01
"Power CT23^3T9T8T6",1,0.01
"Power CT23^3T9T8T8",1,0.01
"Power CT23^3T9T9",1,0.01
"Power CT23^3T9T9T3",1,0.01
"Power CT23^3T9T9T4",1,0.01
"Power CT23^3T9T9T5",1,0.01
"Power CT23^3T9T9T6",1,0.01
"Power CT23^3T9T9T8",1,0.01
"Power CT23^3T9T9T9",1,0.01
"Power CT25^2T14",1,0.01
"Power CT25^2T3",1,0.01
"Power CT25^3S11",1,0.01
"Power CT25^3S12",1,0.01
"Power CT25^3S13",1,0.01
"Power CT25^3S14",1,0.01
"Power CT25^3S15",1,0.01
"Power CT25^3S16",1,0.01
"Power CT25^3S17",1,0.01
"Power CT25^3S18",1,0.01
"Power CT25^3S19",1,0.01
"Power CT25^3S20",1,0.01
"Power CT25^3S21",1,0.01
"Power CT25^3S22",1,0.01
"Power CT25^3S23",1,0.01
"Power CT25^3S24",1,0.01
"Power CT25^3S25",1,0.01
"Power CT25^3T10S23",1,0.01
"Power CT25^3T10S24",1,0.01
"Power CT25^3T11S24",1,0.01
"Power CT25^3T12S22",1,0.01
"Power CT25^3T12S23",1,0.01
"Power CT25^3T12S24",1,0.01
"Power CT25^3T16",1,0.01
"Power CT25^3T17",1,0.01
"Power CT25^3T18",1,0.01
"Power CT25^3T19",1,0.01
"Power CT25^3T2S24",1,0.01
"Power CT25^3T3S24",1,0.01
"Power CT25^3T4S24",1,0.01
"Power CT25^3T5S24",1,0.01
"Power CT25^3T6S24",1,0.01
"Power CT25^3T7S24",1,0.01
"Power CT25^3T8S24",1,0.01
"Power CT25^3T9S22",1,0.01
"Power CT25^3T9S23",1,0.01
"Power CT25^3T9S24",1,0.01
"Power CT27^2",1,0.01
"Power CT27^3S20",1,0.01
"Power CT27^3S21",1,0.01
"Power CT29^2",1,0.01
"Power CT29^2+1",1,0.01
"Power CT29^2T1",1,0.01
"Power CT29^2T1T1",1,0.01
"Power CT29^2T2",1,0.01
"Power CT29^2T2T1",1,0.01
"Power CT29^2T4",1,0.01
"Power CT31^2",1,0.01
"Power CT31^2T1",1,0.01
"Power CT31^2T2",1,0.01
"Power CT31^2T2T1",1,0.01
"Power CT32^2",1,0.01
"Power CT32^2+1",1,0.01
"Power CT32^2T2",1,0.01
"Power CT37^2",1,0.01
"Power CT37^2+1",1,0.01
"Power CT37^2+2",1,0.01
"Power CT37^2Arc(10):3 twos,2 ones",1,0.01
"Power CT37^2Arc(10):4 twos,1 ones",1,0.01
"Power CT37^2Arc(12):4 twos,2 ones",1,0.01
"Power CT37^2Arc(2)T2",1,0.01
"Power CT37^2Arc(6):2 twos,1 ones",1,0.01
"Power CT37^2Arc(8):2 twos,2 ones",1,0.01
"Power CT37^2Arc(8):3 twos,1 ones",1,0.01
"Power CT37^2T1",1,0.01
"Power CT37^2T1T1",1,0.01
"Power CT37^2T2T1",1,0.01
"Power CT41^2",1,0.01
"Power CT41^2+1",1,0.01
"Power CT41^2Arc(2)T3",1,0.01
"Power CT41^2Arc(2)T4",1,0.01
"Power CT41^2Arc(3)T3",1,0.01
"Power CT41^2T1",1,0.01
"Power CT41^2T3",1,0.01
"Power CT41^2T3T1",1,0.01
"Power CT41^2T4",1,0.01
"Power CT41^2T4T1",1,0.01
"Power CT41^2T6",1,0.01
"Power CT41^2T6T1",1,0.01
"Power CT43^2",1,0.01
"Power CT43^2+1",1,0.01
"Power CT43^2+3",1,0.01
"Power CT43^2T1",1,0.01
"Power CT43^2T1T1",1,0.01
"Power CT43^2T3",1,0.01
"Power CT47^2",1,0.01
"Power CT47^2Arc(6):3 twos,0 ones",1,0.01
"Power CT47^2Arc(8):4 twos,0 ones",1,0.01
"Power CT47^2T2",1,0.01
"Power CT47^2T2T2",1,0.01
"Power CT47^2T5T2",1,0.01
"Power CT47^2T6",1,0.01
"Power CT49^2+2",1,0.01
"Power CT49^2+3",1,0.01
"Power CT49^2T10",1,0.01
"Power CT49^2T11",1,0.01
"Power CT49^2T2",1,0.01
"Power CT49^2T3",1,0.01
"Power CT49^2T5",1,0.01
"Power CT49^2T6",1,0.01
"Power CT49^2T7",1,0.01
"Power CT49^2T8",1,0.01
"Power CT53^2 +5",1,0.01
"Power CT53^2+1",1,0.01
"Power CT53^2T1",1,0.01
"Power CT53^2T1T1",1,0.01
"Power CT53^2T3",1,0.01
"Power CT53^2T3T3",1,0.01
"Power CT59^2T1T1",1,0.01
"Power CT61^2",1,0.01
"Power CT61^2+1",1,0.01
"Power CT61^2T3",1,0.01
"Power CT68^2,c",1,0.01
"Power CT68^2,cT33c",1,0.01
"Power CT72^2,c",1,0.01
"Power CT72^2,cT4c",1,0.01
"Power CT73^2Arc(7)T2",1,0.01
"Power CT80^2,c",1,0.01
"Power CT80^2,cT12c",1,0.01
"Power CT80^2,cT8c",1,0.01
"Power CT81^2Arc(7)T2",1,0.01
"Power CT84^2,c",1,0.01
"Power CT84^2,cT4c",1,0.01
"Power CT90^2,c",1,0.01
"Power CT90^2,cT10c",1,0.01
"Power CT90^2,cT6c",1,0.01
"Power CT98^2,c",1,0.01
"Power CT98^2,cT14c",1,0.01
"Power CT98^2,cT8c",1,0.01
"Power CZ2-12.4-10.1",1,0.01
"Power CZ2-16.5",1,0.01
"Power CZ2-17.4-16.1",1,0.01
"Power CZ2-19.13",1,0.01
"Power CZ2-27.12-26.1",1,0.01
"Power CZ2-27.13",1,0.01
"Power CZ3-11.7-10.1-10.1",1,0.01
"Power CZ3-11.7-8.1-10.1",1,0.01
"Power CZ3-11.7-8.1-9.1",1,0.01
"Power CZ3-11.7-9.1-10.1",1,0.01
"Power CZ3-11.8-10.1",1,0.01
"Power CZ3-11.8-8.1",1,0.01
"Power CZ3-13.12-10.1",1,0.01
"Power CZ3-13.12-11.1",1,0.01
"Power CZ3-13.3-12.6",1,0.01
"Power CZ3-13.4-12.5",1,0.01
"Power CZ3-13.4-6.1-9.1",1,0.01
"Power CZ3-13.5-10.1",1,0.01
"Power CZ3-13.5-12.1",1,0.01
"Power CZ3-13.5-12.4",1,0.01
"Power CZ3-13.5-6.1",1,0.01
"Power CZ3-13.5-8.1",1,0.01
"Power CZ3-13.5-9.1",1,0.01
"Power CZ3-13.6-12.3",1,0.01
"Power CZ3-13.7-12.1-12.1",1,0.01
"Power CZ3-13.8-12.1",1,0.01
"Power CZ3-14.6",1,0.01
"Power CZ3-16.3-14.1-14.1-14.1",1,0.01
"Power CZ3-16.4-14.1-14.1",1,0.01
"Power CZ3-16.5-14.1",1,0.01
"Power CZ3-16.6",1,0.01
"Power CZ3-16.7-12.1-12.1",1,0.01
"Power CZ3-16.7-12.1-13.1",1,0.01
"Power CZ3-17.4-16.1-16.1",1,0.01
"Power CZ3-19.11-18.0-17.8",1,0.01
"Power CZ3-19.15-15.4",1,0.01
"Power CZ3-19.16-15.1-15.1-15.1",1,0.01
"Power CZ3-19.16-15.1-15.1-16.1",1,0.01
"Power CZ3-19.16-15.1-15.1-18.1",1,0.01
"Power CZ3-19.16-15.1-16.1-16.1",1,0.01
"Power CZ3-19.16-15.1-16.1-18.1",1,0.01
"Power CZ3-19.16-16.1-16.1-16.1",1,0.01
"Power CZ3-19.16-16.1-16.1-17.1",1,0.01
"Power CZ3-19.16-16.1-16.1-18.1",1,0.01
"Power CZ3-19.16-16.1-17.1-17.1",1,0.01
"Power CZ3-19.16-16.1-17.1-18.1",1,0.01
"Power CZ3-19.17-15.1-15.1",1,0.01
"Power CZ3-19.17-15.1-16.1",1,0.01
"Power CZ3-19.17-15.1-18.1",1,0.01
"Power CZ3-19.17-16.1-16.1",1,0.01
"Power CZ3-19.17-16.1-17.1",1,0.01
"Power CZ3-19.17-16.1-18.1",1,0.01
"Power CZ3-19.17-17.1-17.1",1,0.01
"Power CZ3-19.17-17.1-18.1",1,0.01
"Power CZ3-19.18-15.1",1,0.01
"Power CZ3-19.18-16.1",1,0.01
"Power CZ3-19.18-17.1",1,0.01
"Power CZ3-19.3-16.1-16.1-18.1",1,0.01
"Power CZ3-19.3-16.1-17.1-18.1",1,0.01
"Power CZ3-19.4-14.1-18.1",1,0.01
"Power CZ3-19.4-16.1-16.1",1,0.01
"Power CZ3-19.4-16.1-18.1",1,0.01
"Power CZ3-19.4-17.1-18.1",1,0.01
"Power CZ3-19.5-16.1",1,0.01
"Power CZ3-19.5-18.1",1,0.01
"Power CZ3-19.6",1,0.01
"Power CZ3-20.6",1,0.01
"Power CZ3-21.19",1,0.01
"Power CZ3-23.0-22.10-21.11",1,0.01
"Power CZ3-23.0-22.11-21.10",1,0.01
"Power CZ3-23.0-22.12-21.9",1,0.01
"Power CZ3-23.0-22.13-21.8",1,0.01
"Power CZ3-23.0-22.14-21.7",1,0.01
"Power CZ3-23.0-22.15-21.6",1,0.01
"Power CZ3-23.0-22.16-21.5",1,0.01
"Power CZ3-23.0-22.17-21.4",1,0.01
"Power CZ3-23.0-22.18-21.3",1,0.01
"Power CZ3-23.0-22.19-21.2",1,0.01
"Power CZ3-23.0-22.20-21.1",1,0.01
"Power CZ3-23.0-22.21",1,0.01
"Power CZ3-23.0-22.9-21.12",1,0.01
"Power CZ3-23.1-22.10-21.10",1,0.01
"Power CZ3-23.1-22.11-21.9",1,0.01
"Power CZ3-23.1-22.12-21.8",1,0.01
"Power CZ3-23.1-22.13-21.7",1,0.01
"Power CZ3-23.1-22.14-21.6",1,0.01
"Power CZ3-23.1-22.15-21.5",1,0.01
"Power CZ3-23.1-22.16-21.4",1,0.01
"Power CZ3-23.1-22.17-21.3",1,0.01
"Power CZ3-23.1-22.18-21.2",1,0.01
"Power CZ3-23.1-22.19-21.1",1,0.01
"Power CZ3-23.1-22.20",1,0.01
"Power CZ3-23.1-22.4-20.1",1,0.01
"Power CZ3-23.1-22.5",1,0.01
"Power CZ3-23.1-22.7-21.13",1,0.01
"Power CZ3-23.1-22.8-21.12",1,0.01
"Power CZ3-23.1-22.9-21.11",1,0.01
"Power CZ3-23.10-22.10-21.1",1,0.01
"Power CZ3-23.10-22.11",1,0.01
"Power CZ3-23.10-22.8-21.3",1,0.01
"Power CZ3-23.10-22.9-21.2",1,0.01
"Power CZ3-23.11-22.10",1,0.01
"Power CZ3-23.11-22.7-21.3",1,0.01
"Power CZ3-23.11-22.8-21.2",1,0.01
"Power CZ3-23.11-22.9-21.1",1,0.01
"Power CZ3-23.12-22.5-21.4",1,0.01
"Power CZ3-23.12-22.6-21.3",1,0.01
"Power CZ3-23.12-22.7-21.2",1,0.01
"Power CZ3-23.12-22.8-21.1",1,0.01
"Power CZ3-23.12-22.9",1,0.01
"Power CZ3-23.13-22.3-21.5",1,0.01
"Power CZ3-23.13-22.4-21.4",1,0.01
"Power CZ3-23.13-22.5-21.3",1,0.01
"Power CZ3-23.13-22.6-21.2",1,0.01
"Power CZ3-23.13-22.7-21.1",1,0.01
"Power CZ3-23.13-22.8",1,0.01
"Power CZ3-23.14-22.2-21.5",1,0.01
"Power CZ3-23.14-22.3-21.4",1,0.01
"Power CZ3-23.14-22.4-21.1",1,0.01
"Power CZ3-23.14-22.4-21.3",1,0.01
"Power CZ3-23.14-22.5-21.2",1,0.01
"Power CZ3-23.14-22.6-18.1",1,0.01
"Power CZ3-23.14-22.6-21.1",1,0.01
"Power CZ3-23.14-22.7",1,0.01
"Power CZ3-23.15-22.0-21.6",1,0.01
"Power CZ3-23.15-22.1-21.5",1,0.01
"Power CZ3-23.15-22.2-21.2",1,0.01
"Power CZ3-23.15-22.2-21.4",1,0.01
"Power CZ3-23.15-22.3-15.1",1,0.01
"Power CZ3-23.15-22.3-21.1",1,0.01
"Power CZ3-23.15-22.3-21.3",1,0.01
"Power CZ3-23.15-22.4-21.2",1,0.01
"Power CZ3-23.15-22.5-18.1",1,0.01
"Power CZ3-23.15-22.5-21.1",1,0.01
"Power CZ3-23.15-22.6",1,0.01
"Power CZ3-23.16-15.1-21.1-22.1",1,0.01
"Power CZ3-23.16-22.0-21.3",1,0.01
"Power CZ3-23.16-22.0-21.5",1,0.01
"Power CZ3-23.16-22.1-21.2",1,0.01
"Power CZ3-23.16-22.1-21.4",1,0.01
"Power CZ3-23.16-22.2-15.1",1,0.01
"Power CZ3-23.16-22.2-21.3",1,0.01
"Power CZ3-23.16-22.3-21.2",1,0.01
"Power CZ3-23.16-22.4-18.1",1,0.01
"Power CZ3-23.16-22.4-21.1",1,0.01
"Power CZ3-23.16-22.5",1,0.01
"Power CZ3-23.17-15.1-21.1",1,0.01
"Power CZ3-23.17-15.1-22.1",1,0.01
"Power CZ3-23.17-16.1-22.1",1,0.01
"Power CZ3-23.17-17.1-22.1",1,0.01
"Power CZ3-23.17-21.1-21.1",1,0.01
"Power CZ3-23.17-22.0-21.4",1,0.01
"Power CZ3-23.17-22.1-21.3",1,0.01
"Power CZ3-23.17-22.2-21.2",1,0.01
"Power CZ3-23.17-22.3-18.1",1,0.01
"Power CZ3-23.17-22.3-21.1",1,0.01
"Power CZ3-23.18-15.1",1,0.01
"Power CZ3-23.18-16.1",1,0.01
"Power CZ3-23.18-17.1",1,0.01
"Power CZ3-23.18-18.1",1,0.01
"Power CZ3-23.18-18.1-21.1-21.1",1,0.01
"Power CZ3-23.18-18.1-21.1-22.1",1,0.01
"Power CZ3-23.18-19.1-19.1-21.1",1,0.01
"Power CZ3-23.18-19.1-20.1-21.1",1,0.01
"Power CZ3-23.18-19.1-21.1-21.1",1,0.01
"Power CZ3-23.18-19.1-21.1-22.1",1,0.01
"Power CZ3-23.18-20.1-20.1-20.1",1,0.01
"Power CZ3-23.18-20.1-20.1-21.1",1,0.01
"Power CZ3-23.18-20.1-21.1-21.1",1,0.01
"Power CZ3-23.18-20.1-21.1-22.1",1,0.01
"Power CZ3-23.18-22.0-21.3",1,0.01
"Power CZ3-23.18-22.1-21.2",1,0.01
"Power CZ3-23.18-22.2-17.1",1,0.01
"Power CZ3-23.18-22.2-18.1",1,0.01
"Power CZ3-23.19-17.1-21.1",1,0.01
"Power CZ3-23.19-17.1-22.1",1,0.01
"Power CZ3-23.19-18.1-20.1",1,0.01
"Power CZ3-23.19-18.1-21.1",1,0.01
"Power CZ3-23.19-18.1-22.1",1,0.01
"Power CZ3-23.19-19.1-20.1",1,0.01
"Power CZ3-23.19-19.1-21.1",1,0.01
"Power CZ3-23.19-19.1-22.1",1,0.01
"Power CZ3-23.19-20.1-20.1",1,0.01
"Power CZ3-23.19-20.1-21.1",1,0.01
"Power CZ3-23.2-22.18-21.1",1,0.01
"Power CZ3-23.2-22.19",1,0.01
"Power CZ3-23.20-17.1",1,0.01
"Power CZ3-23.20-18.1",1,0.01
"Power CZ3-23.20-19.1",1,0.01
"Power CZ3-23.3-20.1-20.1-20.1",1,0.01
"Power CZ3-23.3-20.1-20.1-22.1",1,0.01
"Power CZ3-23.3-22.18",1,0.01
"Power CZ3-23.3-22.2-20.1",1,0.01
"Power CZ3-23.4-22.16-21.1",1,0.01
"Power CZ3-23.4-22.17",1,0.01
"Power CZ3-23.5-22.15-21.1",1,0.01
"Power CZ3-23.5-22.16",1,0.01
"Power CZ3-23.6-22.14-21.1",1,0.01
"Power CZ3-23.6-22.15",1,0.01
"Power CZ3-23.7-22.13-21.1",1,0.01
"Power CZ3-23.7-22.14",1,0.01
"Power CZ3-23.8-22.11-21.2",1,0.01
"Power CZ3-23.8-22.12-21.1",1,0.01
"Power CZ3-23.8-22.13",1,0.01
"Power CZ3-23.9-22.10-21.2",1,0.01
"Power CZ3-23.9-22.11-21.1",1,0.01
"Power CZ3-23.9-22.12",1,0.01
"Power CZ3-9.8-5.1",1,0.01
"Power CZ3-9.8-6.1",1,0.01
"Power CZ3-9.9",1,0.01
"Power CZ4-13.0-12.12-10.1",1,0.01
"Power CZ4-13.0-12.12-4.1",1,0.01
"Power CZ4-13.0-12.12-5.1",1,0.01
"Power CZ4-13.0-12.12-8.1",1,0.01
"Power CZ4-13.0-12.12-9.1",1,0.01
"Power N-CT101^2Arc(13)T11",1,0.01
"Power N-CT101^2T13",1,0.01
"Power N-CT101^2T16",1,0.01
"Power N-CT101^2T18",1,0.01
"Power N-CT101^2T24",1,0.01
"Power N-CT101^2T7",1,0.01
"Power N-CT101^2Trin2,2,2",1,0.01
"Power N-CT101^2Trin2,2,6",1,0.01
"Power N-CT29^2T2T2",1,0.01
"Power N-CT29^2T4T2",1,0.01
"Power N-CT29^2T6T2",1,0.01
"Power N-CT29^2T8T5",1,0.01
"Power N-CT29^2T8T6",1,0.01
"Power N-CT31^2T12",1,0.01
"Power N-CT31^2T13",1,0.01
"Power N-CT31^2T2T1",1,0.01
"Power N-CT31^2T9",1,0.01
"Power N-CT37^2T10",1,0.01
"Power N-CT37^2T11",1,0.01
"Power N-CT37^2T5",1,0.01
"Power N-CT37^2T6",1,0.01
"Power N-CT41^2T10T3",1,0.01
"Power N-CT41^2T10T5",1,0.01
"Power N-CT41^2T10T8",1,0.01
"Power N-CT41^2T12T3",1,0.01
"Power N-CT41^2T12T6",1,0.01
"Power N-CT41^2T14",1,0.01
"Power N-CT41^2T14T3",1,0.01
"Power N-CT41^2T3",1,0.01
"Power N-CT41^2T3T2",1,0.01
"Power N-CT41^2T4T2",1,0.01
"Power N-CT41^2T5",1,0.01
"Power N-CT41^2T7T2",1,0.01
"Power N-CT41^2T7T5",1,0.01
"Power N-CT41^2Trin1,5,7",1,0.01
"Power N-CT41^2Trin2,2,7",1,0.01
"Power N-CT41^2Trin2,4,7",1,0.01
"Power N-CT41^2Trin3,3,12",1,0.01
"Power N-CT41^2Trin3,3,3",1,0.01
"Power N-CT41^2Trin3,6,12",1,0.01
"Power N-CT43^2Arc(2)T14",1,0.01
"Power N-CT43^2Arc(2)T4",1,0.01
"Power N-CT43^2T13",1,0.01
"Power N-CT43^2T13T1",1,0.01
"Power N-CT43^2T14",1,0.01
"Power N-CT43^2T14T1",1,0.01
