"family","entries","share"
"Power N-CT47^2T3T1",4,0.03
"Power N-CT47^2T4",4,0.03
"Power N-CT47^2Trin2,2,2",4,0.03
"Power N-CT53^2T4T1",4,0.03
"Power N-CT53^2Trin1,4,4",4,0.03
"Power N-CT53^2Trin2,4,4",4,0.03
"Power N-CT59^2T5",4,0.03
"Power N-CT61^2T10",4,0.03
"Power N-CT67^2+1",4,0.03
"Power N-CT67^2T16",4,0.03
"Power N-CT73^2+2",4,0.03
"Power N-CT73^2T17T17",4,0.03
"Power N-CT73^2T18",4,0.03
"Power N-CT73^2T21",4,0.03
"Power N-CT73^2T21T21",4,0.03
"Power N-CT73^2T21T3",4,0.03
"Power N-CT73^2T22",4,0.03
"Power N-CT73^2T22T21",4,0.03
"Power N-CT73^2T22T3",4,0.03
"Power N-CT73^2T6T5",4,0.03
"Power N-CT73^2T7T7",4,0.03
"Power N-CT73^2Trin3,21,21",4,0.03
"Power N-CT73^2Trin3,21,22",4,0.03
"Power N-CT73^2Trin3,22,22",4,0.03
"Power N-CT73^2Trin3,3,21",4,0.03
"Power N-CT73^2Trin3,3,22",4,0.03
"Power N-CT73^2Trin3,3,3",4,0.03
"Power N-CT73^2Trin7,7,7",4,0.03
"Power N-CT79^2Arc(2)T27",4,0.03
"Power N-CT79^2Arc(3)T27",4,0.03
"Power N-CT79^2Arc(4)T27",4,0.03
"Power N-CT79^2Arc(5)T27",4,0.03
"Power N-CT79^2Arc(6)T27",4,0.03
"Power N-CT79^2T27T1",4,0.03
"Power N-CT79^2T2T2",4,0.03
"Power N-CT83^2",4,0.03
"Power N-CT83^2T31",4,0.03
"Power N-CT83^2T32",4,0.03
"Power N-CT83^2T49",4,0.03
"Power N-CT83^2T9",4,0.03
"Power N-CT89^2+3",4,0.03
"Power N-CT89^2T11",4,0.03
"Power N-CT89^2T14",4,0.03
"Power N-CT89^2T21",4,0.03
"Power N-CT89^2T2T2",4,0.03
"Power N-CT89^2Trin2,2,2",4,0.03
"Power N-CT89^2Trin2,2,4",4,0.03
"Power N-CT89^2Trin2,4,4",4,0.03
"perfect hash family13,10609,103T16",4,0.03
"perfect hash family13,10609,103T18",4,0.03
"perfect hash family13,10609,103T25",4,0.03
"perfect hash family13,10609,103T5",4,0.03
"perfect hash family13,12769,113T26",4,0.03
"perfect hash family13,12769,113T28",4,0.03
"perfect hash family13,6893,87",4,0.03
"perfect hash family14,2213,51",4,0.03
"perfect hash family14,2214,52",4,0.03
"perfect hash family14,3726,66",4,0.03
"perfect hash family16,529,23,c",4,0.03
"perfect hash family20,2116,23,c",4,0.03
"perfect hash family20,2117,24",4,0.03
"perfect hash family9,12769,113T40",4,0.03
"perfect hash familyD16,1250,50^11 25^5",4,0.03
"Power CT19^2",3,0.02
"Power CT19^2T1",3,0.02
"Power CT23^3T3T2",3,0.02
"Power CT31^2Arc",3,0.02
"Power N-CT101^2T10",3,0.02
"Power N-CT101^2T12T3",3,0.02
"Power N-CT101^2T19T3",3,0.02
"Power N-CT101^2T3T3",3,0.02
"Power N-CT101^2T8",3,0.02
"Power N-CT29^2T3",3,0.02
"Power N-CT29^2T4",3,0.02
"Power N-CT29^2T6",3,0.02
"Power N-CT31^2+3",3,0.02
"Power N-CT31^2Arc(2)T5",3,0.02
"Power N-CT31^2T10",3,0.02
"Power N-CT31^2T11",3,0.02
"Power N-CT31^2T5T1",3,0.02
"Power N-CT31^2T8",3,0.02
"Power N-CT37^2T8",3,0.02
"Power N-CT41^2Arc(2)T13",3,0.02
"Power N-CT41^2Arc(2)T2",3,0.02
"Power N-CT41^2Arc(2)T8",3,0.02
"Power N-CT41^2T10T4",3,0.02
"Power N-CT41^2T10T6",3,0.02
"Power N-CT41^2T12",3,0.02
"Power N-CT41^2T13T1",3,0.02
"Power N-CT41^2T13T13",3,0.02
"Power N-CT41^2T13T2",3,0.02
"Power N-CT41^2T13T6",3,0.02
"Power N-CT41^2T13T8",3,0.02
"Power N-CT41^2T2T1",3,0.02
"Power N-CT41^2T6",3,0.02
"Power N-CT41^2T7T7",3,0.02
"Power N-CT41^2T8T1",3,0.02
"Power N-CT41^2T8T2",3,0.02
"Power N-CT41^2Trin1,2,13",3,0.02
"Power N-CT41^2Trin1,2,8",3,0.02
"Power N-CT41^2Trin1,6,13",3,0.02
"Power N-CT41^2Trin1,8,13",3,0.02
"Power N-CT41^2Trin2,2,13",3,0.02
"Power N-CT41^2Trin2,2,2",3,0.02
"Power N-CT41^2Trin2,2,8",3,0.02
"Power N-CT41^2Trin2,6,13",3,0.02
"Power N-CT41^2Trin2,7,7",3,0.02
"Power N-CT41^2Trin2,8,13",3,0.02
"Power N-CT43^2+1",3,0.02
"Power N-CT43^2T1",3,0.02
"Power N-CT43^2T15",3,0.02
"Power N-CT43^2T1T1",3,0.02
"Power N-CT43^2T23",3,0.02
"Power N-CT43^2T24",3,0.02
"Power N-CT43^2T25",3,0.02
"Power N-CT43^2T6",3,0.02
"Power N-CT47^2T16",3,0.02
"Power N-CT47^2T18",3,0.02
"Power N-CT47^2T20",3,0.02
"Power N-CT47^2T5",3,0.02
"Power N-CT53^2",3,0.02
"Power N-CT53^2T5",3,0.02
"Power N-CT53^2T5T5",3,0.02
"Power N-CT53^2T7T2",3,0.02
"Power N-CT53^2T8",3,0.02
"Power N-CT53^2T9",3,0.02
"Power N-CT53^2Trin2,2,7",3,0.02
"Power N-CT59^2+1",3,0.02
"Power N-CT59^2Arc(2)T13",3,0.02
"Power N-CT59^2Arc(2)T3",3,0.02
"Power N-CT59^2Arc(3)T13",3,0.02
"Power N-CT59^2Arc(3)T3",3,0.02
"Power N-CT59^2T10T4",3,0.02
"Power N-CT59^2T13T1",3,0.02
"Power N-CT59^2T13T3",3,0.02
"Power N-CT59^2T3T1",3,0.02
"Power N-CT59^2T3T3",3,0.02
"Power N-CT59^2T8T3",3,0.02
"Power N-CT59^2Trin1,3,13",3,0.02
"Power N-CT59^2Trin1,3,3",3,0.02
"Power N-CT59^2Trin3,3,13",3,0.02
"Power N-CT59^2Trin3,3,3",3,0.02
"Power N-CT61^2+1",3,0.02
"Power N-CT61^2+2",3,0.02
"Power N-CT61^2+3",3,0.02
"Power N-CT61^2T1",3,0.02
"Power N-CT61^2T15",3,0.02
"Power N-CT61^2T1T1",3,0.02
"Power N-CT61^2T3",3,0.02
"Power N-CT61^2T6",3,0.02
"Power N-CT67^2Arc(2)T14",3,0.02
"Power N-CT67^2Arc(2)T7",3,0.02
"Power N-CT67^2Arc(3)T14",3,0.02
"Power N-CT67^2Arc(3)T7",3,0.02
"Power N-CT67^2Arc(4)T7",3,0.02
"Power N-CT67^2Arc(5)T7",3,0.02
"Power N-CT67^2T1",3,0.02
"Power N-CT67^2T14T1",3,0.02
"Power N-CT67^2T14T3",3,0.02
"Power N-CT67^2T14T5",3,0.02
"Power N-CT67^2T1T1",3,0.02
"Power N-CT67^2T3T3",3,0.02
"Power N-CT67^2T7T1",3,0.02
"Power N-CT67^2Trin1,3,14",3,0.02
"Power N-CT67^2Trin3,3,14",3,0.02
"Power N-CT73^2T10",3,0.02
"Power N-CT73^2T10T10",3,0.02
"Power N-CT73^2T10T7",3,0.02
"Power N-CT73^2T10T9",3,0.02
"Power N-CT73^2T8",3,0.02
"Power N-CT73^2T9T7",3,0.02
"Power N-CT73^2Trin7,7,9",3,0.02
"Power N-CT79^2T13",3,0.02
"Power N-CT79^2T15",3,0.02
"Power N-CT79^2T16",3,0.02
"Power N-CT79^2T18",3,0.02
"Power N-CT79^2T2",3,0.02
"Power N-CT83^2Arc(2)T17",3,0.02
"Power N-CT83^2T13",3,0.02
"Power N-CT83^2T17",3,0.02
"Power N-CT83^2T17T1",3,0.02
"Power N-CT83^2T1T1",3,0.02
"Power N-CT83^2T21",3,0.02
"Power N-CT83^2T6",3,0.02
"Power N-CT83^2T7",3,0.02
"Power N-CT89^2+2",3,0.02
"Power N-CT89^2T10",3,0.02
"Power N-CT89^2T16",3,0.02
"Power N-CT89^2T22",3,0.02
"Power N-CT89^2T26",3,0.02
"Power N-CT89^2T27",3,0.02
"Power N-CT89^2T29",3,0.02
"Power N-CT89^2T6",3,0.02
"Power N-CT97^2",3,0.02
"Power N-CT97^2+1",3,0.02
"Power N-CT97^2Arc(13)T2",3,0.02
"Power N-CT97^2T15",3,0.02
"Power N-CT97^2T2",3,0.02
"Power N-CT97^2T24T5",3,0.02
"Power N-CT97^2T27",3,0.02
"Power N-CT97^2T2T2",3,0.02
"Power N-CT97^2Trin2,2,2",3,0.02
"Steiner system",3,0.02
"Xu-Ji-Dong",3,0.02
"perfect hash family13,10609,103T14",3,0.02
"perfect hash family13,10609,103T21",3,0.02
"perfect hash family13,10609,103T37",3,0.02
"perfect hash family13,10609,103T39",3,0.02
"perfect hash family14,1107,40S11",3,0.02
"perfect hash family14,1107,40S13",3,0.02
"perfect hash family14,1107,40S14",3,0.02
"perfect hash family21,12167,23,c",3,0.02
"perfect hash family3,1146,765T109",3,0.02
"perfect hash family3,1146,765T115",3,0.02
"perfect hash family3,1146,765T124",3,0.02
"perfect hash family3,871,582",3,0.02
"perfect hash family3,960,641",3,0.02
"perfect hash family3,960,641T59",3,0.02
"perfect hash family3,972,649T67",3,0.02
"perfect hash family3,972,649T8",3,0.02
"perfect hash family3,973,650",3,0.02
"perfect hash family3,981,655T14",3,0.02
"perfect hash family3,981,655T5",3,0.02
"perfect hash family3,981,655T73",3,0.02
"perfect hash family3,982,656",3,0.02
"perfect hash family32,512,16,c",3,0.02
"perfect hash family32,513,17",3,0.02
"perfect hash family4,3125,625T110",3,0.02
"perfect hash family4,3125,625T249",3,0.02
"perfect hash family4,3125,625T265",3,0.02
"perfect hash family4,3125,625T289",3,0.02
"perfect hash family4,3125,625T43",3,0.02
"perfect hash family6,735,249",3,0.02
"perfect hash family9,10609,103T11",3,0.02
"perfect hash family9,10609,103T30",3,0.02
"perfect hash family9,10609,103T37",3,0.02
"perfect hash family9,11881,109T36",3,0.02
"perfect hash family9,14986,126T53",3,0.02
"Density Mult Cyclic",2,0.01
"Fix 3 symbols",2,0.01
"Fix 4 symbols (LCDST) TJ-SA",2,0.01
"Fix 5 symbols (LCDST) TJ-SA",2,0.01
"Holey Transversal Design",2,0.01
"Incomplete Transversal Design",2,0.01
"Power CT17^2+1",2,0.01
"Power CT19^2+2",2,0.01
"Power CT19^2Arc",2,0.01
"Power CT19^2T1T1",2,0.01
"Power CT19^3",2,0.01
"Power CT19^3T1",2,0.01
"Power CT19^3T1T1",2,0.01
"Power CT23^2",2,0.01
"Power CT23^2T1",2,0.01
"Power CT23^2T1T1",2,0.01
"Power CT23^2T2",2,0.01
"Power CT23^3",2,0.01
"Power CT23^3T16",2,0.01
"Power CT23^3T17",2,0.01
"Power CT23^3T3T1",2,0.01
"Power CT23^3T3T1T1",2,0.01
"Power CT23^3T3T2T1",2,0.01
"Power CT23^3T3T3",2,0.01
"Power CT23^3T3T3T1",2,0.01
"Power CT23^3T3T3T2",2,0.01
"Power CT23^3T3T3T3",2,0.01
"Power CT29^2T3",2,0.01
"Power CT31^2T1T1",2,0.01
"Power CT31^3T3S30",2,0.01
"Power CT31^3T5S29",2,0.01
"Power CT31^3T5S30",2,0.01
"Power CT32^2+2",2,0.01
"Power CT37^2+3",2,0.01
"Power CT37^2Arc(10):5 twos,0 ones",2,0.01
"Power CT37^2Arc(6):3 twos,0 ones",2,0.01
"Power CT37^2Arc(8):4 twos,0 ones",2,0.01
"Power CT37^2T2",2,0.01
"Power CT37^2T2T2",2,0.01
"Power CT41^2T1T1",2,0.01
"Power CT43^2+2",2,0.01
"Power CT43^2Arc",2,0.01
"Power CT49^2+1",2,0.01
"Power CT49^2T4",2,0.01
"Power CT49^2T9",2,0.01
"Power CT53^2+2",2,0.01
"Power N-CT101^2Arc(13)T13",2,0.01
"Power N-CT101^2Arc(13)T18",2,0.01
"Power N-CT101^2Arc(13)T4",2,0.01
"Power N-CT101^2Arc(13)T6",2,0.01
"Power N-CT101^2Arc(2)T12",2,0.01
"Power N-CT101^2Arc(2)T25",2,0.01
"Power N-CT101^2Arc(3)T12",2,0.01
"Power N-CT101^2Arc(3)T25",2,0.01
"Power N-CT101^2Arc(4)T12",2,0.01
"Power N-CT101^2Arc(4)T25",2,0.01
"Power N-CT101^2Arc(9)T12",2,0.01
"Power N-CT101^2T12T1",2,0.01
"Power N-CT101^2T19",2,0.01
"Power N-CT101^2T20",2,0.01
"Power N-CT101^2T25T1",2,0.01
"Power N-CT101^2T6",2,0.01
"Power N-CT29^2Arc(2)T6",2,0.01
"Power N-CT29^2Arc(3)T6",2,0.01
"Power N-CT29^2Arc(4)T6",2,0.01
"Power N-CT29^2T6T1",2,0.01
"Power N-CT29^2T9",2,0.01
"Power N-CT31^2Arc(2)T3",2,0.01
"Power N-CT31^2Arc(2)T8",2,0.01
"Power N-CT31^2T3T1",2,0.01
"Power N-CT31^2T8T1",2,0.01
"Power N-CT37^2+1",2,0.01
"Power N-CT37^2Arc(2)T4",2,0.01
"Power N-CT37^2T1",2,0.01
"Power N-CT37^2T12",2,0.01
"Power N-CT37^2T12T3",2,0.01
"Power N-CT37^2T14",2,0.01
"Power N-CT37^2T1T1",2,0.01
"Power N-CT37^2T3",2,0.01
"Power N-CT37^2T4T1",2,0.01
"Power N-CT37^2T4T3",2,0.01
"Power N-CT37^2T7",2,0.01
"Power N-CT37^2T8T3",2,0.01
"Power N-CT37^2T8T4",2,0.01
"Power N-CT41^2Arc(2)T4",2,0.01
"Power N-CT41^2Arc(3)T4",2,0.01
"Power N-CT41^2Arc(4)T4",2,0.01
"Power N-CT41^2T1",2,0.01
"Power N-CT41^2T11",2,0.01
"Power N-CT41^2T12T4",2,0.01
"Power N-CT41^2T1T1",2,0.01
"Power N-CT41^2T3T3",2,0.01
"Power N-CT41^2T4T1",2,0.01
"Power N-CT41^2T6T6",2,0.01
"Power N-CT41^2T7T3",2,0.01
"Power N-CT41^2T7T4",2,0.01
"Power N-CT41^2Trin1,4,4",2,0.01
"Power N-CT41^2Trin1,7,7",2,0.01
"Power N-CT41^2Trin3,7,7",2,0.01
"Power N-CT41^2Trin4,4,10",2,0.01
"Power N-CT41^2Trin4,4,12",2,0.01
"Power N-CT41^2Trin6,6,6",2,0.01
"Power N-CT43^2T5",2,0.01
"Power N-CT47^2",2,0.01
"Power N-CT47^2Arc(2)T3",2,0.01
"Power N-CT47^2Arc(2)T4",2,0.01
"Power N-CT47^2Arc(2)T5",2,0.01
"Power N-CT47^2Arc(3)T5",2,0.01
"Power N-CT47^2T13",2,0.01
"Power N-CT47^2T14",2,0.01
"Power N-CT47^2T22",2,0.01
"Power N-CT47^2T2T1",2,0.01
"Power N-CT47^2T4T1",2,0.01
"Power N-CT47^2T4T2",2,0.01
"Power N-CT47^2T5T1",2,0.01
"Power N-CT47^2T5T3",2,0.01
"Power N-CT47^2T6T1",2,0.01
"Power N-CT47^2T7",2,0.01
"Power N-CT47^2Trin1,3,5",2,0.01
"Power N-CT53^2+2",2,0.01
"Power N-CT53^2Arc(2)T2",2,0.01
"Power N-CT53^2Arc(2)T4",2,0.01
