"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",106,2,5,6125,115,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2,      7, 5), miscCA(2, 7, 5), c1 = 3), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",107,2,5,6300,118,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7,      5)[, 1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",108,2,5,7350,119,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2,      7, 5), miscCA(2, 7, 5), c1 = 3), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",109,2,5,7875,120,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2,      7, 5), miscCA(2, 9, 5), c1 = 3), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",110,2,5,8575,121,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(miscCA(2, 7, 5), productCA(miscCA(2, 7, 5),      miscCA(2, 7, 5), c1 = 3), c1 = 3), c1 = 5), c1 = 5)"
"DPcat",111,2,5,8820,123,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2,      7, 5), miscCA(2, 7, 5), c1 = 3), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",112,2,5,9450,124,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2,      7, 5), miscCA(2, 9, 5), c1 = 3), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",113,2,5,15625,125,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6,      5)[, 1:5], c1 = 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",114,2,5,18750,129,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7,      5)[, 1:6], c1 = 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",115,2,5,21875,130,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7,      5), c1 = 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",116,2,6,9,66,"productCA(miscCA(2, 3, 6), miscCA(2, 3, 6), c1 = 6)"
"DPcat",117,2,6,12,67,"productCA(miscCA(2, 3, 6), miscCA(2, 4, 6), c1 = 6)"
"DPcat",118,2,6,16,68,"productCA(miscCA(2, 4, 6), miscCA(2, 4, 6), c1 = 5)"
"DPcat",119,2,6,20,70,"productCA(miscCA(2, 4, 6), miscCA(2, 5, 6), c1 = 5)"
"DPcat",120,2,6,25,72,"productCA(miscCA(2, 5, 6), miscCA(2, 5, 6), c1 = 4)"
"DPcat",121,2,6,30,74,"productCA(miscCA(2, 5, 6), miscCA(2, 6, 6), c1 = 4)"
"DPcat",122,2,6,36,76,"productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6)"
"DPcat",123,2,6,40,79,"productCA(miscCA(2, 5, 6), CS_CMMSSY(9, 6)[, 1:8], c1 = 4)"
"DPcat",124,2,6,48,81,"productCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)[, 1:8], c1 = 6)"
"DPcat",125,2,6,64,86,"productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6)"
"DPcat",126,2,6,72,91,"productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(10, 6)[, 1:9], c1 = 6)"
"DPcat",127,2,6,81,96,"productCA(CS_CMMSSY(10, 6)[, 1:9], CS_CMMSSY(10, 6)[, 1:9], c1 = 6)"
"DPcat",128,2,6,90,101,"productCA(CS_CMMSSY(10, 6)[, 1:9], CS_CMMSSY(11, 6)[, 1:10],      c1 = 6)"
"DPcat",129,2,6,100,103,"productCA(miscCA(2, 4, 6), productCA(miscCA(2, 5, 6), miscCA(2,      5, 6), c1 = 4), c1 = 5)"
"DPcat",130,2,6,125,105,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), miscCA(2,      5, 6), c1 = 4), c1 = 4)"
"DPcat",131,2,6,150,107,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), miscCA(2,      6, 6), c1 = 4), c1 = 4)"
"DPcat",132,2,6,180,109,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), miscCA(2,      6, 6), c1 = 6), c1 = 4)"
"DPcat",133,2,6,216,111,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), miscCA(2,      6, 6), c1 = 6), c1 = 6)"
"DPcat",134,2,6,240,114,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9,      6)[, 1:8], c1 = 6), c1 = 4)"
"DPcat",135,2,6,288,116,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9,      6)[, 1:8], c1 = 6), c1 = 6)"
"DPcat",136,2,6,320,119,"productCA(miscCA(2, 5, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],      CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 4)"
"DPcat",137,2,6,384,121,"productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],      CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6)"
"DPcat",138,2,6,512,126,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,      1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6)"
"DPcat",139,2,6,576,131,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,      1:8], CS_CMMSSY(10, 6)[, 1:9], c1 = 6), c1 = 6)"
"DPcat",140,2,6,648,136,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(10, 6)[,      1:9], CS_CMMSSY(10, 6)[, 1:9], c1 = 6), c1 = 6)"
"DPcat",141,2,6,750,140,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), productCA(miscCA(2,      5, 6), miscCA(2, 6, 6), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",142,2,6,900,142,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), productCA(miscCA(2,      6, 6), miscCA(2, 6, 6), c1 = 6), c1 = 4), c1 = 4)"
"DPcat",143,2,6,1080,144,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), miscCA(2, 6, 6), c1 = 6), c1 = 6), c1 = 4)"
"DPcat",144,2,6,1296,146,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), miscCA(2, 6, 6), c1 = 6), c1 = 6), c1 = 6)"
"DPcat",145,2,6,1440,149,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), c1 = 4)"
"DPcat",146,2,6,1728,151,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), c1 = 6)"
"DPcat",147,2,6,1920,154,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9,      6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), c1 = 4)"
"DPcat",148,2,6,2304,156,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9,      6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), c1 = 6)"
"DPcat",149,2,6,2560,159,"productCA(miscCA(2, 5, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],      productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8],          c1 = 6), c1 = 6), c1 = 4)"
"DPcat",150,2,6,3072,161,"productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],      productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8],          c1 = 6), c1 = 6), c1 = 6)"
"DPcat",151,2,6,4096,166,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,      1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[,      1:8], c1 = 6), c1 = 6), c1 = 6)"
"DPcat",152,2,6,4608,171,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,      1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(10, 6)[,      1:9], c1 = 6), c1 = 6), c1 = 6)"
"DPcat",153,2,6,5184,176,"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,      1:8], productCA(CS_CMMSSY(10, 6)[, 1:9], CS_CMMSSY(10, 6)[,      1:9], c1 = 6), c1 = 6), c1 = 6)"
"DPcat",154,2,6,5400,177,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), productCA(miscCA(2,      6, 6), productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6),      c1 = 6), c1 = 4), c1 = 4)"
"DPcat",155,2,6,6480,179,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6),      c1 = 6), c1 = 6), c1 = 4)"
"DPcat",156,2,6,7776,181,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6),      c1 = 6), c1 = 6), c1 = 6)"
"DPcat",157,2,6,8640,184,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)[, 1:8],      c1 = 6), c1 = 6), c1 = 6), c1 = 4)"
"DPcat",158,2,6,10368,186,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)[, 1:8],      c1 = 6), c1 = 6), c1 = 6), c1 = 6)"
"DPcat",159,2,6,11520,189,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[,      1:8], c1 = 6), c1 = 6), c1 = 6), c1 = 4)"
"DPcat",160,2,6,13824,191,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2,      6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[,      1:8], c1 = 6), c1 = 6), c1 = 6), c1 = 6)"
"DPcat",161,2,6,15360,194,"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9,      6)[, 1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9,      6)[, 1:8], c1 = 6), c1 = 6), c1 = 6), c1 = 4)"
"DPcat",162,2,6,18432,196,"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9,      6)[, 1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9,      6)[, 1:8], c1 = 6), c1 = 6), c1 = 6), c1 = 6)"
"DPcat",163,2,6,20480,199,"productCA(miscCA(2, 5, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],      productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9,          6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6),      c1 = 6), c1 = 4)"
"DPcat",164,2,7,49,91,"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(8, 7)[, 1:7], c1 = 7)"
"DPcat",165,2,7,63,103,"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(10, 7)[, 1:9], c1 = 7)"
"DPcat",166,2,7,70,109,"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(11, 7)[, 1:10], c1 = 7)"
"DPcat",167,2,7,81,115,"productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[, 1:9], c1 = 7)"
"DPcat",168,2,7,90,121,"productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(11, 7)[, 1:10],      c1 = 7)"
"DPcat",169,2,7,100,127,"productCA(CS_CMMSSY(11, 7)[, 1:10], CS_CMMSSY(11, 7)[, 1:10],      c1 = 7)"
"DPcat",170,2,7,343,133,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], CS_CMMSSY(8, 7)[, 1:7], c1 = 7), c1 = 7)"
"DPcat",171,2,7,441,145,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), c1 = 7)"
"DPcat",172,2,7,490,151,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], CS_CMMSSY(11, 7)[, 1:10], c1 = 7), c1 = 7)"
"DPcat",173,2,7,567,157,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(10, 7)[,      1:9], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), c1 = 7)"
"DPcat",174,2,7,630,163,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(10, 7)[,      1:9], CS_CMMSSY(11, 7)[, 1:10], c1 = 7), c1 = 7)"
"DPcat",175,2,7,729,169,"productCA(CS_CMMSSY(10, 7)[, 1:9], productCA(CS_CMMSSY(10, 7)[,      1:9], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), c1 = 7)"
"DPcat",176,2,7,2401,175,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(8, 7)[,      1:7], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",177,2,7,3087,187,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(10, 7)[,      1:9], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",178,2,7,3430,193,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(11, 7)[,      1:10], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",179,2,7,3969,199,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[,      1:9], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",180,2,7,4410,205,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(11, 7)[,      1:10], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",181,2,7,5103,211,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(10, 7)[,      1:9], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[,      1:9], c1 = 7), c1 = 7), c1 = 7)"
"DPcat",182,2,7,16807,217,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8,      7)[, 1:7], CS_CMMSSY(8, 7)[, 1:7], c1 = 7), c1 = 7), c1 = 7),      c1 = 7)"
"DPcat",183,2,7,21609,229,"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,      1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8,      7)[, 1:7], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), c1 = 7), c1 = 7),      c1 = 7)"
"DPcat",184,2,8,100,148,"productCA(SCA_LCDST(11, 8)[, 1:10], SCA_LCDST(11, 8)[, 1:10],      c1 = 8)"
"DPcat",185,2,8,110,155,"productCA(SCA_LCDST(11, 8)[, 1:10], CS_CMMSSY(12, 8)[, 1:11],      c1 = 8)"
"DPcat",186,2,8,121,162,"productCA(CS_CMMSSY(12, 8)[, 1:11], CS_CMMSSY(12, 8)[, 1:11],      c1 = 8)"
"DPcat",187,2,8,132,169,"productCA(CS_CMMSSY(12, 8)[, 1:11], CS_CMMSSY(13, 8)[, 1:12],      c1 = 8)"
"DPcat",188,2,8,144,176,"productCA(CS_CMMSSY(13, 8)[, 1:12], CS_CMMSSY(13, 8)[, 1:12],      c1 = 8)"
"DPcat",189,2,8,156,183,"productCA(CS_CMMSSY(13, 8)[, 1:12], CS_CMMSSY(14, 8)[, 1:13],      c1 = 8)"
"DPcat",190,2,8,169,190,"productCA(CS_CMMSSY(14, 8)[, 1:13], CS_CMMSSY(14, 8)[, 1:13],      c1 = 8)"
"DPcat",191,2,8,182,197,"productCA(CS_CMMSSY(14, 8)[, 1:13], CS_CMMSSY(15, 8)[, 1:14],      c1 = 8)"
"DPcat",192,2,8,800,204,"productCA(SCA_Bose(8)[, 1:8], productCA(SCA_LCDST(11, 8)[, 1:10],      SCA_LCDST(11, 8)[, 1:10], c1 = 8), c1 = 8)"
"DPcat",193,2,8,880,211,"productCA(SCA_Bose(8)[, 1:8], productCA(SCA_LCDST(11, 8)[, 1:10],      CS_CMMSSY(12, 8)[, 1:11], c1 = 8), c1 = 8)"
"DPcat",194,2,8,1000,218,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_LCDST(11, 8)[,      1:10], SCA_LCDST(11, 8)[, 1:10], c1 = 8), c1 = 8)"
"DPcat",195,2,8,1100,225,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_LCDST(11, 8)[,      1:10], CS_CMMSSY(12, 8)[, 1:11], c1 = 8), c1 = 8)"
"DPcat",196,2,8,1210,232,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(CS_CMMSSY(12, 8)[,      1:11], CS_CMMSSY(12, 8)[, 1:11], c1 = 8), c1 = 8)"
"DPcat",197,2,8,1331,239,"productCA(CS_CMMSSY(12, 8)[, 1:11], productCA(CS_CMMSSY(12, 8)[,      1:11], CS_CMMSSY(12, 8)[, 1:11], c1 = 8), c1 = 8)"
"DPcat",198,2,8,1452,246,"productCA(CS_CMMSSY(12, 8)[, 1:11], productCA(CS_CMMSSY(12, 8)[,      1:11], CS_CMMSSY(13, 8)[, 1:12], c1 = 8), c1 = 8)"
"DPcat",199,2,8,1584,253,"productCA(CS_CMMSSY(12, 8)[, 1:11], productCA(CS_CMMSSY(13, 8)[,      1:12], CS_CMMSSY(13, 8)[, 1:12], c1 = 8), c1 = 8)"
"DPcat",200,2,8,6400,260,"productCA(SCA_Bose(8)[, 1:8], productCA(SCA_Bose(8)[, 1:8], productCA(SCA_LCDST(11,      8)[, 1:10], SCA_LCDST(11, 8)[, 1:10], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",201,2,8,7040,267,"productCA(SCA_Bose(8)[, 1:8], productCA(SCA_Bose(8)[, 1:8], productCA(SCA_LCDST(11,      8)[, 1:10], CS_CMMSSY(12, 8)[, 1:11], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",202,2,8,8000,274,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_Bose(8)[, 1:8],      productCA(SCA_LCDST(11, 8)[, 1:10], SCA_LCDST(11, 8)[, 1:10],          c1 = 8), c1 = 8), c1 = 8)"
"DPcat",203,2,8,8800,281,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_Bose(8)[, 1:8],      productCA(SCA_LCDST(11, 8)[, 1:10], CS_CMMSSY(12, 8)[, 1:11],          c1 = 8), c1 = 8), c1 = 8)"
"DPcat",204,2,8,10000,288,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_LCDST(11, 8)[,      1:10], productCA(SCA_LCDST(11, 8)[, 1:10], SCA_LCDST(11,      8)[, 1:10], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",205,2,8,11000,295,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_LCDST(11, 8)[,      1:10], productCA(SCA_LCDST(11, 8)[, 1:10], CS_CMMSSY(12,      8)[, 1:11], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",206,2,8,12100,302,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(SCA_LCDST(11, 8)[,      1:10], productCA(CS_CMMSSY(12, 8)[, 1:11], CS_CMMSSY(12,      8)[, 1:11], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",207,2,8,13310,309,"productCA(SCA_LCDST(11, 8)[, 1:10], productCA(CS_CMMSSY(12, 8)[,      1:11], productCA(CS_CMMSSY(12, 8)[, 1:11], CS_CMMSSY(12,      8)[, 1:11], c1 = 8), c1 = 8), c1 = 8)"
"DPcat",208,2,8,51200,316,"productCA(SCA_Bose(8)[, 1:8], productCA(SCA_Bose(8)[, 1:8], productCA(SCA_Bose(8)[,      1:8], productCA(SCA_LCDST(11, 8)[, 1:10], SCA_LCDST(11, 8)[,      1:10], c1 = 8), c1 = 8), c1 = 8), c1 = 8)"
"DPcat",209,2,9,144,201,"productCA(CS_CMMSSY(13, 9)[, 1:12], CS_CMMSSY(13, 9)[, 1:12],      c1 = 9)"
"DPcat",210,2,9,156,209,"productCA(CS_CMMSSY(13, 9)[, 1:12], CS_CMMSSY(14, 9)[, 1:13],      c1 = 9)"
"DPcat",211,2,9,169,217,"productCA(CS_CMMSSY(14, 9)[, 1:13], CS_CMMSSY(14, 9)[, 1:13],      c1 = 9)"
"DPcat",212,2,9,182,225,"productCA(CS_CMMSSY(14, 9)[, 1:13], CS_CMMSSY(15, 9)[, 1:14],      c1 = 9)"
"DPcat",213,2,9,196,233,"productCA(CS_CMMSSY(15, 9)[, 1:14], CS_CMMSSY(15, 9)[, 1:14],      c1 = 9)"
"DPcat",214,2,9,210,241,"productCA(CS_CMMSSY(15, 9)[, 1:14], CS_CMMSSY(16, 9)[, 1:15],      c1 = 9)"
"DPcat",215,2,9,225,249,"productCA(CS_CMMSSY(16, 9)[, 1:15], CS_CMMSSY(16, 9)[, 1:15],      c1 = 9)"
"DPcat",216,2,9,240,257,"productCA(CS_CMMSSY(16, 9)[, 1:15], SCA_MS(17, 9)[, 1:16], c1 = 9)"
"DPcat",217,2,9,256,265,"productCA(SCA_MS(17, 9)[, 1:16], SCA_MS(17, 9)[, 1:16], c1 = 9)"
"DPcat",218,2,9,1296,273,"productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(13, 9)[, 1:12],      CS_CMMSSY(13, 9)[, 1:12], c1 = 9), c1 = 9)"
"DPcat",219,2,9,1404,281,"productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(13, 9)[, 1:12],      CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9)"
"DPcat",220,2,9,1521,289,"productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(14, 9)[, 1:13],      CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9)"
"DPcat",221,2,9,1728,297,"productCA(CS_CMMSSY(13, 9)[, 1:12], productCA(CS_CMMSSY(13, 9)[,      1:12], CS_CMMSSY(13, 9)[, 1:12], c1 = 9), c1 = 9)"
"DPcat",222,2,9,1872,305,"productCA(CS_CMMSSY(13, 9)[, 1:12], productCA(CS_CMMSSY(13, 9)[,      1:12], CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9)"
"DPcat",223,2,9,2028,313,"productCA(CS_CMMSSY(13, 9)[, 1:12], productCA(CS_CMMSSY(14, 9)[,      1:13], CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9)"
"DPcat",224,2,9,2197,321,"productCA(CS_CMMSSY(14, 9)[, 1:13], productCA(CS_CMMSSY(14, 9)[,      1:13], CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9)"
"DPcat",225,2,9,2366,329,"productCA(CS_CMMSSY(14, 9)[, 1:13], productCA(CS_CMMSSY(14, 9)[,      1:13], CS_CMMSSY(15, 9)[, 1:14], c1 = 9), c1 = 9)"
"DPcat",226,2,9,2548,337,"productCA(CS_CMMSSY(14, 9)[, 1:13], productCA(CS_CMMSSY(15, 9)[,      1:14], CS_CMMSSY(15, 9)[, 1:14], c1 = 9), c1 = 9)"
"DPcat",227,2,9,11664,345,"productCA(SCA_Bose(9)[, 1:9], productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(13,      9)[, 1:12], CS_CMMSSY(13, 9)[, 1:12], c1 = 9), c1 = 9), c1 = 9)"
"DPcat",228,2,9,12636,353,"productCA(SCA_Bose(9)[, 1:9], productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(13,      9)[, 1:12], CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9), c1 = 9)"
"DPcat",229,2,9,13689,361,"productCA(SCA_Bose(9)[, 1:9], productCA(SCA_Bose(9)[, 1:9], productCA(CS_CMMSSY(14,      9)[, 1:13], CS_CMMSSY(14, 9)[, 1:13], c1 = 9), c1 = 9), c1 = 9)"
"DPcat",230,2,9,15552,369,"productCA(CS_CMMSSY(13, 9)[, 1:12], productCA(SCA_Bose(9)[, 1:9],      productCA(CS_CMMSSY(13, 9)[, 1:12], CS_CMMSSY(13, 9)[, 1:12],          c1 = 9), c1 = 9), c1 = 9)"
"DPcat",231,2,9,16848,377,"productCA(CS_CMMSSY(13, 9)[, 1:12], productCA(SCA_Bose(9)[, 1:9],      productCA(CS_CMMSSY(13, 9)[, 1:12], CS_CMMSSY(14, 9)[, 1:13],          c1 = 9), c1 = 9), c1 = 9)"
