"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",21,2,3,10000,59,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,      1:4], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6,      3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6,      3)[, 1:5], c1 = 3), c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
"DPcat",22,2,3,12500,61,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(CS_CMMSSY(6, 3)[,      1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6,      3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6,      3)[, 1:5], c1 = 3), c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
"DPcat",23,2,3,15625,63,"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,      1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6,      3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6,      3)[, 1:5], c1 = 3), c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
"DPcat",24,2,3,18750,65,"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,      1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6,      3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], SCA_MS(7, 3)[,      1:6], c1 = 3), c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
"DPcat",25,2,3,22500,67,"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,      1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6,      3)[, 1:5], productCA(SCA_MS(7, 3)[, 1:6], SCA_MS(7, 3)[,      1:6], c1 = 3), c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
"DPcat",26,2,4,25,34,"productCA(SCA_LCDST(6, 4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], c1 = 4)"
"DPcat",27,2,4,35,36,"productCA(SCA_LCDST(6, 4)[, 1:5], miscCA(2, 7, 4), c1 = 4)"
"DPcat",28,2,4,49,38,"productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2)"
"DPcat",29,2,4,56,40,"productCA(miscCA(2, 7, 4), miscCA(2, 8, 4), c1 = 2)"
"DPcat",30,2,4,64,42,"productCA(miscCA(2, 8, 4), miscCA(2, 8, 4), c1 = 2)"
"DPcat",31,2,4,77,43,"productCA(miscCA(2, 7, 4), miscCA(2, 11, 4), c1 = 2)"
"DPcat",32,2,4,88,45,"productCA(miscCA(2, 8, 4), miscCA(2, 11, 4), c1 = 2)"
"DPcat",33,2,4,100,46,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5],      SCA_LCDST(6, 4)[, 1:5], c1 = 4), c1 = 4)"
"DPcat",34,2,4,140,48,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5],      miscCA(2, 7, 4), c1 = 4), c1 = 4)"
"DPcat",35,2,4,196,50,"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,      7, 4), c1 = 2), c1 = 4)"
"DPcat",36,2,4,224,52,"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,      8, 4), c1 = 2), c1 = 4)"
"DPcat",37,2,4,245,53,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(miscCA(2, 7, 4),      miscCA(2, 7, 4), c1 = 2), c1 = 4)"
"DPcat",38,2,4,256,54,"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2,      8, 4), c1 = 2), c1 = 4)"
"DPcat",39,2,4,308,55,"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,      11, 4), c1 = 2), c1 = 4)"
"DPcat",40,2,4,343,56,"productCA(miscCA(2, 7, 4), productCA(miscCA(2, 7, 4), miscCA(2,      7, 4), c1 = 2), c1 = 2)"
"DPcat",41,2,4,352,57,"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2,      11, 4), c1 = 2), c1 = 4)"
"DPcat",42,2,4,400,58,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,      4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], c1 = 4), c1 = 4), c1 = 4)"
"DPcat",43,2,4,560,60,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,      4)[, 1:5], miscCA(2, 7, 4), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",44,2,4,784,62,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      7, 4), miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 4)"
"DPcat",45,2,4,896,64,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      7, 4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4)"
"DPcat",46,2,4,980,65,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(SCA_Bose(4)[, 1:4],      productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2), c1 = 4),      c1 = 4)"
"DPcat",47,2,4,1024,66,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      8, 4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4)"
"DPcat",48,2,4,1232,67,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      7, 4), miscCA(2, 11, 4), c1 = 2), c1 = 4), c1 = 4)"
"DPcat",49,2,4,1372,68,"productCA(miscCA(2, 7, 4), productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      7, 4), miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 2)"
"DPcat",50,2,4,1408,69,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,      8, 4), miscCA(2, 11, 4), c1 = 2), c1 = 4), c1 = 4)"
"DPcat",51,2,4,1600,70,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_LCDST(6, 4)[, 1:5], SCA_LCDST(6, 4)[,      1:5], c1 = 4), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",52,2,4,1715,71,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(miscCA(2, 7, 4),      productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2), c1 = 2),      c1 = 4)"
"DPcat",53,2,4,2240,72,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_LCDST(6, 4)[, 1:5], miscCA(2, 7, 4),      c1 = 4), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",54,2,4,3136,74,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 4)"
"DPcat",55,2,4,3584,76,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 7, 4), miscCA(2, 8, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 4)"
"DPcat",56,2,4,3920,77,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(SCA_Bose(4)[, 1:4],      productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4),          miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",57,2,4,4096,78,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 8, 4), miscCA(2, 8, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 4)"
"DPcat",58,2,4,4928,79,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 7, 4), miscCA(2, 11, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 4)"
"DPcat",59,2,4,5488,80,"productCA(miscCA(2, 7, 4), productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 2)"
"DPcat",60,2,4,5632,81,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(miscCA(2, 8, 4), miscCA(2, 11, 4), c1 = 2),      c1 = 4), c1 = 4), c1 = 4)"
"DPcat",61,2,4,6400,82,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,      4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], c1 = 4), c1 = 4), c1 = 4),      c1 = 4), c1 = 4)"
"DPcat",62,2,4,6860,83,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(miscCA(2, 7, 4),      productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4),          miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 2), c1 = 4)"
