"call","N","k","v_min","v_max","nNA","status"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,     1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], SCA_MS(7, 3)[, 1:6],     c1 = 3), c1 = 3), c1 = 3), 3)",55,3750,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,     1:5], SCA_MS(7, 3)[, 1:6], c1 = 3), c1 = 3), 3)",45,750,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], SCA_MS(7, 3)[, 1:6], c1 = 3), 3)",35,150,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], SCA_MS(7, 3)[, 1:6], 3)",25,30,3,3,0,"ok"
"SCA_MS(7, 3)",15,7,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,     1:5], productCA(SCA_MS(7, 3)[, 1:6], SCA_MS(7, 3)[, 1:6],     c1 = 3), c1 = 3), c1 = 3), 3)",57,4500,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(SCA_MS(7, 3)[, 1:6],     SCA_MS(7, 3)[, 1:6], c1 = 3), c1 = 3), 3)",47,900,3,3,0,"ok"
"productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(SCA_MS(7, 3)[, 1:6], SCA_MS(7, 3)[, 1:6], c1 = 3), 3)",37,180,3,3,0,"ok"
"productCA(SCA_MS(7, 3)[, 1:6], SCA_MS(7, 3)[, 1:6], 3)",27,36,3,3,0,"ok"
"SCA_LCDST(6, 4)",19,6,4,4,0,"ok"
"miscCA(2, 7, 4)",21,7,4,4,0,"ok"
"miscCA(2, 8, 4)",23,8,4,4,0,"ok"
"miscCA(2, 11, 4)",26,11,4,4,0,"ok"
"SCA_Bose(4)",16,5,4,4,0,"ok"
"productCA(SCA_LCDST(6, 4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], 4)",34,25,4,4,0,"ok"
"productCA(SCA_LCDST(6, 4)[, 1:5], miscCA(2, 7, 4), 4)",36,35,4,4,0,"ok"
"productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), 2)",38,49,4,4,0,"ok"
"productCA(miscCA(2, 7, 4), miscCA(2, 8, 4), 2)",40,56,4,4,0,"ok"
