"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,12,366,169174519,"Martirosyan-TVT","plain",169174519,"ARITHMETIC"
"Martirosyan-TVT",6,12,451,206804391,"Martirosyan-TVT variant","variant",206804391,"ARITHMETIC"
"Martirosyan-TVT",6,12,453,207089269,"Martirosyan-TVT variant","variant",207089269,"ARITHMETIC"
"Martirosyan-TVT",6,12,455,209083415,"Martirosyan-TVT variant","variant",209083415,"ARITHMETIC"
"Martirosyan-TVT",6,12,459,209368293,"Martirosyan-TVT variant","variant",209368293,"ARITHMETIC"
"Martirosyan-TVT",6,12,470,211932195,"Martirosyan-TVT","plain",211932195,"ARITHMETIC"
"Martirosyan-TVT",6,12,471,212089707,"Martirosyan-TVT variant","variant",212089707,"ARITHMETIC"
"Martirosyan-TVT",6,12,474,212247795,"Martirosyan-TVT","plain",212247795,"ARITHMETIC"
"Martirosyan-TVT",6,12,483,213107555,"Martirosyan-TVT variant","variant",213107555,"ARITHMETIC"
"Martirosyan-TVT",6,12,484,213392433,"Martirosyan-TVT","plain",213392433,"ARITHMETIC"
"Martirosyan-TVT",5,14,22,2933390,"Martirosyan-TVT","plain",2933390,"ARITHMETIC"
"Martirosyan-TVT",5,14,23,3070224,"Martirosyan-TVT variant","variant",3070224,"ARITHMETIC"
"Martirosyan-TVT",5,14,1038,27238232,"Martirosyan-TVT","plain",27238232,"ARITHMETIC"
"Martirosyan-TVT",5,14,1055,27288152,"Martirosyan-TVT variant","variant",27288152,"ARITHMETIC"
"Martirosyan-TVT",5,14,1123,27312904,"Martirosyan-TVT variant","variant",27312904,"ARITHMETIC"
"Martirosyan-TVT",5,14,1125,27337656,"Martirosyan-TVT variant","variant",27337656,"ARITHMETIC"
"Martirosyan-TVT",5,14,1141,27411912,"Martirosyan-TVT variant","variant",27411912,"ARITHMETIC"
"Martirosyan-TVT",5,14,1157,27535672,"Martirosyan-TVT variant","variant",27535672,"ARITHMETIC"
"Martirosyan-TVT",5,14,1163,27609928,"Martirosyan-TVT variant","variant",27609928,"ARITHMETIC"
"Martirosyan-TVT",5,14,1164,27634680,"Martirosyan-TVT","plain",27634680,"ARITHMETIC"
