"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,20,1013,6319484399,"Martirosyan-TVT variant","variant",6319484399,"ARITHMETIC"
"Martirosyan-TVT",6,20,1018,6322193335,"Martirosyan-TVT","plain",6322193335,"ARITHMETIC"
"Martirosyan-TVT",6,20,1019,6322728045,"Martirosyan-TVT variant","variant",6322728045,"ARITHMETIC"
"Martirosyan-TVT",6,20,1025,6323263239,"Martirosyan-TVT variant","variant",6323263239,"ARITHMETIC"
"Martirosyan-TVT",6,20,1033,6325970321,"Martirosyan-TVT variant","variant",6325970321,"ARITHMETIC"
"Martirosyan-TVT",6,20,1037,6328677403,"Martirosyan-TVT variant","variant",6328677403,"ARITHMETIC"
"Martirosyan-TVT",6,20,1039,6331384485,"Martirosyan-TVT variant","variant",6331384485,"ARITHMETIC"
"Martirosyan-TVT",6,20,1041,6334091567,"Martirosyan-TVT variant","variant",6334091567,"ARITHMETIC"
"Martirosyan-TVT",6,20,1057,6363869469,"Martirosyan-TVT variant","variant",6363869469,"ARITHMETIC"
"Martirosyan-TVT",6,20,1058,6366576551,"Martirosyan-TVT","plain",6366576551,"ARITHMETIC"
"Martirosyan-TVT",6,20,1059,6397601350,"Martirosyan-TVT variant","variant",6397601350,"ARITHMETIC"
"Martirosyan-TVT",6,20,1060,6428625910,"Martirosyan-TVT","plain",6428625910,"ARITHMETIC"
"Martirosyan-TVT",6,20,1062,6942971490,"Martirosyan-TVT","plain",6942971490,"ARITHMETIC"
"Martirosyan-TVT",6,20,1064,7127856690,"Martirosyan-TVT","plain",7127856690,"ARITHMETIC"
"Martirosyan-TVT",6,20,1066,7271344690,"Martirosyan-TVT","plain",7271344690,"ARITHMETIC"
"Martirosyan-TVT",6,20,1067,7428576078,"Martirosyan-TVT variant","variant",7428576078,"ARITHMETIC"
"Martirosyan-TVT",6,20,1068,7431348890,"Martirosyan-TVT","plain",7431348890,"ARITHMETIC"
"Martirosyan-TVT",6,20,1070,7431525585,"Martirosyan-TVT","plain",7431525585,"ARITHMETIC"
"Martirosyan-TVT",6,20,1072,7501089488,"Martirosyan-TVT","plain",7501089488,"ARITHMETIC"
"Martirosyan-TVT",6,20,1104,7680760238,"Martirosyan-TVT","plain",7680760238,"ARITHMETIC"
"Martirosyan-TVT",6,20,1105,7691806343,"Martirosyan-TVT variant","variant",7691806343,"ARITHMETIC"
"Martirosyan-TVT",6,20,1106,7711241018,"Martirosyan-TVT","plain",7711241018,"ARITHMETIC"
"Martirosyan-TVT",5,21,860,118954103,"Martirosyan-TVT","plain",118954103,"ARITHMETIC"
"Martirosyan-TVT",5,21,865,119233921,"Martirosyan-TVT variant","variant",119233921,"ARITHMETIC"
"Martirosyan-TVT",5,21,961,119282535,"Martirosyan-TVT variant","variant",119282535,"ARITHMETIC"
"Martirosyan-TVT",5,21,986,119331149,"Martirosyan-TVT","plain",119331149,"ARITHMETIC"
"Martirosyan-TVT",5,21,1018,119610967,"Martirosyan-TVT","plain",119610967,"ARITHMETIC"
"Martirosyan-TVT",5,21,1019,119632505,"Martirosyan-TVT variant","variant",119632505,"ARITHMETIC"
"Martirosyan-TVT",5,21,1057,119654043,"Martirosyan-TVT variant","variant",119654043,"ARITHMETIC"
"Martirosyan-TVT",5,21,1058,119702701,"Martirosyan-TVT","plain",119702701,"ARITHMETIC"
"Martirosyan-TVT",5,21,1104,120187441,"Martirosyan-TVT","plain",120187441,"ARITHMETIC"
"Martirosyan-TVT",5,21,1105,120421221,"Martirosyan-TVT variant","variant",120421221,"ARITHMETIC"
"Martirosyan-TVT",5,21,1106,120469879,"Martirosyan-TVT","plain",120469879,"ARITHMETIC"
"Martirosyan-TVT",5,21,1107,127227007,"Martirosyan-TVT variant","variant",127227007,"ARITHMETIC"
"Martirosyan-TVT",6,21,860,6505382358,"Martirosyan-TVT","plain",6505382358,"ARITHMETIC"
"Martirosyan-TVT",6,21,865,6510978718,"Martirosyan-TVT variant","variant",6510978718,"ARITHMETIC"
"Martirosyan-TVT",6,21,961,6513703060,"Martirosyan-TVT variant","variant",6513703060,"ARITHMETIC"
"Martirosyan-TVT",6,21,986,6516427402,"Martirosyan-TVT","plain",6516427402,"ARITHMETIC"
"Martirosyan-TVT",6,21,1018,6522023762,"Martirosyan-TVT","plain",6522023762,"ARITHMETIC"
"Martirosyan-TVT",6,21,1019,6522558516,"Martirosyan-TVT variant","variant",6522558516,"ARITHMETIC"
"Martirosyan-TVT",6,21,1057,6523093754,"Martirosyan-TVT variant","variant",6523093754,"ARITHMETIC"
"Martirosyan-TVT",6,21,1058,6525818096,"Martirosyan-TVT","plain",6525818096,"ARITHMETIC"
"Martirosyan-TVT",6,21,1059,6549570625,"Martirosyan-TVT variant","variant",6549570625,"ARITHMETIC"
"Martirosyan-TVT",6,21,1060,6573322885,"Martirosyan-TVT","plain",6573322885,"ARITHMETIC"
"Martirosyan-TVT",6,21,1062,7145434705,"Martirosyan-TVT","plain",7145434705,"ARITHMETIC"
"Martirosyan-TVT",6,21,1064,7360016485,"Martirosyan-TVT","plain",7360016485,"ARITHMETIC"
"Martirosyan-TVT",6,21,1066,7541532085,"Martirosyan-TVT","plain",7541532085,"ARITHMETIC"
"Martirosyan-TVT",5,22,860,121876002,"Martirosyan-TVT","plain",121876002,"ARITHMETIC"
"Martirosyan-TVT",5,22,986,122155820,"Martirosyan-TVT","plain",122155820,"ARITHMETIC"
"Martirosyan-TVT",5,22,1009,122435638,"Martirosyan-TVT variant","variant",122435638,"ARITHMETIC"
"Martirosyan-TVT",5,22,1018,122484256,"Martirosyan-TVT","plain",122484256,"ARITHMETIC"
"Martirosyan-TVT",5,22,1019,122506476,"Martirosyan-TVT variant","variant",122506476,"ARITHMETIC"
"Martirosyan-TVT",5,22,1058,122528696,"Martirosyan-TVT","plain",122528696,"ARITHMETIC"
"Martirosyan-TVT",5,22,1104,123037673,"Martirosyan-TVT","plain",123037673,"ARITHMETIC"
"Martirosyan-TVT",5,22,1106,123283142,"Martirosyan-TVT","plain",123283142,"ARITHMETIC"
"Martirosyan-TVT",6,22,986,6642753597,"Martirosyan-TVT","plain",6642753597,"ARITHMETIC"
"Martirosyan-TVT",6,22,1009,6648629775,"Martirosyan-TVT variant","variant",6648629775,"ARITHMETIC"
"Martirosyan-TVT",6,22,1018,6651354121,"Martirosyan-TVT","plain",6651354121,"ARITHMETIC"
"Martirosyan-TVT",6,22,1019,6651888919,"Martirosyan-TVT variant","variant",6651888919,"ARITHMETIC"
"Martirosyan-TVT",6,22,1058,6652424201,"Martirosyan-TVT","plain",6652424201,"ARITHMETIC"
"Martirosyan-TVT",6,22,1059,6676903870,"Martirosyan-TVT variant","variant",6676903870,"ARITHMETIC"
"Martirosyan-TVT",6,22,1060,6701383240,"Martirosyan-TVT","plain",6701383240,"ARITHMETIC"
"Martirosyan-TVT",6,22,1062,7330707166,"Martirosyan-TVT","plain",7330707166,"ARITHMETIC"
"Martirosyan-TVT",6,22,1064,7578007450,"Martirosyan-TVT","plain",7578007450,"ARITHMETIC"
"Martirosyan-TVT",5,23,860,124506429,"Martirosyan-TVT","plain",124506429,"ARITHMETIC"
"Martirosyan-TVT",5,23,986,124786247,"Martirosyan-TVT","plain",124786247,"ARITHMETIC"
"Martirosyan-TVT",5,23,1018,125066065,"Martirosyan-TVT","plain",125066065,"ARITHMETIC"
"Martirosyan-TVT",5,23,1019,125088835,"Martirosyan-TVT variant","variant",125088835,"ARITHMETIC"
"Martirosyan-TVT",5,23,1058,125111605,"Martirosyan-TVT","plain",125111605,"ARITHMETIC"
"Martirosyan-TVT",5,23,1106,125901977,"Martirosyan-TVT","plain",125901977,"ARITHMETIC"
"Martirosyan-TVT",6,23,986,6758182644,"Martirosyan-TVT","plain",6758182644,"ARITHMETIC"
"Martirosyan-TVT",6,23,1018,6764338640,"Martirosyan-TVT","plain",6764338640,"ARITHMETIC"
"Martirosyan-TVT",6,23,1019,6764873482,"Martirosyan-TVT variant","variant",6764873482,"ARITHMETIC"
"Martirosyan-TVT",6,23,1058,6765408808,"Martirosyan-TVT","plain",6765408808,"ARITHMETIC"
"Martirosyan-TVT",6,23,1059,6802592547,"Martirosyan-TVT variant","variant",6802592547,"ARITHMETIC"
"Martirosyan-TVT",6,23,1060,6839775957,"Martirosyan-TVT","plain",6839775957,"ARITHMETIC"
"Martirosyan-TVT",6,23,1062,7529036507,"Martirosyan-TVT","plain",7529036507,"ARITHMETIC"
"Martirosyan-TVT",5,24,772,177092768,"Martirosyan-TVT","plain",177092768,"ARITHMETIC"
"Martirosyan-TVT",5,24,782,177107768,"Martirosyan-TVT","plain",177107768,"ARITHMETIC"
"Martirosyan-TVT",5,24,812,177108368,"Martirosyan-TVT","plain",177108368,"ARITHMETIC"
"Martirosyan-TVT",5,24,895,185702168,"Martirosyan-TVT variant","variant",185702168,"ARITHMETIC"
"Martirosyan-TVT",5,24,966,185764614,"Martirosyan-TVT","plain",185764614,"ARITHMETIC"
"Martirosyan-TVT",5,24,1136,186155214,"Martirosyan-TVT","plain",186155214,"ARITHMETIC"
"Martirosyan-TVT",5,24,1151,186545814,"Martirosyan-TVT variant","variant",186545814,"ARITHMETIC"
"Martirosyan-TVT",5,24,1206,186608260,"Martirosyan-TVT","plain",186608260,"ARITHMETIC"
"Martirosyan-TVT",5,24,1207,186637012,"Martirosyan-TVT variant","variant",186637012,"ARITHMETIC"
"Martirosyan-TVT",5,24,1250,186665764,"Martirosyan-TVT","plain",186665764,"ARITHMETIC"
"Martirosyan-TVT",5,24,1272,187382122,"Martirosyan-TVT","plain",187382122,"ARITHMETIC"
"Martirosyan-TVT",5,24,1300,187757122,"Martirosyan-TVT","plain",187757122,"ARITHMETIC"
"Martirosyan-TVT",5,24,1302,188103364,"Martirosyan-TVT","plain",188103364,"ARITHMETIC"
"Martirosyan-TVT",6,24,1136,10997481343,"Martirosyan-TVT","plain",10997481343,"ARITHMETIC"
"Martirosyan-TVT",6,24,1151,11006465143,"Martirosyan-TVT variant","variant",11006465143,"ARITHMETIC"
"Martirosyan-TVT",6,24,1206,11010276389,"Martirosyan-TVT","plain",11010276389,"ARITHMETIC"
"Martirosyan-TVT",6,24,1207,11011025741,"Martirosyan-TVT variant","variant",11011025741,"ARITHMETIC"
"Martirosyan-TVT",6,24,1250,11011775669,"Martirosyan-TVT","plain",11011775669,"ARITHMETIC"
"Martirosyan-TVT",6,24,1251,11049088906,"Martirosyan-TVT variant","variant",11049088906,"ARITHMETIC"
"Martirosyan-TVT",6,24,1252,11086401814,"Martirosyan-TVT","plain",11086401814,"ARITHMETIC"
"Martirosyan-TVT",6,24,1254,12138305710,"Martirosyan-TVT","plain",12138305710,"ARITHMETIC"
"Martirosyan-TVT",6,24,1256,12552265966,"Martirosyan-TVT","plain",12552265966,"ARITHMETIC"
"Martirosyan-TVT",5,25,772,180814275,"Martirosyan-TVT","plain",180814275,"ARITHMETIC"
"Martirosyan-TVT",5,25,782,180829275,"Martirosyan-TVT","plain",180829275,"ARITHMETIC"
"Martirosyan-TVT",5,25,812,180829875,"Martirosyan-TVT","plain",180829875,"ARITHMETIC"
"Martirosyan-TVT",5,25,966,189423675,"Martirosyan-TVT","plain",189423675,"ARITHMETIC"
"Martirosyan-TVT",5,25,1136,189814275,"Martirosyan-TVT","plain",189814275,"ARITHMETIC"
"Martirosyan-TVT",5,25,1206,190204875,"Martirosyan-TVT","plain",190204875,"ARITHMETIC"
"Martirosyan-TVT",5,25,1207,190234275,"Martirosyan-TVT variant","variant",190234275,"ARITHMETIC"
"Martirosyan-TVT",5,25,1250,190263675,"Martirosyan-TVT","plain",190263675,"ARITHMETIC"
"Martirosyan-TVT",5,25,1272,191372475,"Martirosyan-TVT","plain",191372475,"ARITHMETIC"
"Martirosyan-TVT",5,25,1302,191747475,"Martirosyan-TVT","plain",191747475,"ARITHMETIC"
"Martirosyan-TVT",6,25,1136,11171904100,"Martirosyan-TVT","plain",11171904100,"ARITHMETIC"
"Martirosyan-TVT",6,25,1206,11181278500,"Martirosyan-TVT","plain",11181278500,"ARITHMETIC"
"Martirosyan-TVT",6,25,1207,11182027900,"Martirosyan-TVT variant","variant",11182027900,"ARITHMETIC"
"Martirosyan-TVT",6,25,1250,11182777876,"Martirosyan-TVT","plain",11182777876,"ARITHMETIC"
"Martirosyan-TVT",6,25,1251,11239373235,"Martirosyan-TVT variant","variant",11239373235,"ARITHMETIC"
"Martirosyan-TVT",6,25,1252,11295968235,"Martirosyan-TVT","plain",11295968235,"ARITHMETIC"
"Martirosyan-TVT",6,25,1254,12439343235,"Martirosyan-TVT","plain",12439343235,"ARITHMETIC"
