"t","v","k","N","Source","e","q","M","Mct","N_ctlaw","res","k_pred"
5,6,7106,879067,"Power CZ3-23.13-22.4-21.4",3,23,21,21,956881,-77814,NA
5,6,7138,879150,"Power CZ3-23.12-22.6-21.3",3,23,21,21,957024,-77874,NA
5,6,7177,879293,"Power CZ3-23.11-22.8-21.2",3,23,21,21,957167,-77874,NA
5,6,7224,879485,"Power CZ3-23.10-22.10-21.1",3,23,21,21,957310,-77825,NA
5,6,7282,879677,"Power CZ3-23.9-22.12",3,23,21,21,957453,-77776,NA
5,6,7308,880244,"Power CZ3-23.14-22.6-18.1",3,23,21,21,958022,-77778,NA
5,6,7394,880430,"Power CZ3-23.15-22.1-21.5",3,23,21,21,958082,-77652,NA
5,6,7417,880465,"Power CZ3-23.14-22.3-21.4",3,23,21,21,958225,-77760,NA
5,6,7444,880524,"Power CZ3-23.13-22.5-21.3",3,23,21,21,958368,-77844,NA
5,6,7477,880637,"Power CZ3-23.12-22.7-21.2",3,23,21,21,958511,-77874,NA
5,6,7518,880829,"Power CZ3-23.11-22.9-21.1",3,23,21,21,958654,-77825,NA
5,6,7568,881021,"Power CZ3-23.10-22.11",3,23,21,21,958797,-77776,NA
5,6,7581,881549,"Power CZ3-23.18-19.1-19.1-21.1",3,23,21,21,959098,-77549,7581
5,6,7632,881618,"Power CZ3-23.15-22.5-18.1",3,23,21,21,959366,-77748,NA
5,6,7726,881828,"Power CZ3-23.16-22.0-21.5",3,23,21,21,959426,-77598,NA
5,6,7746,881863,"Power CZ3-23.15-22.2-21.4",3,23,21,21,959569,-77706,NA
5,6,7770,881898,"Power CZ3-23.14-22.4-21.3",3,23,21,21,959712,-77814,NA
5,6,7798,881981,"Power CZ3-23.13-22.6-21.2",3,23,21,21,959855,-77874,NA
5,6,7833,882173,"Power CZ3-23.12-22.8-21.1",3,23,21,21,959998,-77825,NA
5,6,7876,882365,"Power CZ3-23.11-22.10",3,23,21,21,960141,-77776,NA
5,6,7938,882824,"Power CZ3-23.18-18.1-21.1-21.1",3,23,21,21,960424,-77600,7938
5,6,7974,882992,"Power CZ3-23.16-22.4-18.1",3,23,21,21,960710,-77718,NA
5,6,7980,883057,"Power CZ3-23.18-19.1-20.1-21.1",3,23,21,21,960606,-77549,7980
5,6,8000,883127,"Power CZ3-23.18-20.1-20.1-20.1",3,23,21,21,960627,-77500,8000
5,6,8093,883261,"Power CZ3-23.16-22.1-21.4",3,23,21,21,960913,-77652,NA
5,6,8114,883296,"Power CZ3-23.15-22.3-21.3",3,23,21,21,961056,-77760,NA
5,6,8139,883355,"Power CZ3-23.14-22.5-21.2",3,23,21,21,961199,-77844,NA
5,6,8169,883517,"Power CZ3-23.13-22.7-21.1",3,23,21,21,961342,-77825,NA
5,6,8206,883709,"Power CZ3-23.12-22.9",3,23,21,21,961485,-77776,NA
5,6,8211,884016,"Power CZ3-23.19-17.1-21.1",3,23,21,21,961572,-77556,8211
5,6,8228,884100,"Power CZ3-23.18-22.2-17.1",3,23,21,21,961715,-77615,8228
5,6,8280,884266,"Power CZ3-23.19-18.1-20.1",3,23,21,21,961768,-77502,8280
5,6,8316,884306,"Power CZ3-23.18-18.1-21.1-22.1",3,23,21,21,961911,-77605,8316
5,6,8334,884390,"Power CZ3-23.17-22.3-18.1",3,23,21,21,962054,-77664,NA
5,6,8379,884495,"Power CZ3-23.18-19.1-21.1-21.1",3,23,21,21,962093,-77598,8379
5,6,8400,884565,"Power CZ3-23.18-20.1-20.1-21.1",3,23,21,21,962114,-77549,8400
5,6,8459,884659,"Power CZ3-23.17-22.0-21.4",3,23,21,21,962257,-77598,NA
5,6,8478,884694,"Power CZ3-23.16-22.2-21.3",3,23,21,21,962400,-77706,NA
5,6,8500,884729,"Power CZ3-23.15-22.4-21.2",3,23,21,21,962543,-77814,NA
5,6,8526,884861,"Power CZ3-23.14-22.6-21.1",3,23,21,21,962686,-77825,NA
5,6,8558,885053,"Power CZ3-23.13-22.8",3,23,21,21,962829,-77776,NA
5,6,8602,885498,"Power CZ3-23.19-17.1-22.1",3,23,21,21,963059,-77561,8602
5,6,8694,885704,"Power CZ3-23.19-18.1-21.1",3,23,21,21,963255,-77551,8694
5,6,8712,885788,"Power CZ3-23.18-22.2-18.1",3,23,21,21,963398,-77610,8712
5,6,8740,885937,"Power CZ3-23.19-19.1-20.1",3,23,21,21,963437,-77500,8740
5,6,8778,885977,"Power CZ3-23.18-19.1-21.1-22.1",3,23,21,21,963580,-77603,8778
5,6,8820,886003,"Power CZ3-23.18-20.1-21.1-21.1",3,23,21,21,963601,-77598,8820
5,6,8861,886092,"Power CZ3-23.17-22.1-21.3",3,23,21,21,963744,-77652,NA
5,6,8881,886127,"Power CZ3-23.16-22.3-21.2",3,23,21,21,963887,-77760,NA
5,6,8904,886235,"Power CZ3-23.15-22.5-21.1",3,23,21,21,964030,-77795,NA
5,6,8932,886397,"Power CZ3-23.14-22.7",3,23,21,21,964173,-77776,NA
5,6,8993,886896,"Power CZ3-23.20-17.1",3,23,21,21,964403,-77507,8993
5,6,9108,887186,"Power CZ3-23.19-18.1-22.1",3,23,21,21,964742,-77556,9108
5,6,9177,887375,"Power CZ3-23.19-19.1-21.1",3,23,21,21,964924,-77549,9177
5,6,9200,887445,"Power CZ3-23.19-20.1-20.1",3,23,21,21,964945,-77500,9200
5,6,9240,887485,"Power CZ3-23.18-20.1-21.1-22.1",3,23,21,21,965088,-77603,9240
5,6,9261,887490,"Power CZ3-23.18-22.0-21.3",3,23,21,21,965088,-77598,9261
5,6,9282,887525,"Power CZ3-23.17-22.2-21.2",3,23,21,21,965231,-77706,NA
5,6,9303,887609,"Power CZ3-23.16-22.4-21.1",3,23,21,21,965374,-77765,NA
5,6,9328,887741,"Power CZ3-23.15-22.6",3,23,21,21,965517,-77776,NA
5,6,9522,888584,"Power CZ3-23.20-18.1",3,23,21,21,966086,-77502,9522
5,6,9614,888857,"Power CZ3-23.19-19.1-22.1",3,23,21,21,966411,-77554,9614
5,6,9660,888883,"Power CZ3-23.19-20.1-21.1",3,23,21,21,966432,-77549,9660
5,6,9702,888923,"Power CZ3-23.18-22.1-21.2",3,23,21,21,966575,-77652,9702
5,6,9723,889007,"Power CZ3-23.17-22.3-21.1",3,23,21,21,966718,-77711,NA
5,6,9746,889115,"Power CZ3-23.16-22.5",3,23,21,21,966861,-77746,NA
5,6,10000,890255,"Power CZ3-23.20-19.1",3,23,21,21,967755,-77500,10051
