"t","v","k","N","Source","arith_family","N_new","delta","via","tier"
3,14,24,6279,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling",6202,-77,"(3,12,14)->3381","ARITHMETIC"
5,14,23,3070224,"Martirosyan-TVT variant","Martirosyan-TVT",3053515,-16709,"(3,12,14)->3381","ARITHMETIC"
