"t","k","v","N_snapshot","N_built","verified","size_ok","note"
6,49,2,592,592,TRUE,TRUE,"EXECUTED"
5,102,2,202,202,TRUE,TRUE,"EXECUTED"
4,268,2,161,161,TRUE,TRUE,"EXECUTED"
4,5,24,331776,331776,TRUE,TRUE,"EXECUTED"
3,26,24,15623,15623,TRUE,TRUE,"EXECUTED"
5,103,2,206,206,TRUE,TRUE,"EXECUTED"
4,272,2,162,162,TRUE,TRUE,"EXECUTED"
6,50,2,599,599,TRUE,TRUE,"EXECUTED"
5,104,2,208,208,TRUE,TRUE,"EXECUTED"
3,26,25,15625,15625,TRUE,TRUE,"EXECUTED"
3,1936,2,67,67,TRUE,TRUE,"EXECUTED"
6,51,2,605,605,TRUE,TRUE,"EXECUTED"
4,289,2,165,165,TRUE,TRUE,"EXECUTED"
5,108,2,214,214,TRUE,TRUE,"EXECUTED"
6,52,2,612,612,TRUE,TRUE,"EXECUTED"
4,14,13,28561,28561,TRUE,TRUE,"EXECUTED"
4,296,2,167,167,TRUE,TRUE,"EXECUTED"
5,110,2,218,218,TRUE,TRUE,"EXECUTED"
5,10,9,59049,59049,TRUE,TRUE,"EXECUTED"
6,53,2,615,615,TRUE,TRUE,"EXECUTED"
3,40,19,13357,13357,TRUE,TRUE,"EXECUTED"
3,194,8,1552,1552,TRUE,TRUE,"EXECUTED"
3,28,25,19679,19679,TRUE,TRUE,"EXECUTED"
6,54,2,623,623,TRUE,TRUE,"EXECUTED"
5,114,2,225,225,TRUE,TRUE,"EXECUTED"
2,9729,9,297,297,TRUE,TRUE,"EXECUTED"
6,55,2,628,628,TRUE,TRUE,"EXECUTED"
4,324,2,168,168,TRUE,TRUE,"EXECUTED"
6,56,2,634,634,TRUE,TRUE,"EXECUTED"
6,57,2,640,640,TRUE,TRUE,"EXECUTED"
5,122,2,241,241,TRUE,TRUE,"EXECUTED"
6,58,2,644,644,TRUE,TRUE,"EXECUTED"
3,2662,2,68,68,TRUE,TRUE,"EXECUTED"
5,6,14,537824,537824,TRUE,TRUE,"EXECUTED"
6,59,2,651,651,TRUE,TRUE,"EXECUTED"
3,2816,2,70,70,TRUE,TRUE,"EXECUTED"
6,60,2,660,660,TRUE,TRUE,"EXECUTED"
2,4880,16,736,736,TRUE,TRUE,"EXECUTED"
3,242,8,1936,1936,TRUE,TRUE,"EXECUTED"
6,61,2,666,666,TRUE,TRUE,"EXECUTED"
4,108,4,1786,1786,TRUE,TRUE,"EXECUTED"
6,62,2,672,672,TRUE,TRUE,"EXECUTED"
6,63,2,677,677,TRUE,TRUE,"EXECUTED"
5,38,4,6139,6139,TRUE,TRUE,"EXECUTED"
6,64,2,680,680,TRUE,TRUE,"EXECUTED"
5,138,2,271,271,TRUE,TRUE,"EXECUTED"
5,6,15,759375,759375,TRUE,TRUE,"EXECUTED"
6,65,2,685,685,TRUE,TRUE,"EXECUTED"
5,140,2,273,273,TRUE,TRUE,"EXECUTED"
6,66,2,688,688,TRUE,TRUE,"EXECUTED"
2,5797,17,833,833,TRUE,TRUE,"EXECUTED"
5,143,2,288,288,TRUE,TRUE,"EXECUTED"
6,67,2,695,695,TRUE,TRUE,"EXECUTED"
6,21,4,20476,20476,TRUE,TRUE,"EXECUTED"
6,68,2,699,699,TRUE,TRUE,"EXECUTED"
3,48,23,23805,23805,TRUE,TRUE,"EXECUTED"
6,69,2,705,705,TRUE,TRUE,"EXECUTED"
5,150,2,289,289,TRUE,TRUE,"EXECUTED"
3,3872,2,71,71,TRUE,TRUE,"EXECUTED"
4,224,3,669,669,TRUE,TRUE,"EXECUTED"
6,9,8,262144,262144,TRUE,TRUE,"EXECUTED"
5,152,2,292,292,TRUE,TRUE,"EXECUTED"
6,70,2,709,709,TRUE,TRUE,"EXECUTED"
4,230,3,687,687,TRUE,TRUE,"EXECUTED"
6,71,2,714,714,TRUE,TRUE,"EXECUTED"
5,155,2,303,303,TRUE,TRUE,"EXECUTED"
6,7,10,1e+06,1000000,TRUE,TRUE,"EXECUTED"
5,158,2,304,304,TRUE,TRUE,"EXECUTED"
4,17,15,65534,65534,TRUE,TRUE,"EXECUTED"
3,52,24,29929,29929,TRUE,TRUE,"EXECUTED"
5,164,2,310,310,TRUE,TRUE,"EXECUTED"
4,17,16,65536,65536,TRUE,TRUE,"EXECUTED"
3,52,25,30625,30625,TRUE,TRUE,"EXECUTED"
5,168,2,318,318,TRUE,TRUE,"EXECUTED"
2,20000,11,451,451,TRUE,TRUE,"EXECUTED"
5,170,2,322,322,TRUE,TRUE,"EXECUTED"
2,7961,19,1045,1045,TRUE,TRUE,"EXECUTED"
2,8000,19,1079,1078,TRUE,TRUE,"EXECUTED"
5,174,2,327,327,TRUE,TRUE,"EXECUTED"
3,5324,2,72,72,TRUE,TRUE,"EXECUTED"
4,64,7,9601,9601,TRUE,TRUE,"EXECUTED"
4,272,3,813,813,TRUE,TRUE,"EXECUTED"
5,50,4,7162,7162,TRUE,TRUE,"EXECUTED"
5,180,2,332,332,TRUE,TRUE,"EXECUTED"
4,278,3,831,831,TRUE,TRUE,"EXECUTED"
4,18,16,83519,83519,TRUE,TRUE,"EXECUTED"
5,12,11,161051,161051,TRUE,TRUE,"EXECUTED"
4,18,17,83521,83521,TRUE,TRUE,"EXECUTED"
5,22,7,50419,50419,TRUE,TRUE,"EXECUTED"
5,192,2,346,346,TRUE,TRUE,"EXECUTED"
6,26,4,24571,24571,TRUE,TRUE,"EXECUTED"
5,194,2,357,357,TRUE,TRUE,"EXECUTED"
3,362,10,3610,3610,TRUE,TRUE,"EXECUTED"
3,6655,2,74,74,TRUE,TRUE,"EXECUTED"
3,7744,2,75,75,TRUE,TRUE,"EXECUTED"
4,20,17,130317,130317,TRUE,TRUE,"EXECUTED"
6,10,9,531441,531441,TRUE,TRUE,"EXECUTED"
3,398,11,4378,4378,TRUE,TRUE,"EXECUTED"
4,20,18,130319,130319,TRUE,TRUE,"EXECUTED"
4,74,8,16381,16381,TRUE,TRUE,"EXECUTED"
4,20,19,130321,130321,TRUE,TRUE,"EXECUTED"
3,10000,2,76,76,TRUE,TRUE,"EXECUTED"
3,522,10,5210,5210,TRUE,TRUE,"EXECUTED"
4,184,5,4369,4369,TRUE,TRUE,"EXECUTED"
3,841,8,2556,2556,TRUE,TRUE,"EXECUTED"
6,33,4,28666,28666,TRUE,TRUE,"EXECUTED"
5,24,8,98302,98302,TRUE,TRUE,"EXECUTED"
4,51,11,43921,43921,TRUE,TRUE,"EXECUTED"
3,572,10,5710,5710,TRUE,TRUE,"EXECUTED"
2,17576,25,1871,1870,TRUE,TRUE,"EXECUTED"
4,117,7,12001,12001,TRUE,TRUE,"EXECUTED"
5,14,13,371293,371293,TRUE,TRUE,"EXECUTED"
5,34,7,67225,67225,TRUE,TRUE,"EXECUTED"
4,87,9,26241,26241,TRUE,TRUE,"EXECUTED"
3,2702,5,993,993,TRUE,TRUE,"EXECUTED"
6,14,8,524287,524287,TRUE,TRUE,"EXECUTED"
3,3969,4,631,631,TRUE,TRUE,"EXECUTED"
3,602,12,7224,7224,TRUE,TRUE,"EXECUTED"
3,614,12,7356,7356,TRUE,TRUE,"EXECUTED"
5,359,2,359,359,TRUE,TRUE,"EXECUTED"
2,20000,3,43,43,TRUE,TRUE,"EXECUTED"
2,20000,7,217,217,TRUE,TRUE,"EXECUTED"
4,24,21,279837,279837,TRUE,TRUE,"EXECUTED"
5,26,9,177145,177145,TRUE,TRUE,"EXECUTED"
4,24,22,279839,279839,TRUE,TRUE,"EXECUTED"
2,20000,13,637,637,TRUE,TRUE,"EXECUTED"
2,13777,23,1541,1541,TRUE,TRUE,"EXECUTED"
6,18,7,352945,352945,TRUE,TRUE,"EXECUTED"
4,24,23,279841,279841,TRUE,TRUE,"EXECUTED"
3,710,12,8520,8520,TRUE,TRUE,"EXECUTED"
5,6,18,1889568,1889568,TRUE,TRUE,"EXECUTED"
5,6,20,3200000,3200000,TRUE,TRUE,"EXECUTED"
6,7,12,2985984,2985984,TRUE,TRUE,"EXECUTED"
5,6,21,4084101,4084101,TRUE,TRUE,"EXECUTED"
5,6,22,5153632,5153632,TRUE,TRUE,"EXECUTED"
5,6,24,7962624,7962624,TRUE,TRUE,"EXECUTED"
6,7,14,7529536,7529536,TRUE,TRUE,"EXECUTED"
6,7,15,11390625,11390625,TRUE,TRUE,"EXECUTED"
6,12,10,1771559,1771559,TRUE,TRUE,"EXECUTED"
6,12,11,1771561,1771561,TRUE,TRUE,"EXECUTED"
5,17,14,1048572,1048572,TRUE,TRUE,"EXECUTED"
5,17,15,1048574,1048574,TRUE,TRUE,"EXECUTED"
5,18,14,1419851,1419851,TRUE,TRUE,"EXECUTED"
5,17,16,1048576,1048576,TRUE,TRUE,"EXECUTED"
6,7,18,34012224,34012224,TRUE,TRUE,"EXECUTED"
5,18,15,1419853,1419853,TRUE,TRUE,"EXECUTED"
5,18,16,1419855,1419855,TRUE,TRUE,"EXECUTED"
5,43,9,236193,236193,TRUE,TRUE,"EXECUTED"
5,18,17,1419857,1419857,TRUE,TRUE,"EXECUTED"
6,7,20,6.4e+07,64000000,TRUE,TRUE,"EXECUTED"
6,14,12,4826807,4826807,TRUE,TRUE,"EXECUTED"
6,7,21,85766121,85766121,TRUE,TRUE,"EXECUTED"
5,20,17,2476095,2476095,TRUE,TRUE,"EXECUTED"
6,14,13,4826809,4826809,TRUE,TRUE,"EXECUTED"
5,20,18,2476097,2476097,TRUE,TRUE,"EXECUTED"
5,20,19,2476099,2476099,TRUE,TRUE,"EXECUTED"
5,24,18,6436333,6436333,TRUE,TRUE,"EXECUTED"
5,24,19,6436335,6436335,TRUE,TRUE,"EXECUTED"
5,24,20,6436337,6436337,TRUE,TRUE,"EXECUTED"
5,24,21,6436339,6436339,TRUE,TRUE,"EXECUTED"
6,17,14,16777212,16777212,TRUE,TRUE,"EXECUTED"
6,17,15,16777214,16777214,TRUE,TRUE,"EXECUTED"
6,26,23,244140621,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,20,387420475,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,26,24,244140623,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,21,387420477,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,26,25,244140625,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,22,387420479,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,23,387420481,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,24,387420483,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,28,25,387420485,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,30,24,594823311,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,30,25,594823313,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,7,22,113379904,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,7,24,191102976,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,20,9765615,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,21,9765617,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,22,9765619,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,18,14,24137563,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,17,16,16777216,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,23,9765621,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,20,14348893,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,18,15,24137565,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,24,9765623,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,21,14348895,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,26,25,9765625,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,22,14348897,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,18,16,24137567,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,23,14348899,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,18,17,24137569,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,24,14348901,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,28,25,14348903,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,20,15,47045873,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,30,24,20511139,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,30,25,20511141,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,20,16,47045875,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,20,17,47045877,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,32,24,28629137,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
5,32,25,28629139,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,20,18,47045879,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,20,19,47045881,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
4,495,17,417601,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
4,587,19,651601,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
4,871,16,393211,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,24,20,148035883,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,24,21,148035885,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,24,22,148035887,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,24,23,148035889,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,26,20,244140615,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,26,21,244140617,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
6,26,22,244140619,NA,NA,NA,"ERR: TOO_LARGE_FOR_THIS_MACHINE"
2,20000,16,976,NA,NA,NA,"ERR: TIMEOUT_KILLED"
2,20000,17,1105,NA,NA,NA,"ERR: TIMEOUT_KILLED"
2,20000,19,1387,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,50,4,36856,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,52,7,84031,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,61,4,40951,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,60,8,163836,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,78,7,100837,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,77,4,45046,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,34,7,588241,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,70,9,295241,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,51,11,644201,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,118,7,117643,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,95,8,196603,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,107,4,53236,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,49,7,705889,NA,NA,NA,"ERR: TIMEOUT_KILLED"
4,107,23,839521,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,24,22,6436341,6436341,TRUE,TRUE,"EXECUTED"
5,24,23,6436343,6436343,TRUE,TRUE,"EXECUTED"
4,203,17,334081,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,115,9,354289,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,188,7,134449,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,89,11,805251,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,156,8,229370,NA,NA,NA,"ERR: TIMEOUT_KILLED"
4,233,19,521281,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,67,7,823537,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,277,7,151255,NA,NA,NA,"ERR: TIMEOUT_KILLED"
4,451,16,327676,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,187,9,413337,NA,NA,NA,"ERR: TIMEOUT_KILLED"
4,712,13,171361,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,246,8,262137,NA,NA,NA,"ERR: TIMEOUT_KILLED"
4,1017,11,102481,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,93,7,941185,NA,NA,NA,"ERR: TIMEOUT_KILLED"
5,159,11,966301,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,5832,2,5321,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,6156,2,5346,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,6498,2,5371,NA,NA,NA,"ERR: TIMEOUT_KILLED"
6,6859,2,5396,NA,NA,NA,"ERR: TIMEOUT_KILLED"
