"t","v","k","N","Source","status","engine_class"
5,8,4422,1695015,"Power N-CT67^2T1","GAP","UNRESOLVED"
5,8,4489,1695519,"Power N-CT67^2","GAP","UNRESOLVED"
5,8,4818,1727719,"Power N-CT73^2T7","GAP","UNRESOLVED"
5,8,4891,1728223,"Power N-CT73^2T6","GAP","UNRESOLVED"
5,8,5330,1732311,"Power N-CT73^2+1","GAP","UNRESOLVED"
5,8,5340,1736651,"Power N-CT89^2T29","GAP","UNRESOLVED"
5,8,5476,1757399,"Power N-CT79^2T5T5","GAP","UNRESOLVED"
5,8,5494,1760423,"Power N-CT83^2T16T1","GAP","UNRESOLVED"
5,8,5512,1760479,"Power N-CT83^2Arc(9)T9","GAP","UNRESOLVED"
5,8,5874,1760703,"Power N-CT89^2T23","GAP","UNRESOLVED"
5,8,5963,1761207,"Power N-CT89^2T22","GAP","UNRESOLVED"
5,8,5995,1764007,"Power N-CT83^2Arc(2)T9","GAP","UNRESOLVED"
5,8,6030,1764063,"Power N-CT83^2Arc(9)T2","GAP","UNRESOLVED"
5,8,6068,1764511,"Power N-CT83^2T9T1","GAP","UNRESOLVED"
5,8,6244,1764567,"Power N-CT79^2+3","GAP","UNRESOLVED"
5,8,6253,1765071,"Power N-CT83^2Arc(8)","GAP","UNRESOLVED"
5,8,6586,1765295,"Power N-CT89^2T15","GAP","UNRESOLVED"
5,8,6643,1767591,"Power N-CT83^2Arc(3)","GAP","UNRESOLVED"
5,8,6724,1768095,"Power N-CT83^2T1T1","GAP","UNRESOLVED"
5,8,6806,1768599,"Power N-CT83^2T1","GAP","UNRESOLVED"
5,8,7298,1768879,"Power N-CT89^2T7","GAP","UNRESOLVED"
5,8,7387,1769383,"Power N-CT89^2T6","GAP","UNRESOLVED"
5,8,7927,1769418,"perfect hash family9,7927,95","GAP","UNRESOLVED"
5,8,7935,1818516,"perfect hash family9,8536,96S7","GAP","UNRESOLVED"
5,8,8018,1843065,"perfect hash family9,8536,96S6","GAP","UNRESOLVED"
5,8,8102,1867614,"perfect hash family9,8536,96S5","GAP","UNRESOLVED"
5,8,8187,1892163,"perfect hash family9,8536,96S4","GAP","UNRESOLVED"
5,8,8839,1916712,"Power N-CT97^2Trin2,2,2","GAP","UNRESOLVED"
5,8,9025,1941261,"Power N-CT97^2T2T2","GAP","UNRESOLVED"
5,8,9215,1965810,"Power N-CT97^2T2","GAP","UNRESOLVED"
5,8,9219,1990338,"Power N-CT101^2Trin2,2,6","GAP","UNRESOLVED"
5,8,9411,1990359,"Power N-CT97^2+2","GAP","UNRESOLVED"
5,8,10000,1998514,"perfect hash family9,11449,107T12","NOIMPL","UNRESOLVED"
6,8,9,262144,"orthogonal array","MATCH","RESOLVED"
6,8,10,450372,"orthogonal array fuse postop NCK","GAP","UNRESOLVED"
6,8,12,491520,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,13,520192,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,14,524287,"CPHF IPO 2 (WCS)","MATCH","RESOLVED"
6,8,17,753656,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,18,782328,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,19,786430,"CPHF IPO 3 (WCS)","MATCH","RESOLVED"
6,8,22,983032,"5,5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,23,1015792,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,25,1044464,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,26,1048496,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,27,1048573,"CPHF IPO 4 (WCS)","GAP","LEAF"
6,8,29,1245168,"5,5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,31,1277928,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,32,1306600,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,33,1310632,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,39,1310716,"CPHF IPO 5 (WCS)","GAP","LEAF"
6,8,42,1540064,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,45,1568736,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,46,1572320,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,47,1572768,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,54,1572859,"CPHF IPO 6 (WCS)","GAP","LEAF"
6,8,58,1802200,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,61,1830872,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,65,1834456,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,72,1835002,"CPHF IPO 7 (WCS)","GAP","LEAF"
6,8,77,2031576,"5,5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,83,2064336,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,88,2093008,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,91,2096592,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,94,2097040,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,102,2260952,"5,5,5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,109,2293712,"5,5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,118,2326472,"5-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,127,2355144,"4-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,128,2358728,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,130,2359176,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
6,8,180,2621368,"SCPHF Random Extension (CLS)","GAP","LEAF"
6,8,181,2621431,"CPHF Random Extension (CLS)","GAP","LEAF"
6,8,237,2883504,"SCPHF Random Extension (CLS)","GAP","LEAF"
6,8,238,4259480,"Add 1 factors","GAP","UNRESOLVED"
6,8,239,5126808,"Add 2 factors","GAP","UNRESOLVED"
6,8,240,5739672,"Add 3 factors","GAP","UNRESOLVED"
6,8,241,5969048,"Add 4 factors","GAP","UNRESOLVED"
6,8,242,6194840,"Add 8 factors","GAP","UNRESOLVED"
6,8,245,6198424,"Add 8 factors","GAP","UNRESOLVED"
6,8,246,7574400,"Add 8 factors","GAP","UNRESOLVED"
6,8,247,8441728,"Add 8 factors","GAP","UNRESOLVED"
6,8,248,9054592,"Add 8 factors","GAP","UNRESOLVED"
6,8,249,9283968,"Add 8 factors","GAP","UNRESOLVED"
6,8,250,9509760,"Add 8 factors","GAP","UNRESOLVED"
6,8,251,9513344,"Add 8 factors","GAP","UNRESOLVED"
6,8,253,9552768,"Add 8 factors","GAP","UNRESOLVED"
6,8,283,10485468,"perfect hash family4,283,180","GAP","UNRESOLVED"
6,8,284,10485657,"perfect hash family4,285,181T1","GAP","UNRESOLVED"
6,8,285,10485720,"perfect hash family4,285,181","GAP","UNRESOLVED"
6,8,318,11271876,"perfect hash family4,375,237T57","GAP","UNRESOLVED"
6,8,319,11271939,"perfect hash family4,375,237T56","GAP","UNRESOLVED"
6,8,375,11534012,"perfect hash family4,375,237","GAP","UNRESOLVED"
6,8,395,13106835,"perfect hash family5,395,180","GAP","UNRESOLVED"
6,8,397,13106898,"perfect hash family5,405,181S4","GAP","UNRESOLVED"
6,8,399,13106961,"perfect hash family5,405,181S3","GAP","UNRESOLVED"
6,8,401,13107024,"perfect hash family5,405,181S2","GAP","UNRESOLVED"
6,8,403,13107087,"perfect hash family5,405,181T1","GAP","UNRESOLVED"
6,8,405,13107150,"perfect hash family5,405,181","GAP","UNRESOLVED"
6,8,429,14155379,"perfect hash family5,515,223T43","GAP","UNRESOLVED"
6,8,431,14155442,"perfect hash family5,515,223T42","GAP","UNRESOLVED"
6,8,540,14417515,"perfect hash family5,540,237","GAP","UNRESOLVED"
6,8,541,15728580,"perfect hash family6,541,181","GAP","UNRESOLVED"
6,8,542,15793491,"perfect hash family5,550,238S4","GAP","UNRESOLVED"
6,8,550,16649976,"Power CT25^2T3","GAP","UNRESOLVED"
6,8,575,16682736,"Power CT25^2T2","GAP","UNRESOLVED"
6,8,625,16711408,"Power CT25^2","GAP","UNRESOLVED"
6,8,626,16772889,"Power CT27^2Arc(2)T2","GAP","UNRESOLVED"
6,8,650,16772966,"Power CT27^2T2T1","GAP","UNRESOLVED"
6,8,675,16773043,"Power CT27^2T2","GAP","UNRESOLVED"
6,8,676,16776998,"Power CT27^2T1T1","GAP","UNRESOLVED"
6,8,702,16777075,"Power CT27^2T1","GAP","UNRESOLVED"
6,8,729,16777152,"Power CT27^2","GAP","UNRESOLVED"
6,8,781,18350010,"perfect hash family14,1107,40S14","GAP","UNRESOLVED"
6,8,783,18480910,"Power N-CT29^2T2","GAP","UNRESOLVED"
6,8,801,18579358,"perfect hash family14,1107,40S13","GAP","UNRESOLVED"
6,8,841,18677505,"Power N-CT29^2","GAP","UNRESOLVED"
6,8,842,19038054,"perfect hash family14,1107,40S11","GAP","UNRESOLVED"
6,8,899,19136145,"Power N-CT31^2T2","GAP","UNRESOLVED"
6,8,961,19168905,"Power N-CT31^2","GAP","UNRESOLVED"
6,8,962,19398505,"Power N-CT37^2T11","GAP","UNRESOLVED"
6,8,999,19398582,"Power N-CT37^2T10","GAP","UNRESOLVED"
6,8,1073,19595177,"Power N-CT37^2T8","GAP","UNRESOLVED"
6,8,1147,19627937,"Power N-CT37^2T6","GAP","UNRESOLVED"
6,8,1184,19656609,"Power N-CT37^2T5","GAP","UNRESOLVED"
6,8,1221,19660641,"Power N-CT37^2T4","GAP","UNRESOLVED"
6,8,1371,19660725,"Power N-CT37^2+2","GAP","UNRESOLVED"
6,8,1447,20872838,"Power N-CT41^2Trin2,2,2","GAP","UNRESOLVED"
6,8,1521,21102186,"Power N-CT41^2T2T2","GAP","UNRESOLVED"
6,8,1599,21331534,"Power N-CT41^2T2","GAP","UNRESOLVED"
6,8,1682,21560882,"Power N-CT41^2+1","GAP","UNRESOLVED"
6,8,1718,21752206,"Power N-CT47^2Trin1,2,8","GAP","UNRESOLVED"
6,8,1755,21752654,"Power N-CT47^2T8T2","GAP","UNRESOLVED"
6,8,1756,21755790,"Power N-CT47^2Arc(2)T8","GAP","UNRESOLVED"
6,8,1794,21756238,"Power N-CT47^2T8T1","GAP","UNRESOLVED"
6,8,1833,21756686,"Power N-CT47^2T8","GAP","UNRESOLVED"
6,8,2067,21757869,"Power N-CT53^2T14","GAP","UNRESOLVED"
6,8,2226,21987217,"Power N-CT53^2T11","GAP","UNRESOLVED"
6,8,2385,22015889,"Power N-CT53^2T8","GAP","UNRESOLVED"
6,8,2438,22019473,"Power N-CT53^2T7","GAP","UNRESOLVED"
6,8,2491,22019921,"Power N-CT53^2T6","GAP","UNRESOLVED"
6,8,2810,22020012,"Power N-CT53^2+1","GAP","UNRESOLVED"
6,8,2851,23592331,"Power N-CT73^2T27S12","GAP","UNRESOLVED"
6,8,2912,23592779,"Power N-CT73^2T26S12","GAP","UNRESOLVED"
6,8,3345,23592870,"Power N-CT73^2T19S12","GAP","UNRESOLVED"
6,8,3391,23789444,"Power N-CT73^2T19S11","GAP","UNRESOLVED"
6,8,3594,23822211,"Power N-CT73^2T15S12","GAP","UNRESOLVED"
6,8,3779,23850883,"Power N-CT73^2T12S12","GAP","UNRESOLVED"
6,8,4026,23854467,"Power N-CT73^2T8S12","GAP","UNRESOLVED"
6,8,4458,23855013,"Power N-CT73^2Arc(13)","GAP","UNRESOLVED"
6,8,4519,24051587,"Power N-CT73^2Arc(12)","GAP","UNRESOLVED"
6,8,4581,24248161,"Power N-CT73^2Arc(11)","GAP","UNRESOLVED"
6,8,4644,24444735,"Power N-CT73^2Arc(10)","GAP","UNRESOLVED"
6,8,4708,24641309,"Power N-CT73^2Arc(9)","GAP","UNRESOLVED"
6,8,4773,24837883,"Power N-CT73^2Arc(8)","GAP","UNRESOLVED"
6,8,4839,25034457,"Power N-CT73^2Arc(7)","GAP","UNRESOLVED"
6,8,4906,25231031,"Power N-CT73^2Arc(6)","GAP","UNRESOLVED"
6,8,4974,25427605,"Power N-CT73^2Arc(5)","GAP","UNRESOLVED"
6,8,5043,25624179,"Power N-CT73^2Arc(4)","GAP","UNRESOLVED"
6,8,5113,25820753,"Power N-CT73^2Arc(3)","GAP","UNRESOLVED"
6,8,5184,26017327,"Power N-CT73^2T1T1","GAP","UNRESOLVED"
6,8,5256,26213901,"Power N-CT73^2T1","GAP","UNRESOLVED"
6,8,5333,26410475,"perfect hash family13,5333,77","GAP","UNRESOLVED"
6,8,5404,26541501,"Power N-CT79^2Trin2,2,7","GAP","UNRESOLVED"
6,8,5544,26574261,"Power N-CT79^2T7T2","GAP","UNRESOLVED"
6,8,5976,26607021,"Power N-CT83^2T11","GAP","UNRESOLVED"
6,8,6391,26803595,"Power N-CT83^2T6","GAP","UNRESOLVED"
6,8,6889,26836355,"Power N-CT83^2","NOIMPL","UNRESOLVED"
6,8,6904,27201923,"Power N-CT89^2Arc(6)T6","NOIMPL","UNRESOLVED"
6,8,6982,27205507,"Power N-CT89^2Arc(5)T6","NOIMPL","UNRESOLVED"
6,8,7061,27209091,"Power N-CT89^2Arc(4)T6","NOIMPL","UNRESOLVED"
6,8,7141,27212675,"Power N-CT89^2Arc(3)T6","NOIMPL","UNRESOLVED"
6,8,7222,27216259,"Power N-CT89^2Arc(2)T6","NOIMPL","UNRESOLVED"
6,8,7304,27219843,"Power N-CT89^2T6T1","NOIMPL","UNRESOLVED"
6,8,7387,27223427,"Power N-CT89^2T6","NOIMPL","UNRESOLVED"
6,8,7402,27234179,"Power N-CT89^2Arc(6)","NOIMPL","UNRESOLVED"
6,8,7486,27237763,"Power N-CT89^2Arc(5)","NOIMPL","UNRESOLVED"
6,8,7571,27241347,"Power N-CT89^2Arc(4)","NOIMPL","UNRESOLVED"
6,8,7657,27244931,"Power N-CT89^2Arc(3)","NOIMPL","UNRESOLVED"
6,8,7744,27248515,"Power N-CT89^2T1T1","NOIMPL","UNRESOLVED"
6,8,7832,27252099,"Power N-CT89^2T1","NOIMPL","UNRESOLVED"
6,8,7923,27255683,"Power N-CT89^2+2","NOIMPL","UNRESOLVED"
6,8,7926,27261507,"perfect hash family13,7926,94","NOIMPL","UNRESOLVED"
6,8,8017,28896595,"Power N-CT97^2Trin3,3,9","NOIMPL","UNRESOLVED"
6,8,8026,28899731,"Power N-CT97^2Trin3,6,6","NOIMPL","UNRESOLVED"
6,8,8290,28900179,"Power N-CT97^2Trin3,3,6","NOIMPL","UNRESOLVED"
6,8,8563,28900627,"Power N-CT97^2Trin3,3,3","NOIMPL","UNRESOLVED"
6,8,8836,29064539,"Power N-CT97^2T3T3","NOIMPL","UNRESOLVED"
6,8,8888,29224419,"Power N-CT101^2T13","NOIMPL","UNRESOLVED"
6,8,9191,29228003,"Power N-CT101^2T10","NOIMPL","UNRESOLVED"
6,8,9494,29228451,"Power N-CT101^2T7","NOIMPL","UNRESOLVED"
6,8,10000,29392363,"Power N-CT101^2","NOIMPL","UNRESOLVED"
2,9,10,81,"orthogonal array","MATCH","RESOLVED"
2,9,11,102,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,13,105,"Fix 1 symbols (Meagher-Stevens)","MATCH","RESOLVED"
2,9,14,112,"projection (C) postop NCK","GAP","UNRESOLVED"
2,9,16,118,"Fix 2 symbols (LCDST) postop NCK","GAP","UNRESOLVED"
2,9,17,125,"Fix 2 symbols (LCDST) postop NCK","GAP","UNRESOLVED"
2,9,22,126,"Brick by Brick (TATA)","GAP","UNRESOLVED"
2,9,23,142,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,25,144,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,26,145,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,28,146,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,29,147,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,30,148,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,31,152,"simulated annealing (Torres-Jimenez)","GAP","LEAF"
2,9,99,153,"PCAx2PCA","MATCH","RESOLVED"
2,9,100,160,"Direct product","MATCH","RESOLVED"
2,9,108,170,"Direct product","GAP","UNRESOLVED"
2,9,110,174,"Direct product","GAP","UNRESOLVED"
2,9,129,177,"PCAx2PCA","GAP","UNRESOLVED"
2,9,130,182,"PCAx2PCA","GAP","UNRESOLVED"
2,9,140,184,"Direct product","GAP","UNRESOLVED"
2,9,156,190,"PCAx2PCA","GAP","UNRESOLVED"
2,9,158,194,"PCAx2PCA","GAP","UNRESOLVED"
2,9,159,195,"PCAx2PCA","GAP","UNRESOLVED"
2,9,160,196,"Direct product","GAP","UNRESOLVED"
2,9,164,197,"PCAx2PCA","GAP","UNRESOLVED"
2,9,200,198,"PCAx2PCA","GAP","UNRESOLVED"
2,9,220,205,"Direct product","GAP","UNRESOLVED"
2,9,227,214,"PCAx2PCA","GAP","UNRESOLVED"
2,9,228,215,"PCAx2PCA","GAP","UNRESOLVED"
2,9,250,216,"Direct product","GAP","UNRESOLVED"
2,9,260,217,"Direct product","GAP","UNRESOLVED"
2,9,278,218,"PCAx2PCA","GAP","UNRESOLVED"
2,9,288,219,"PCAx2PCA","GAP","UNRESOLVED"
2,9,297,220,"PCAx2PCA","GAP","UNRESOLVED"
2,9,300,223,"Direct product","GAP","UNRESOLVED"
2,9,307,224,"PCAx2PCA","GAP","UNRESOLVED"
2,9,981,225,"PCAx2PCA","MATCH","RESOLVED"
2,9,990,232,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1000,238,"Direct product","GAP","UNRESOLVED"
2,9,1092,242,"Direct product","GAP","UNRESOLVED"
2,9,1278,249,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1287,254,"Direct product","GAP","UNRESOLVED"
2,9,1300,255,"Direct product","GAP","UNRESOLVED"
2,9,1386,256,"Direct product","GAP","UNRESOLVED"
2,9,1400,258,"Direct product","GAP","UNRESOLVED"
2,9,1548,262,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1566,266,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1575,267,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1584,268,"PCAx2PCA","GAP","UNRESOLVED"
2,9,1629,269,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2002,270,"PCAxPCA","GAP","UNRESOLVED"
2,9,2178,277,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2200,283,"Direct product","GAP","UNRESOLVED"
2,9,2250,286,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2376,287,"Direct product","GAP","UNRESOLVED"
2,9,2475,288,"Direct product","GAP","UNRESOLVED"
2,9,2574,289,"Direct product","GAP","UNRESOLVED"
2,9,2754,290,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2853,291,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2943,292,"PCAx2PCA","GAP","UNRESOLVED"
2,9,2970,295,"Direct product","GAP","UNRESOLVED"
2,9,3042,296,"PCAx2PCA","GAP","UNRESOLVED"
2,9,9729,297,"PCAx2PCA","MATCH","RESOLVED"
2,9,9810,304,"PCAx2PCA","GAP","UNRESOLVED"
2,9,9900,310,"PCAx2PCA","GAP","UNRESOLVED"
2,9,10831,314,"PCAx2PCA","GAP","UNRESOLVED"
2,9,12681,321,"PCAx2PCA","GAP","UNRESOLVED"
2,9,12753,326,"Direct product","GAP","UNRESOLVED"
2,9,12870,327,"Direct product","GAP","UNRESOLVED"
2,9,13734,328,"Direct product","GAP","UNRESOLVED"
2,9,13860,330,"Direct product","GAP","UNRESOLVED"
2,9,15372,334,"PCAx2PCA","GAP","UNRESOLVED"
2,9,15534,338,"PCAxPCA","GAP","UNRESOLVED"
2,9,15615,339,"PCAxPCA","GAP","UNRESOLVED"
2,9,15696,340,"PCAx2PCA","GAP","UNRESOLVED"
2,9,16191,341,"PCAx2PCA","GAP","UNRESOLVED"
2,9,19962,342,"PCAxPCA","GAP","UNRESOLVED"
2,9,20000,349,"PCAx2PCA","GAP","UNRESOLVED"
3,9,10,729,"orthogonal array","MATCH","RESOLVED"
3,9,11,1175,"orthogonal array fuse fuse postop NCK","MATCH","RESOLVED"
3,9,12,1195,"orthogonal array fuse fuse postop NCK","MATCH","RESOLVED"
3,9,20,1377,"Chateauneuf-Kreher doubling","MATCH","RESOLVED"
3,9,75,1449,"SCPHF LFSR (TJ-IM)","GAP","LEAF"
3,9,91,1457,"Raaphorst-Moura-Stevens","GAP","UNRESOLVED"
3,9,92,2105,"Add a factor","GAP","UNRESOLVED"
3,9,134,2169,"SCPHF Conditional Expectation (CLS)","GAP","LEAF"
3,9,140,2185,"CPHF Sim Annealing (TJ-IM)","GAP","LEAF"
3,9,162,2673,"Path-Restricted SCPHF RE (CLS)","GAP","LEAF"
3,9,182,2681,"Chateauneuf-Kreher doubling","GAP","UNRESOLVED"
3,9,253,2745,"Path-Restricted SCPHF RE (CLS)","GAP","LEAF"
3,9,292,2817,"Path-Restricted SCPHF RE (CLS)","GAP","LEAF"
3,9,364,2889,"SCPHF Conditional Expectation (CLS)","GAP","LEAF"
3,9,366,2905,"Restricted CPHF Ext  4( 0, 2) WCS","GAP","LEAF"
3,9,374,2913,"Restricted CPHF Ext  4( 0, 0) WCS","GAP","LEAF"
3,9,675,3321,"Colbourn-Martirosyan-TVT-Walker","GAP","UNRESOLVED"
3,9,676,3328,"Cohen-Colbourn-Ling","GAP","UNRESOLVED"
3,9,819,3329,"Colbourn-Martirosyan-TVT-Walker","GAP","UNRESOLVED"
3,9,820,3336,"Cohen-Colbourn-Ling","GAP","UNRESOLVED"
3,9,843,3537,"Restricted CPHF Ext  5( 1, 5) WCS","GAP","LEAF"
3,9,852,3545,"Restricted CPHF Ext  5( 1, 4) WCS","GAP","LEAF"
3,9,853,3553,"Restricted CPHF Ext  5( 1, 3) WCS","GAP","LEAF"
3,9,864,3561,"Restricted CPHF Ext  5( 1, 2) WCS","GAP","LEAF"
3,9,1063,3609,"Restricted CPHF Ext  5( 0, 5) WCS","GAP","LEAF"
3,9,1086,3617,"Restricted CPHF Ext  5( 0, 4) WCS","GAP","LEAF"
3,9,1102,3625,"Restricted CPHF Ext  5( 0, 3) WCS","GAP","LEAF"
3,9,1107,3633,"Restricted CPHF Ext  5( 0, 2) WCS","GAP","LEAF"
3,9,1138,3641,"Restricted CPHF Ext  5( 0, 0) WCS","GAP","LEAF"
3,9,1380,4041,"Restricted CPHF Ext  6( 4, 6) WCS","GAP","LEAF"
3,9,1389,4049,"Restricted CPHF Ext  6( 4, 5) WCS","GAP","LEAF"
3,9,1718,4113,"Restricted CPHF Ext  6( 3, 6) WCS","GAP","LEAF"
3,9,1739,4121,"Restricted CPHF Ext  6( 3, 5) WCS","GAP","LEAF"
3,9,1761,4129,"Restricted CPHF Ext  6( 3, 4) WCS","GAP","LEAF"
3,9,2083,4185,"Restricted CPHF Ext  6( 2, 6) WCS","GAP","LEAF"
3,9,2098,4193,"Restricted CPHF Ext  6( 2, 5) WCS","GAP","LEAF"
3,9,2126,4201,"Restricted CPHF Ext  6( 2, 4) WCS","GAP","LEAF"
3,9,2148,4209,"Restricted CPHF Ext  6( 2, 3) WCS","GAP","LEAF"
3,9,2436,4257,"Restricted CPHF Ext  6( 1, 6) WCS","GAP","LEAF"
3,9,2446,4265,"Restricted CPHF Ext  6( 1, 5) WCS","GAP","LEAF"
3,9,2467,4273,"Restricted CPHF Ext  6( 1, 4) WCS","GAP","LEAF"
3,9,2510,4281,"Restricted CPHF Ext  6( 1, 3) WCS","GAP","LEAF"
3,9,2527,4289,"Restricted CPHF Ext  6( 1, 2) WCS","GAP","LEAF"
3,9,3249,4329,"Restricted CPHF Ext  6( 0, 6) WCS","GAP","LEAF"
3,9,3279,4337,"Restricted CPHF Ext  6( 0, 5) WCS","GAP","LEAF"
3,9,3314,4345,"Restricted CPHF Ext  6( 0, 4) WCS","GAP","LEAF"
3,9,3344,4353,"Restricted CPHF Ext  6( 0, 3) WCS","GAP","LEAF"
3,9,3364,4361,"Restricted CPHF Ext  6( 0, 2) WCS","GAP","LEAF"
3,9,3430,4369,"CPHF IPO 6 (WCS)","MATCH","RESOLVED"
3,9,3906,4761,"Restricted CPHF Ext  7( 4, 7) WCS","GAP","LEAF"
3,9,4047,4769,"Restricted CPHF Ext  7( 4, 6) WCS","GAP","LEAF"
3,9,4161,4777,"Restricted CPHF Ext  7( 4, 5) WCS","GAP","LEAF"
3,9,4831,4833,"Restricted CPHF Ext  7( 3, 7) WCS","GAP","LEAF"
3,9,4843,4841,"Restricted CPHF Ext  7( 3, 6) WCS","GAP","LEAF"
3,9,4954,4849,"Restricted CPHF Ext  7( 3, 5) WCS","GAP","LEAF"
3,9,5042,4857,"Restricted CPHF Ext  7( 3, 4) WCS","GAP","LEAF"
3,9,5891,4905,"Restricted CPHF Ext  7( 2, 7) WCS","GAP","LEAF"
3,9,6004,4913,"Restricted CPHF Ext  7( 2, 6) WCS","GAP","LEAF"
3,9,6014,4921,"Restricted CPHF Ext  7( 2, 5) WCS","GAP","LEAF"
3,9,6063,4929,"Restricted CPHF Ext  7( 2, 4) WCS","GAP","LEAF"
3,9,6115,4937,"Restricted CPHF Ext  7( 2, 3) WCS","GAP","LEAF"
3,9,6608,4977,"Restricted CPHF Ext  7( 1, 7) WCS","GAP","LEAF"
3,9,6717,4985,"Restricted CPHF Ext  7( 1, 6) WCS","GAP","LEAF"
3,9,6847,4993,"Restricted CPHF Ext  7( 1, 5) WCS","GAP","LEAF"
3,9,6903,5001,"Restricted CPHF Ext  7( 1, 4) WCS","GAP","LEAF"
3,9,7034,5009,"Restricted CPHF Ext  7( 1, 3) WCS","GAP","LEAF"
3,9,7134,5017,"Restricted CPHF Ext  7( 1, 2) WCS","GAP","LEAF"
3,9,8473,5049,"Restricted CPHF Ext  7( 0, 7) WCS","GAP","LEAF"
3,9,8653,5057,"Restricted CPHF Ext  7( 0, 6) WCS","GAP","LEAF"
3,9,8849,5065,"Restricted CPHF Ext  7( 0, 5) WCS","GAP","LEAF"
3,9,8950,5073,"Restricted CPHF Ext  7( 0, 4) WCS","GAP","LEAF"
3,9,9109,5081,"Restricted CPHF Ext  7( 0, 3) WCS","GAP","LEAF"
3,9,9283,5089,"Restricted CPHF Ext  7( 0, 2) WCS","GAP","LEAF"
3,9,10000,5097,"CPHF IPO 7 (WCS)","MATCH","RESOLVED"
4,9,10,6561,"orthogonal array","MATCH","RESOLVED"
4,9,11,12312,"extended OA (Colbourn)","GAP","UNRESOLVED"
4,9,17,12393,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,21,13041,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,22,13113,"SCPHF Random Extension (CLS)","GAP","LEAF"
4,9,37,18945,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,41,19593,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,43,19665,"SCPHF Random Extension (CLS)","GAP","LEAF"
4,9,60,24777,"3,3-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,66,25425,"3,2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,70,25497,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,75,26073,"2,2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,76,26145,"2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,78,26217,"SCPHF Random Extension (CLS)","GAP","LEAF"
4,9,87,26241,"CPHF IPO 4 (WCS)","MATCH","RESOLVED"
4,9,114,31329,"3,3-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,119,31977,"3,2-Restricted SCPHF RE (CL)","GAP","LEAF"
4,9,133,32049,"3-Restricted SCPHF RE (CL)","GAP","LEAF"
