"t","v","k","N","Source","status","engine_class"
4,2,38,66,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
4,2,67,67,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
4,2,71,71,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
4,2,72,78,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,79,79,"Derive from strength 5","MATCH","RESOLVED"
4,2,83,83,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
4,2,89,87,"Cyclotomy (Colbourn) postop NCK","MATCH","RESOLVED"
4,2,90,92,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,97,94,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,101,98,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,107,102,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,109,105,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,111,106,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,113,107,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,114,109,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,120,110,"Power CZ2-12.4-10.1","MATCH","RESOLVED"
4,2,144,112,"Power CT12^2,c","MATCH","RESOLVED"
4,2,145,119,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,146,122,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,149,125,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,151,126,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,155,127,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,157,128,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,160,129,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,165,130,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,169,131,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,172,134,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,173,135,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,179,142,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,189,143,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,192,144,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,196,145,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,208,154,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,213,156,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,217,157,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,222,158,"SBSTT (TJ-AG)","BETTER","BETTER"
4,2,256,160,"Power CZ2-16.5","MATCH","RESOLVED"
4,2,268,161,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,272,162,"Power CZ2-17.4-16.1","MATCH","RESOLVED"
4,2,289,165,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,296,167,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,324,168,"SBSTT (TJ-AG)","MATCH","RESOLVED"
4,2,338,173,"Torres-Jimenez","GAP","UNRESOLVED"
4,2,354,174,"Torres-Jimenez","GAP","UNRESOLVED"
4,2,405,176,"Power CZ3-9.8-5.1","GAP","UNRESOLVED"
4,2,486,180,"Power CZ3-9.8-6.1","GAP","UNRESOLVED"
4,2,729,184,"Power CZ3-9.9","GAP","UNRESOLVED"
4,2,792,188,"Power CZ3-11.7-8.1-9.1","GAP","UNRESOLVED"
4,2,880,190,"Power CZ3-11.7-8.1-10.1","GAP","UNRESOLVED"
4,2,968,192,"Power CZ3-11.8-8.1","GAP","UNRESOLVED"
4,2,990,194,"Power CZ3-11.7-9.1-10.1","GAP","UNRESOLVED"
4,2,1100,196,"Power CZ3-11.7-10.1-10.1","GAP","UNRESOLVED"
4,2,1210,198,"Power CZ3-11.8-10.1","GAP","UNRESOLVED"
4,2,1332,200,"Power CT11^3,+1c","GAP","UNRESOLVED"
4,2,1368,216,"Power CZ3-13.3-12.6","GAP","UNRESOLVED"
4,2,1476,224,"Power CZ3-13.4-12.5","GAP","UNRESOLVED"
4,2,1596,233,"Power CZ3-13.5-12.4","GAP","UNRESOLVED"
4,2,1728,242,"Power CZ3-13.6-12.3","GAP","UNRESOLVED"
4,2,1872,251,"Power CZ3-13.7-12.1-12.1","GAP","UNRESOLVED"
4,2,2028,260,"Power CZ3-13.8-12.1","GAP","UNRESOLVED"
4,2,2304,263,"Power CZ3-16.7-12.1-12.1","GAP","UNRESOLVED"
4,2,2496,271,"Power CZ3-16.7-12.1-13.1","GAP","UNRESOLVED"
4,2,3395,272,"Power CZ4-13.0-12.12-4.1","GAP","UNRESOLVED"
4,2,4248,276,"Power CZ4-13.0-12.12-5.1","GAP","UNRESOLVED"
4,2,6781,280,"Power CZ4-13.0-12.12-8.1","GAP","UNRESOLVED"
4,2,7625,284,"Power CZ4-13.0-12.12-9.1","GAP","UNRESOLVED"
4,2,8466,286,"Power CZ4-13.0-12.12-10.1","GAP","UNRESOLVED"
4,2,10000,288,"Power CT13^4S13c","NOIMPL","UNRESOLVED"
5,2,6,32,"orthogonal array","MATCH","RESOLVED"
5,2,7,42,"Special (Yan Jun)","MATCH","RESOLVED"
5,2,8,52,"Steiner system (CKRS)","MATCH","RESOLVED"
5,2,9,54,"Steiner system (CKRS)","MATCH","RESOLVED"
5,2,10,56,"Steiner system (CKRS)","MATCH","RESOLVED"
5,2,14,64,"cross-sum (CKRS)","MATCH","RESOLVED"
5,2,15,79,"simulated annealing (Torres-Jimenez)","MATCH","RESOLVED"
5,2,16,98,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,20,99,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,21,109,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,22,111,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,23,114,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,24,117,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,25,118,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,26,130,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,35,134,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
5,2,68,136,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,72,144,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,80,159,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,84,168,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,90,178,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,98,194,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,102,202,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,103,206,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,104,208,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,108,214,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,110,218,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,114,225,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,122,241,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,128,252,"Paley type (Colbourn)","BETTER","RESOLVED"
5,2,132,260,"Paley type (Colbourn)","BETTER","RESOLVED"
5,2,138,271,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,140,273,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,143,288,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,150,289,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,152,292,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,155,303,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,158,304,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,164,310,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,168,318,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,170,322,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,174,327,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,180,332,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,192,346,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,194,357,"SBSTT (TJ-AG)","MATCH","RESOLVED"
5,2,359,359,"Cyclic, derived (Colbourn-Keri)","MATCH","RESOLVED"
5,2,378,379,"Cyclic, derived (Colbourn-Keri)","MATCH","RESOLVED"
5,2,379,380,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,431,430,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,433,434,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,463,462,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,467,466,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,487,486,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,491,490,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,499,498,"Paley type (Colbourn)","MATCH","RESOLVED"
5,2,503,503,"Cyclic, derived (Colbourn-Keri)","GAP","UNRESOLVED"
5,2,509,509,"Cyclic, derived (Colbourn-Keri)","MATCH","RESOLVED"
