"family","t","v","k","N","Source","route","N_pred","tier"
"Colbourn-Martirosyan-TVT-Walker",3,9,819,3329,"Colbourn-Martirosyan-TVT-Walker","3.4",3329,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,9,3051,97465,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3204,102537,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3276,103185,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3357,103377,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3600,106641,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3681,106713,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,4248,107289,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,4320,107361,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,4455,107433,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6048,107481,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6075,113193,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6084,113249,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6408,113257,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6561,113329,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,6579,115921,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7371,116497,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7380,116553,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7515,118161,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7551,118233,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7569,118297,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7650,118361,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7767,118425,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,7911,118809,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,8181,118881,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,9477,118937,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,9567,119585,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,9774,119649,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,9918,119713,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,9963,119777,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,10000,119841,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",3,10,1463,6179,"Colbourn-Martirosyan-TVT-Walker","3.4 at v+1, fused",6179,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,10,2628,191641,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,2640,191786,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,2676,192311,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,2904,192479,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,2926,192749,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,2960,193235,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
